company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Canmore Travel Corp.,canmore-travel,info@canmore-travel.com,1 403 688 0886,Canada/Alberta/Canmore,,,614218,"Moraine Lake and Lake Louise: Extended time for sightseeing, hiking, canoeing and wildlife",Guided Tour,8,90,44,https://fareharbor.com/embeds/calendar/canmore-travel/items/614218/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/canmore-travel/items/614218/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/canmore-travel/items/614218/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/uKv7hr0RYCHKjSOqhf8H
Hocking Hills Adventures,hockinghillscanoeing,info@hockinghillscanoeing.com,740-385-8685,United States/Ohio/Rockbridge,-82.52427,39.584632,285096,Rivers Edge Rustic Cabin,,2,71,95,https://fareharbor.com/embeds/calendar/hockinghillscanoeing/items/285096/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/hockinghillscanoeing/items/285096/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/hockinghillscanoeing/items/285096/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/MoHejwd1QXiRbxhNtKds
Harpers Ferry Adventure Center,harpersferryadventurecenter,info@hfadventurecenter.com,540-668-9007,United States/West Virginia/Harpers Ferry,,,681157,Flat Water Canoeing,Canoe,1,69,84,https://fareharbor.com/embeds/calendar/harpersferryadventurecenter/items/681157/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/harpersferryadventurecenter/items/681157/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/harpersferryadventurecenter/items/681157/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Ui8hXTkQFyTKpu4TlHTW
Hocking Hills Adventures,hockinghillscanoeing,info@hockinghillscanoeing.com,740-385-8685,United States/Ohio/Logan,-82.438735,39.548532,610821,Team Building Canoe Package,,1,64,65,https://fareharbor.com/embeds/calendar/hockinghillscanoeing/items/610821/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/hockinghillscanoeing/items/610821/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/hockinghillscanoeing/items/610821/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/o9H728DTpq4Rg7WmIpbA
Hocking Hills Adventures,hockinghillscanoeing,info@hockinghillscanoeing.com,740-385-8685,United States/Ohio/Logan,-82.438735,39.548532,285174,Canoe Livery Campsites,,1,58,95,https://fareharbor.com/embeds/calendar/hockinghillscanoeing/items/285174/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/hockinghillscanoeing/items/285174/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/hockinghillscanoeing/items/285174/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/sQFtGcu1RniZlchdHGcF
Hocking Hills Adventures,hockinghillscanoeing,info@hockinghillscanoeing.com,740-385-8685,United States/Ohio/Logan,,,555356,Personal Kayak Transport to 7 Mile Trip,,2,56,257,https://fareharbor.com/embeds/calendar/hockinghillscanoeing/items/555356/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/hockinghillscanoeing/items/555356/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/hockinghillscanoeing/items/555356/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/jbYsyYG5Rjuz6Tsml7xh
Hocking Hills Adventures,hockinghillscanoeing,info@hockinghillscanoeing.com,740-385-8685,United States/Ohio/Logan,-82.438735,39.548532,285054,Tube Trip,,4,55,72,https://fareharbor.com/embeds/calendar/hockinghillscanoeing/items/285054/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/hockinghillscanoeing/items/285054/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/hockinghillscanoeing/items/285054/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/rV7aq3FMRRGQANmjkm6A
Clear Canoeing,clearcanoeing,rebecca@clearcanoeing.com,352-816-9072,United States/Florida/Silver Springs,,,353608,Clear Canoe Rental,Canoe,5,54,835,https://fareharbor.com/embeds/calendar/clearcanoeing/items/353608/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/clearcanoeing/items/353608/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/clearcanoeing/items/353608/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/SZ7dz6zmT028SwCMzSzL
Hocking Hills Adventures,hockinghillscanoeing,info@hockinghillscanoeing.com,740-385-8685,United States/Ohio/Logan,-82.438735,39.548532,285064,Crocketts Run: Trip #1,,1,53,1001,https://fareharbor.com/embeds/calendar/hockinghillscanoeing/items/285064/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/hockinghillscanoeing/items/285064/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/hockinghillscanoeing/items/285064/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/OqwtzhhSsKlOLSzalgXO
Hocking Hills Adventures,hockinghillscanoeing,info@hockinghillscanoeing.com,740-385-8685,United States/Ohio/Logan,-82.438735,39.548532,285074,Natural Rockbridge: Trip #2,,1,53,867,https://fareharbor.com/embeds/calendar/hockinghillscanoeing/items/285074/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/hockinghillscanoeing/items/285074/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/hockinghillscanoeing/items/285074/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/hyS9cFMNQO6jHVE5CuJa
