company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
WindsorEats,windsoreats,info@windsoreats.com,+1 519-982-5212,Canada/Ontario/Windsor,,,70236,Wine Trail Ride Cycling Tour,Walking Tour,7,55,0,https://fareharbor.com/embeds/calendar/windsoreats/items/70236/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/windsoreats/items/70236/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/windsoreats/items/70236/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/jbhF1HtNQYC6Eqr68CFA
WindsorEats,windsoreats,info@windsoreats.com,+1 519-982-5212,Canada/Ontario/Windsor,,,314871,Private Wine Trail Ride Cycling Tour,Walking Tour,7,55,0,https://fareharbor.com/embeds/calendar/windsoreats/items/314871/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/windsoreats/items/314871/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/windsoreats/items/314871/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/p8pZhOYTQJU4I7g2OHEt
WindsorEats,windsoreats,info@windsoreats.com,+1 519-982-5212,Canada/Ontario/Windsor,-83.036363,42.314937,70224,Self Guided Bikes and Beer Cycling Tour,Bike Tour,2,52,0,https://fareharbor.com/embeds/calendar/windsoreats/items/70224/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/windsoreats/items/70224/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/windsoreats/items/70224/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/nUCoSmeYRvK8L0dlsua0
WindsorEats,windsoreats,info@windsoreats.com,+1 519-982-5212,Canada/Ontario/Windsor,-83.036363,42.314937,70233,Private Bikes and Beer Cycling Tour,Walking Tour,1,49,0,https://fareharbor.com/embeds/calendar/windsoreats/items/70233/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/windsoreats/items/70233/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/windsoreats/items/70233/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/KKIdT0WrS4aL8CS269Kl
Surf Cycling Hawaii LLC,surfcyclinghawaii,info@surfcyclinghawaii.com,808-793-9650,United States/Hawaii/Makena,-156.4425,20.654444,345676,GoPro Rental,Boat Rental,1,49,177,https://fareharbor.com/embeds/calendar/surfcyclinghawaii/items/345676/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/surfcyclinghawaii/items/345676/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/surfcyclinghawaii/items/345676/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/PiWTSrrvS5eUd0qcfjVO
Surf Cycling Hawaii LLC,surfcyclinghawaii,info@surfcyclinghawaii.com,808-793-9650,United States/Hawaii/Kihei,-156.442685,20.65497,319323,Water Bike Tour- Makena Bay,Bike Tour,1,48,176,https://fareharbor.com/embeds/calendar/surfcyclinghawaii/items/319323/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/surfcyclinghawaii/items/319323/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/surfcyclinghawaii/items/319323/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/RklSOBLQpKgp4vHI0Dzt
Surf Cycling Hawaii LLC,surfcyclinghawaii,info@surfcyclinghawaii.com,808-793-9650,United States/Hawaii/Lahaina,-156.62664,20.812382,319333,Water Bike Tour- Olowalu,Bike Tour,1,48,0,https://fareharbor.com/embeds/calendar/surfcyclinghawaii/items/319333/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/surfcyclinghawaii/items/319333/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/surfcyclinghawaii/items/319333/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/C1nukm41SAiMl4noFBrw
Around Portland Tours,aroundportlandtours,sarah@aroundportlandtours.com,503-998-3170,United States/Oregon/Portland,,,538621,Wyeast Adventure Cycling in Portland,,1,48,0,https://fareharbor.com/embeds/calendar/aroundportlandtours/items/538621/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/aroundportlandtours/items/538621/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/aroundportlandtours/items/538621/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/gH4hhSQ0SZyxa6eAT45i
Wolastoq Cycling,wolastoqcycling,jamie@wolastoqcycling.repair,(506) 962 9255,Canada/New Brunswick/Woodstock First Nation,,,672787,One Hour Rentals,Bike Rental-Canoe-E-Bike-Kayak,1,46,549,https://fareharbor.com/embeds/calendar/wolastoqcycling/items/672787/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/wolastoqcycling/items/672787/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/wolastoqcycling/items/672787/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/hlacQt0TiuaXfBi0WV4u
Surf Cycling Hawaii LLC,surfcyclinghawaii,info@surfcyclinghawaii.com,808-793-9650,United States/Hawaii/Kihei,,,631895,Snorkel Tour,Snorkel,1,44,127,https://fareharbor.com/embeds/calendar/surfcyclinghawaii/items/631895/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/surfcyclinghawaii/items/631895/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/surfcyclinghawaii/items/631895/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/yhVRTNPxRqG4np5C0eGW
