company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Walks in Europe,walksineurope,support@walksineurope.com,+1(332) 242-2284,France/Île-de-France/Paris,,,366462,Paris: Louvre Masterpieces Tour with Pre-Reserved Tickets,Attraction-Museum-Rafting,27,100,806,https://fareharbor.com/embeds/calendar/walksineurope/items/366462/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/walksineurope/items/366462/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/walksineurope/items/366462/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/JTn66BhIQBG33XlebQDA
Babylon Tours Paris,babyloncitytours-paris,babylontoursinfo@gmail.com,0019179990380,France/Île-de-France/Paris,,,83685,Pere Lachaise Cemetery Guided Walking Tour - Semi-Private (ENGLISH),Private-Walking Tour,10,99,179,https://fareharbor.com/embeds/calendar/babyloncitytours-paris/items/83685/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/babyloncitytours-paris/items/83685/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/babyloncitytours-paris/items/83685/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mBucORJQXucg1y9q9zA0
Babylon Tours Paris,babyloncitytours-paris,babylontoursinfo@gmail.com,0019179990380,France/Île-de-France/Paris,,,83687,Pere Lachaise Cemetery Guided Walking Tour - Private (ENGLISH),Events-Private-Walking Tour,10,99,1422,https://fareharbor.com/embeds/calendar/babyloncitytours-paris/items/83687/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/babyloncitytours-paris/items/83687/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/babyloncitytours-paris/items/83687/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/2br2vBKQ1Gb73QyoVL2g
Babylon Tours Paris,babyloncitytours-paris,babylontoursinfo@gmail.com,0019179990380,France/Île-de-France/Paris,,,83631,Orsay Museum Guided Tour - Semi-Private (ENGLISH),Museum-Private-Train-Walking Tour,10,98,414,https://fareharbor.com/embeds/calendar/babyloncitytours-paris/items/83631/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/babyloncitytours-paris/items/83631/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/babyloncitytours-paris/items/83631/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/gMgcQFlTR5GskToXv2Ye
Babylon Tours Paris,babyloncitytours-paris,babylontoursinfo@gmail.com,0019179990380,France/Île-de-France/Paris,,,83645,Combo: Louvre Museum + Orsay Museum Guided Tour - Semi-Private (ENGLISH),Museum-Walking Tour,20,98,120,https://fareharbor.com/embeds/calendar/babyloncitytours-paris/items/83645/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/babyloncitytours-paris/items/83645/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/babyloncitytours-paris/items/83645/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/oXqNFp5ySGWxK2Bki3G5
Babylon Tours Paris,babyloncitytours-paris,babylontoursinfo@gmail.com,0019179990380,France/Île-de-France/Paris,,,83655,"""The History of Paris"" City Center  Guided Walking Tour & Notre-Dame Cathedral - Semi-Private (ENGLISH)",City Tour-History Tour-Private-Walking Tour,10,98,206,https://fareharbor.com/embeds/calendar/babyloncitytours-paris/items/83655/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/babyloncitytours-paris/items/83655/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/babyloncitytours-paris/items/83655/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mREcNikQRMCMVFNgVfs4
Babylon Tours Paris,babyloncitytours-paris,babylontoursinfo@gmail.com,0019179990380,France/Île-de-France/Paris,,,83656,The History of Paris - City Center Guided Walking Tour - Private (ENGLISH),City Tour-History Tour-Private-Walking Tour,10,98,1413,https://fareharbor.com/embeds/calendar/babyloncitytours-paris/items/83656/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/babyloncitytours-paris/items/83656/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/babyloncitytours-paris/items/83656/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/LakFFtMmSzCQ3lSe2zrQ
Babylon Tours Paris,babyloncitytours-paris,babylontoursinfo@gmail.com,0019179990380,France/Île-de-France/Paris,,,83605,Louvre Museum Guided Tour - Semi-Private (ENGLISH),History Tour-Museum-Walking Tour,10,97,1037,https://fareharbor.com/embeds/calendar/babyloncitytours-paris/items/83605/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/babyloncitytours-paris/items/83605/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/babyloncitytours-paris/items/83605/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/P2yjOferQNKpH2gaquij
Babylon Tours Paris,babyloncitytours-paris,babylontoursinfo@gmail.com,0019179990380,France/Île-de-France/Paris,,,83619,Louvre Museum Guided Tour - Private (ENGLISH),City Tour-History Tour-Museum-Private-Walking Tour,10,97,2725,https://fareharbor.com/embeds/calendar/babyloncitytours-paris/items/83619/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/babyloncitytours-paris/items/83619/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/babyloncitytours-paris/items/83619/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/xgmp7thvQ9CiAj0Mipra
Babylon Tours Paris,babyloncitytours-paris,babylontoursinfo@gmail.com,0019179990380,France/Île-de-France/Paris,,,83677,Combo: Orsay Museum + Montmartre Guided Tour - Semi-Private (ENGLISH),City Tour-Museum-Private-Train-Transportation-Walking Tour,21,97,102,https://fareharbor.com/embeds/calendar/babyloncitytours-paris/items/83677/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/babyloncitytours-paris/items/83677/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/babyloncitytours-paris/items/83677/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/zG9u6aKPQX6CKOJSwKTC
