company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Vallarta Yacht Rentals,vallartayachtrentals,info@vallartayachtrentals.com,52-322-199-7709,Mexico/Jalisco/Puerto Vallarta,-105.247369,20.673244,641709,Los Arcos Snorkeling & El Paredón Tour,Boat Tour,1,97,1643,https://fareharbor.com/embeds/calendar/vallartayachtrentals/items/641709/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/vallartayachtrentals/items/641709/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/vallartayachtrentals/items/641709/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/vloxaIr6RxyGtkcCleSX
Vallarta Yacht Rentals,vallartayachtrentals,info@vallartayachtrentals.com,52-322-199-7709,Mexico/Jalisco/Puerto Vallarta,-105.247369,20.673244,641713,Yelapa Beach & Snorkel Tour,Boat Tour,1,97,1260,https://fareharbor.com/embeds/calendar/vallartayachtrentals/items/641713/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/vallartayachtrentals/items/641713/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/vallartayachtrentals/items/641713/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/2Oi7fboMTgGmIZt3xdHz
Vallarta Yacht Rentals,vallartayachtrentals,info@vallartayachtrentals.com,52-322-199-7709,Mexico/Jalisco/Puerto Vallarta,-105.244995,20.662821,642361,Buen Vibes Catamaran,Boat Tour,6,96,2700,https://fareharbor.com/embeds/calendar/vallartayachtrentals/items/642361/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/vallartayachtrentals/items/642361/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/vallartayachtrentals/items/642361/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/7paJ11iwTd6TnsdMJG1p
Vallarta Yacht Rentals,vallartayachtrentals,info@vallartayachtrentals.com,52-322-199-7709,Mexico/Jalisco/Puerto Vallarta,-105.247369,20.673244,641719,Las Animas or Quimixto Beach & Luxury Snorkel Tour,Boat Tour,1,95,1620,https://fareharbor.com/embeds/calendar/vallartayachtrentals/items/641719/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/vallartayachtrentals/items/641719/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/vallartayachtrentals/items/641719/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/r5LATKGgRDQmzKzNKrCu
Vallarta Yacht Rentals,vallartayachtrentals,info@vallartayachtrentals.com,52-322-199-7709,Mexico/Jalisco/Puerto Vallarta,-105.247369,20.673244,641705,Gay Luxury Sunset Cruise,Boat Tour,3,89,20,https://fareharbor.com/embeds/calendar/vallartayachtrentals/items/641705/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/vallartayachtrentals/items/641705/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/vallartayachtrentals/items/641705/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/oU7vF7sNTJOiRtQ1z419
Vallarta Food Tours,vallartafoodtours,info@vallartafoodtours.com,888-360-9847,Mexico/Jalisco/Puerto Vallarta,,,336426,Tragos y Tacos Sunset Bike Tour- PEM,Bike Tour-Brewery-Food Tour,5,86,51,https://fareharbor.com/embeds/calendar/vallartafoodtours/items/336426/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/vallartafoodtours/items/336426/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/vallartafoodtours/items/336426/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mJ2Ot0gkRqCJRRD6XjlZ
Vallarta Yacht Rentals,vallartayachtrentals,info@vallartayachtrentals.com,52-322-199-7709,Mexico/Jalisco/Puerto Vallarta,,,642364,Priano Yacht,Boat Tour,1,82,3781,https://fareharbor.com/embeds/calendar/vallartayachtrentals/items/642364/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/vallartayachtrentals/items/642364/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/vallartayachtrentals/items/642364/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/gvTOuvZTYGzGcnNxvS18
Vallarta Food Tours - Internal,vallartafoodtours-internal,info@vallartafoodtours.com,678-778-5928,Mexico/Jalisco/Puerto Vallarta,,,336441,Tragos y Tacos Sunset Bike Tour,Bike Tour-Food Tour,5,80,51,https://fareharbor.com/embeds/calendar/vallartafoodtours-internal/items/336441/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/vallartafoodtours-internal/items/336441/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/vallartafoodtours-internal/items/336441/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ap9Fyd2uT7GgF2cN0jCz
Vallarta Yacht Rentals,vallartayachtrentals,info@vallartayachtrentals.com,52-322-199-7709,Mexico/Jalisco/Puerto Vallarta,-105.247369,20.673244,645001,Luxury Yacht Sunset Cruise,Boat Tour,1,80,20,https://fareharbor.com/embeds/calendar/vallartayachtrentals/items/645001/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/vallartayachtrentals/items/645001/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/vallartayachtrentals/items/645001/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/zw4HsHdFQgqQhjagbhTu
Vallarta Yacht Rentals,vallartayachtrentals,info@vallartayachtrentals.com,52-322-199-7709,Mexico/Jalisco/Puerto Vallarta,,,642399,La Buena Vida,Boat Tour,1,73,3781,https://fareharbor.com/embeds/calendar/vallartayachtrentals/items/642399/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/vallartayachtrentals/items/642399/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/vallartayachtrentals/items/642399/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/djDCk1zT4WOkliFtACEL
Nakawe Adventures,nakaweadventures,booking@nakaweadventures.com,52-322-370-0562,Mexico/Jalisco/Puerto Vallarta,-105.23822,20.600788,675417,Tequila Sunrise Catamaran,Boat Rental-Boat Tour-Fishing-Free Diving-Jet Ski Rental-Kayak-Marina-Self-Guided Tour-Service-Snorkel-Water Activities,3,69,360,https://fareharbor.com/embeds/calendar/nakaweadventures/items/675417/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/nakaweadventures/items/675417/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/nakaweadventures/items/675417/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/m6tTsxBTLuUvfVBYEDT2
