company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Alaska Helicopter Tours,anchoragehelicoptertours,reservations@alaskahelicoptertours.com,907-272-7777,United States/Alaska/Palmer,,,493235,Glacier Swim & Hike,Air Activities-Air Tour-Wellness-Guided Tour-Hiking-Sightseeing Tour-Water Activities,7,96,375,https://fareharbor.com/embeds/calendar/anchoragehelicoptertours/items/493235/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/anchoragehelicoptertours/items/493235/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/anchoragehelicoptertours/items/493235/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/POzMM453Tl6uZnSArTb5
Liquid Alaska Tours,mendenhallicecaves,reservations@liquidalaskatours.com,1-800-892-5504,United States/Alaska/Juneau,-106.534838,38.794595,116148,Mendenhall Lake Canoe Tour,Canoe-Transportation,7,95,199,https://fareharbor.com/embeds/calendar/mendenhallicecaves/items/116148/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mendenhallicecaves/items/116148/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mendenhallicecaves/items/116148/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/suSeEYmBTUGUBYvqCBqJ
Adventure Ketchikan Tours,ak-tours,shoreex@ak-tours.com,907-228-2327,United States/Alaska/Ketchikan,,,280073,Hovercraft Eco Adventures,Eco Tour,8,95,9,https://fareharbor.com/embeds/calendar/ak-tours/items/280073/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ak-tours/items/280073/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ak-tours/items/280073/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/TYf4VPvTbey3s2VddgMI
Liquid Alaska Tours,mendenhallicecaves,reservations@liquidalaskatours.com,1-800-892-5504,United States/Alaska/Juneau,-106.534838,38.794595,23432,Mendenhall Glacier Ice Adventure Tour,Canoe-Hiking-Photography Tour-Transportation,5,91,200,https://fareharbor.com/embeds/calendar/mendenhallicecaves/items/23432/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mendenhallicecaves/items/23432/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mendenhallicecaves/items/23432/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/OS1pzmSTSeTVHt4bghZT
Northern Epics,northernepics,info@northernepics.com,(907) 687-2070,United States/Alaska/Denali National Park and Preserve,,,450263,4 Hour Wilderness Wonders Off-Trail Tour,Hiking,8,90,191,https://fareharbor.com/embeds/calendar/northernepics/items/450263/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/northernepics/items/450263/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/northernepics/items/450263/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/XOqPBc5WSqqtFBFkDXsF
Northern Epics,northernepics,info@northernepics.com,(907) 687-2070,United States/Alaska/Denali National Park and Preserve,,,450268,5 Hour Into the Mountains Hike,Hiking,10,90,150,https://fareharbor.com/embeds/calendar/northernepics/items/450268/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/northernepics/items/450268/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/northernepics/items/450268/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/0uIsMB0iQY2kyNT2rLeQ
Alaska Helicopter Tours,anchoragehelicoptertours,reservations@alaskahelicoptertours.com,907-272-7777,United States/Alaska/Palmer,,,335179,Winter Ice Climbing,Air Activities-Air Tour-Climbing-Wellness-Guided Tour-Private-Sightseeing Tour-Winter Activities,7,89,26,https://fareharbor.com/embeds/calendar/anchoragehelicoptertours/items/335179/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/anchoragehelicoptertours/items/335179/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/anchoragehelicoptertours/items/335179/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Irhr5AyQSbel5bhIjhuQ
Alaska Helicopter Tours,anchoragehelicoptertours,reservations@alaskahelicoptertours.com,907-272-7777,United States/Alaska/Palmer,,,342238,Summer Glacier Ice Climbing,Air Activities-Air Tour-Climbing-Wellness-Guided Tour-Private,6,88,91,https://fareharbor.com/embeds/calendar/anchoragehelicoptertours/items/342238/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/anchoragehelicoptertours/items/342238/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/anchoragehelicoptertours/items/342238/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/6AGjiHi2TkmDbS3o1Hgw
Alaska’s Finest Tours and Adventures,akfinest,sales@akfinest.com,19077642067,United States/Alaska/Anchorage,,,418451,Matanuska Glacier Hike & Tour – Winter Edition,Guided Tour-Hiking-History Tour-Walking Tour,4,86,71,https://fareharbor.com/embeds/calendar/akfinest/items/418451/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/akfinest/items/418451/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/akfinest/items/418451/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/eOnL0hyWSg6GZqEIjIt4
Alaska Helicopter Tours,anchoragehelicoptertours,reservations@alaskahelicoptertours.com,907-272-7777,United States/Alaska/Palmer,,,66474,Heli-Hiking,Air Activities-Air Tour-Guided Tour-Hiking-Photography Tour-Walking Tour-Wildlife,3,85,319,https://fareharbor.com/embeds/calendar/anchoragehelicoptertours/items/66474/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/anchoragehelicoptertours/items/66474/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/anchoragehelicoptertours/items/66474/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Zjz6nrTfTW2SQiyQv2G2
