company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Papigo Rafting,papigorafting,raftingpapigo@gmail.com,+30 6932416011,Greece/Ioannina,,,261784,Rafting In Voidomatis River,Rafting,1,69,319,https://fareharbor.com/embeds/calendar/papigorafting/items/261784/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/papigorafting/items/261784/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/papigorafting/items/261784/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/7QGHuPXWQgOUQaOv3Qds
Papigo Rafting,papigorafting,raftingpapigo@gmail.com,+30 6932416011,Greece/Konitsa,,,261789,Mountain trekking - kokkino Lithari,Hiking,1,69,108,https://fareharbor.com/embeds/calendar/papigorafting/items/261789/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/papigorafting/items/261789/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/papigorafting/items/261789/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/qR1l7jwWTlO96NAv0to4
Papigo Rafting,papigorafting,raftingpapigo@gmail.com,+30 6932416011,Greece/Konitsa,,,261793,Mountain trekking - Dragon Lake,Hiking,1,69,108,https://fareharbor.com/embeds/calendar/papigorafting/items/261793/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/papigorafting/items/261793/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/papigorafting/items/261793/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/D7W4NlPkSD2jLtIwjhFH
Papigo Rafting,papigorafting,raftingpapigo@gmail.com,+30 6932416011,Greece/Konitsa,,,261791,Mountain trekking - Vikos Gorge crossing,Hiking,1,68,108,https://fareharbor.com/embeds/calendar/papigorafting/items/261791/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/papigorafting/items/261791/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/papigorafting/items/261791/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/CbKSBfR3WA9An2MfahAz
Papigo Rafting,papigorafting,raftingpapigo@gmail.com,+30 6932416011,Greece/Konitsa,,,657454,Via Ferrata,Climbing-Guided Tour,2,68,0,https://fareharbor.com/embeds/calendar/papigorafting/items/657454/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/papigorafting/items/657454/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/papigorafting/items/657454/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/jXbEX5ETgu3OT3QbKnPr
AllinBlusive,allinblusive,info@allinblusive.com,+30 6992004699,Greece/Σάνη,23.311561,40.098954,593734,Sani Bliss,Boat Tour-Catamaran-Dolphin-Guided Tour-Jet Ski Rental-Marina-Transfer-Private-Sailing-Snorkel-SUP-Transportation-Water Activities,8,51,139,https://fareharbor.com/embeds/calendar/allinblusive/items/593734/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/allinblusive/items/593734/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/allinblusive/items/593734/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/bTQktWj5TSWtGihyY9lQ
AllinBlusive,allinblusive,info@allinblusive.com,+30 6992004699,Greece/Δασσιά,,,518146,Ikos Wind,Boat Tour-Catamaran-Water Activities,5,48,139,https://fareharbor.com/embeds/calendar/allinblusive/items/518146/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/allinblusive/items/518146/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/allinblusive/items/518146/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/3a1kBpqzQqa5SIE74YT5
Madalena Corfu Daily Cruises,madalenaboattrips,madalena.gouvia.tours@gmail.com,+302661090661,Greece/Tavros,,,625019,Κρουαζιέρα Barbecue Λιμνοπούλα - Κασσιόπη,Boat Tour,1,47,12,https://fareharbor.com/embeds/calendar/madalenaboattrips/items/625019/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/madalenaboattrips/items/625019/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/madalenaboattrips/items/625019/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/XQ1ujIqcTRGlQ5F81dv9
AllinBlusive,allinblusive,info@allinblusive.com,+30 6992004699,Greece/Σάνη,,,429633,Sani Dream,Boat Tour-Catamaran,6,45,139,https://fareharbor.com/embeds/calendar/allinblusive/items/429633/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/allinblusive/items/429633/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/allinblusive/items/429633/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/XKe4yR2HSeYncJ6ySUgr
AllinBlusive,allinblusive,info@allinblusive.com,+30 6992004699,Greece/Σάνη,,,517338,Sani Vibe,Boat Tour-Catamaran,8,44,139,https://fareharbor.com/embeds/calendar/allinblusive/items/517338/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/allinblusive/items/517338/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/allinblusive/items/517338/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/8y486VxOSRSxc3Lgwpwu
