company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Aloha Hawaii Tours,alohahawaiitours,reservations@alohahawaiitours.com,(808) 495-8693,United States/Hawaii/Honolulu,-157.829185,21.279346,163820,Pearl Harbor City Tour / USS Arizona Memorial,Attraction-Boat Tour-City Tour-Ferry-History Tour-Museum-Transportation,5,97,180,https://fareharbor.com/embeds/calendar/alohahawaiitours/items/163820/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/alohahawaiitours/items/163820/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/alohahawaiitours/items/163820/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/T6HmzNNxSAu6KxpCM1Qy
Polynesian Adventure Activities,polyad-activities,sales@polyad.com,800-622-3011,United States/Hawaii/Honolulu,,,280747,"Arizona Memorial, Pearl Harbor and Honolulu City Highlights Tour (2B)",Bus Tour-History Tour,5,90,180,https://fareharbor.com/embeds/calendar/polyad-activities/items/280747/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/polyad-activities/items/280747/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/polyad-activities/items/280747/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/l4eHBrkRyeVKTxzx1IGm
DanielsHawaii,hawaiireisetipps,Bookings@DanielsHawaii.com,+1(808) 400-4481,United States/Hawaii/Honolulu,,,70395,Pearl Harbor & USS Arizona with Downtown Honolulu,Sightseeing Tour,12,85,180,https://fareharbor.com/embeds/calendar/hawaiireisetipps/items/70395/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/hawaiireisetipps/items/70395/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/hawaiireisetipps/items/70395/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/510goWpnTJCrWOlf60S1
Pacific Historic Parks,phptours,tours@pacifichistoricparks.org,808-954-8759,United States/Hawaii/Honolulu,-157.85814,21.309884,138848,USS Arizona Narrated Tour / Virtual Reality Combo,Boat Tour-Guided Tour,10,85,180,https://fareharbor.com/embeds/calendar/phptours/items/138848/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/phptours/items/138848/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/phptours/items/138848/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mJEdeE6OTtmJChKcxOQS
Westwind Air Service,westwindairservice,info@westwindairservice.com,(888) 869-0866,United States/Arizona/Phoenix,,,560427,Ultimate Tour of Northern Arizona (ULT),Walking Tour,6,85,180,https://fareharbor.com/embeds/calendar/westwindairservice/items/560427/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/westwindairservice/items/560427/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/westwindairservice/items/560427/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/PU8OUDVRXGfJkhN895OQ
Westwind Air Service,westwindairservice,info@westwindairservice.com,(888) 869-0866,United States/Arizona/Sedona,,,561717,Ultimate Tour of Northern Arizona From Sedona S-ULT,Walking Tour,6,85,180,https://fareharbor.com/embeds/calendar/westwindairservice/items/561717/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/westwindairservice/items/561717/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/westwindairservice/items/561717/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/PU8OUDVRXGfJkhN895OQ
Westwind Air Service,westwindairservice,info@westwindairservice.com,(888) 869-0866,United States/Arizona/Flagstaff,,,561718,Ultimate Tour of Northern Arizona From Flagstaff F-ULT,Walking Tour,6,85,180,https://fareharbor.com/embeds/calendar/westwindairservice/items/561718/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/westwindairservice/items/561718/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/westwindairservice/items/561718/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/U5z8D7tBSXy5cam9ahZH
Pacific Historic Parks,phptours,tours@pacifichistoricparks.org,808-954-8759,United States/Hawaii/Honolulu,-157.85814,21.309884,428334,WALK THE DECK of the USS Arizona VR Tour,Boat Tour-VR,10,83,180,https://fareharbor.com/embeds/calendar/phptours/items/428334/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/phptours/items/428334/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/phptours/items/428334/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/8CyFuPbiS8KuLJ4xDTOA
Arizona Aerospace Foundation,pimaair,Tours@pimaair.org,520-934-1863,United States/Arizona/Tucson,,,652479,Admission,,14,83,180,https://fareharbor.com/embeds/calendar/pimaair/items/652479/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/pimaair/items/652479/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/pimaair/items/652479/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/5wAbh3qTky1vcoyLwlNc
Pacific Historic Parks,phptours,tours@pacifichistoricparks.org,808-954-8759,United States/Hawaii/Honolulu,-157.85814,21.309884,43397,USS Arizona Deluxe Tour,Boat Tour-Guided Tour-Self-Guided Tour-Service,11,81,180,https://fareharbor.com/embeds/calendar/phptours/items/43397/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/phptours/items/43397/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/phptours/items/43397/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/DgdhVINRS6Ek7rvE1PeQ
