company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Ecotekk Sunshine Coast,ecotekk-sunshinecoast,sunshinecoast@ecotekk.com.au,+61 473 635 865,Australia/Queensland/Buddina,,,155008,Pt Cartwright to Moffat Beach e-Bike Tour,Bike Tour,6,100,174,https://fareharbor.com/embeds/calendar/ecotekk-sunshinecoast/items/155008/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ecotekk-sunshinecoast/items/155008/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ecotekk-sunshinecoast/items/155008/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/9oX6aV1SK23QloCgPnzY
Paradise Tours,paradisetours,hello@paradisetours.com.au,+61494105073,Australia/Queensland/Surfers Paradise,,,572553,"Koalas, 6 Waterfalls and Natural Bridge Day Tour at Springbrook National Park",Bus Tour-Eco Tour-Environmental Attraction-Guided Tour-Hiking-Sightseeing Tour-Walking Tour-Wildlife,7,100,76,https://fareharbor.com/embeds/calendar/paradisetours/items/572553/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/paradisetours/items/572553/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/paradisetours/items/572553/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/pm2kP0xLQpOY0Y6DYdy4
Paradise Tours,paradisetours,hello@paradisetours.com.au,+61494105073,Australia/Queensland/Brisbane City,,,628330,"Koalas, 6 Waterfalls and Natural Bridge Day Tour at Springbrook National Park",Bus Tour-Eco Tour-Environmental Attraction-Guided Tour-Hiking-Sightseeing Tour-Walking Tour-Wildlife,13,100,48,https://fareharbor.com/embeds/calendar/paradisetours/items/628330/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/paradisetours/items/628330/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/paradisetours/items/628330/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/nKPfMuaPT3mmZ98W2iyL
Cygnet Bay Pearl Farm,cygnetbaypearlfarm,hello@cygnetbaypearlfarm.com.au,(08) 9192 4283,Australia/Western Australia/Dampier Peninsula,123.009145,-16.451973,68158,Pearl Farm Harvest Tour,Eco Tour-Farm-History Tour-Walking Tour,6,98,361,https://fareharbor.com/embeds/calendar/cygnetbaypearlfarm/items/68158/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/cygnetbaypearlfarm/items/68158/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/cygnetbaypearlfarm/items/68158/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/K9z0R2qTQCaxsrSx1Pet
Tasmanian Wild Seafood Adventures,tasmanianwildseafoodadventures,info@tasmanianwildseafoodadventures.com.au,+61458 797 947,Australia/Tasmania/Hobart,147.33408,-42.884245,177068,Tasmanian Seafood Experience,Catamaran-Eco Tour-Environmental Attraction-Food Tour-Guided Tour-Marina-Winter Activities,8,90,134,https://fareharbor.com/embeds/calendar/tasmanianwildseafoodadventures/items/177068/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/tasmanianwildseafoodadventures/items/177068/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/tasmanianwildseafoodadventures/items/177068/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/IBsQaExpTy2mqozpJJaG
Cairns Waterfalls,cairnscanyoning,info@cairnswaterfalls.com,+61 742433242,Australia/Queensland/Westcourt,,,199482,Behana Adventure Tour,Bus Tour-Canoe-City Tour-Climbing-Eco Tour-Environmental Attraction-Guided Tour-Other-Private-Rafting-River Tube-Ropes Course-Self-Guided Tour-Service-Sightseeing Tour-Sports-SUP-Water Activities-Wildlife,7,85,175,https://fareharbor.com/embeds/calendar/cairnscanyoning/items/199482/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/cairnscanyoning/items/199482/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/cairnscanyoning/items/199482/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/OawEjSMTfmT1BWJKOtCc
Valley Ebikes,valleyebikes,ride@valleyebikes.com.au,61 439318934,Australia/New South Wales/South Murwillumbah,,,454535,Premium Cruiser E-Bike Hire,Bike Rental-Bike Tour-E-Bike-Eco Tour,9,85,2138,https://fareharbor.com/embeds/calendar/valleyebikes/items/454535/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/valleyebikes/items/454535/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/valleyebikes/items/454535/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/jThkndCyQleOpZxKKXvS
Ecotekk Sunshine Coast,ecotekk-sunshinecoast,sunshinecoast@ecotekk.com.au,+61 473 635 865,Australia/Queensland/Kulangoor,,,126431,Day Hire | 8 Hours,Bike Tour,4,83,180,https://fareharbor.com/embeds/calendar/ecotekk-sunshinecoast/items/126431/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ecotekk-sunshinecoast/items/126431/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ecotekk-sunshinecoast/items/126431/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/MwYYrPdRJmHDftNlSfww
Ecotekk Sunshine Coast,ecotekk-sunshinecoast,sunshinecoast@ecotekk.com.au,+61 473 635 865,Australia/Queensland/Kulangoor,,,311719,Six Days | 5 Nights,Bike Tour,3,82,180,https://fareharbor.com/embeds/calendar/ecotekk-sunshinecoast/items/311719/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ecotekk-sunshinecoast/items/311719/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ecotekk-sunshinecoast/items/311719/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/lEwgc9flSdauZohp5GHN
Epic Marine Charters,epicmarinecharters,info@epicmarinecharters.com.au,0434 853 742,Australia/Western Australia/Geographe,,,500272,2-hour Scenic Sunset Busselton Jetty Cruise,Boat Tour-Eco Tour-Fishing-Private-Sightseeing Tour-Snorkel-SUP-Water Activities-Wildlife,1,80,74,https://fareharbor.com/embeds/calendar/epicmarinecharters/items/500272/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/epicmarinecharters/items/500272/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/epicmarinecharters/items/500272/?asn=fhdn-aud&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/eRBKB64YS5qqrl6yJsS2
