company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
La Isla,laislatour,hello@laislatour.mx,+52 624 1918 208,Mexico/Baja California Sur/Cabo San Lucas,,,67106,SIDHI - 3.5 Hour Private Charter,Boat Rental-Boat Tour-Private-Water Activities,5,98,1441,https://fareharbor.com/embeds/calendar/laislatour/items/67106/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/laislatour/items/67106/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/laislatour/items/67106/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/XnbPgyuRK2jeEkOFBuBH
La Isla,laislatour,hello@laislatour.mx,+52 624 1918 208,Mexico/Baja California Sur/Cabo San Lucas,,,67107,DEVA  - 3.5 Hour Private Charter,Boat Rental-Boat Tour-Private-Water Activities,6,96,33,https://fareharbor.com/embeds/calendar/laislatour/items/67107/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/laislatour/items/67107/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/laislatour/items/67107/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/kLyrR8KScacnxuVfW69B
La Isla,laislatour,hello@laislatour.mx,+52 624 1918 208,Mexico/Baja California Sur/Cabo San Lucas,,,188496,Manta Tour - 3.5 Hour Private Charter,Boat Rental-Boat Tour-Private-Water Activities,4,96,900,https://fareharbor.com/embeds/calendar/laislatour/items/188496/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/laislatour/items/188496/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/laislatour/items/188496/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/SgD4IDbXTg6g53GAzLDQ
La Isla,laislatour,hello@laislatour.mx,+52 624 1918 208,Mexico/Baja California Sur/Cabo San Lucas,,,67109,BARTA - 3.5 Hour Private Charter,Boat Rental-Boat Tour-Private-Water Activities,4,93,1441,https://fareharbor.com/embeds/calendar/laislatour/items/67109/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/laislatour/items/67109/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/laislatour/items/67109/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/zEw1BmnbTceIByPK27sM
La Isla,laislatour,hello@laislatour.mx,+52 624 1918 208,Mexico/Baja California Sur/Cabo San Lucas,,,67108,Alora Tour- 3 Hour Private Charter,Boat Rental-Boat Tour-Private-Water Activities,6,85,1440,https://fareharbor.com/embeds/calendar/laislatour/items/67108/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/laislatour/items/67108/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/laislatour/items/67108/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/pcWSovERSiCQwksQW7T5
I Love Los Cabos,iloveloscabostours,tours@iloveloscabos.com.mx,+52 624 267 8158,Mexico/Baja California Sur/Cabo San Lucas,-109.911243,22.886132,579659,Tour al Arco en Lancha Transparente,Boat Tour,1,80,3240,https://fareharbor.com/embeds/calendar/iloveloscabostours/items/579659/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/iloveloscabostours/items/579659/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/iloveloscabostours/items/579659/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/f4dMwghTjG4SSeWBQjww
Eating With Carmen - MXN,eatingwithcarmen-mxn,info@eatingwithcarmen.com,(+52)9843107514,Mexico/Baja California Sur/Cabo San Lucas,,,584854,Cabo San Lucas Local Experience,City Tour-Food Tour-Guided Tour-History Tour-Walking Tour,1,74,360,https://fareharbor.com/embeds/calendar/eatingwithcarmen-mxn/items/584854/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/eatingwithcarmen-mxn/items/584854/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/eatingwithcarmen-mxn/items/584854/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
Eating With Carmen - MXN,eatingwithcarmen-mxn,info@eatingwithcarmen.com,(+52)9843107514,Mexico/Baja California Sur/Cabo San Lucas,,,587151,Mexican Beer & Seafood Madness Cabo San Lucas,City Tour-Food Tour-Guided Tour-History Tour-Walking Tour,1,74,180,https://fareharbor.com/embeds/calendar/eatingwithcarmen-mxn/items/587151/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/eatingwithcarmen-mxn/items/587151/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/eatingwithcarmen-mxn/items/587151/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
"Best Cabo Yachts, LLC",bestcaboyachts,info@bestcaboyachts.com,+52 624 156 7295,Mexico/Baja California Sur/Cabo San Lucas,-109.915215,22.894813,437120,45' SeaRay Private Yacht Charter,Boat Tour-Private,1,68,360,https://fareharbor.com/embeds/calendar/bestcaboyachts/items/437120/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bestcaboyachts/items/437120/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bestcaboyachts/items/437120/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/emml2FGSIq7NJdU45OMV
"Best Cabo Yachts, LLC",bestcaboyachts,info@bestcaboyachts.com,+52 624 156 7295,Mexico/Baja California Sur/Cabo San Lucas,,,437133,105’ Maiora Private Super Yacht Charter,Boat Tour-Private,1,68,360,https://fareharbor.com/embeds/calendar/bestcaboyachts/items/437133/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bestcaboyachts/items/437133/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bestcaboyachts/items/437133/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/FNdZbTcvSpeL1piOQtTm
