company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
PortCity Bike Tours,portcitybiketours,hello@portcitybiketours.com,1-603-380-6524,United States/New Hampshire/Portsmouth,-70.760322,43.075203,26124,New Hampshire Coastal and Seaside Villages eBike Tour - Explore The 19 Mile Coastline,Bike Tour-Castle,6,100,117,https://fareharbor.com/embeds/calendar/portcitybiketours/items/26124/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/portcitybiketours/items/26124/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/portcitybiketours/items/26124/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/7T1Q94ARQed6omGfswME
PortCity Bike Tours,portcitybiketours,hello@portcitybiketours.com,1-603-380-6524,United States/New Hampshire/Portsmouth,-70.760322,43.075203,26125,Nature Bike Tour -  NH Greenway Rail Trail,Bike Tour-Boat Tour,7,100,59,https://fareharbor.com/embeds/calendar/portcitybiketours/items/26125/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/portcitybiketours/items/26125/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/portcitybiketours/items/26125/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/kl0IFsbuSBiqArw6msAi
PortCity Bike Tours,portcitybiketours,hello@portcitybiketours.com,1-603-380-6524,United States/New Hampshire/Portsmouth,-70.760322,43.075203,26123,Islands & Harbor Sightseeing Bike Tour - Explore the Must-See Sites,Bike Tour-Boat Tour-Brewery-Castle-City Tour-History Tour-Museum,9,99,215,https://fareharbor.com/embeds/calendar/portcitybiketours/items/26123/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/portcitybiketours/items/26123/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/portcitybiketours/items/26123/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/TVVPrBBWTlSGCnOqctuZ
PortCity Bike Tours,portcitybiketours,hello@portcitybiketours.com,1-603-380-6524,United States/New Hampshire/Portsmouth,-70.760322,43.075203,91868,"Private and Custom Bike Tour | Historic, Scenic & Coastal Tour |",Bike Tour-City Tour-History Tour-Private,10,98,221,https://fareharbor.com/embeds/calendar/portcitybiketours/items/91868/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/portcitybiketours/items/91868/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/portcitybiketours/items/91868/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/2T6hq5URtGv4vqhsBStu
Aventures Nord-Bec,pourvoirielacbeauport,info@aventuresnordbec.com,4189537073,Canada/Québec/Stoneham-et-Tewkesbury,,,702105,Tour Helicóptère,Air Activities-Airplane-Air Tour-Eco Tour-Environmental Attraction-Escape Room-Guided Tour-Sightseeing Tour-Wildlife-Winter Activities,6,98,2880,https://fareharbor.com/embeds/calendar/pourvoirielacbeauport/items/702105/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/pourvoirielacbeauport/items/702105/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/pourvoirielacbeauport/items/702105/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/r8Vko6btRvCT5fat1GAs
Liquid Alaska Tours,mendenhallicecaves,reservations@liquidalaskatours.com,1-800-892-5504,United States/Alaska/Juneau,-106.534838,38.794595,116148,Mendenhall Lake Canoe Tour,Canoe-Transportation,7,95,197,https://fareharbor.com/embeds/calendar/mendenhallicecaves/items/116148/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mendenhallicecaves/items/116148/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mendenhallicecaves/items/116148/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/suSeEYmBTUGUBYvqCBqJ
Adventure Ketchikan Tours,ak-tours,shoreex@ak-tours.com,907-228-2327,United States/Alaska/Ketchikan,,,280073,Hovercraft Eco Adventures,Eco Tour,8,95,36,https://fareharbor.com/embeds/calendar/ak-tours/items/280073/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ak-tours/items/280073/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ak-tours/items/280073/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/TYf4VPvTbey3s2VddgMI
Vancouver Hotel e-Bike Rentals,hotelebikerentals,info@hotelebikerentals.com,778-761-3987,Canada/British Columbia/Vancouver,-123.141684,49.20576,612500,(Guided) 4-Hr E-Bike Tour of Vancouver Seawall - JW Marriott,Bike Tour,6,95,154,https://fareharbor.com/embeds/calendar/hotelebikerentals/items/612500/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/hotelebikerentals/items/612500/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/hotelebikerentals/items/612500/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/YdWNYxgNR3G6Jif8Ce7f
PortCity Bike Tours,portcitybiketours,hello@portcitybiketours.com,1-603-380-6524,United States/New Hampshire/Portsmouth,-70.760322,43.075203,26441,Rentals (ebike or bike),Attraction-Bike Rental-Bike Tour-Boat Tour-Castle-City Tour-Photography Tour-River Tube-Self-Guided Tour-Sightseeing Tour,1,94,274,https://fareharbor.com/embeds/calendar/portcitybiketours/items/26441/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/portcitybiketours/items/26441/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/portcitybiketours/items/26441/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/aK354rnTISAc8mQZY4yg
Urban Adventours,urbanadventours,info@urbanadventours.com,617-670-0637,United States/Massachusetts/Boston,-71.052458,42.361622,27344,City View Tour,Bike Tour,10,93,323,https://fareharbor.com/embeds/calendar/urbanadventours/items/27344/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/urbanadventours/items/27344/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/urbanadventours/items/27344/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/hAKWi2O2TbK3B7ZIGUQU
