company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Eat Seattle Tours,eatseattletours,info@eatseattletours.com,(206) 745-0991,United States/Washington/Seattle,-122.340879,47.610054,130990,Chef Guided Food Tour of Pike Place Market,Food Tour-Guided Tour-Walking Tour,8,100,763,https://fareharbor.com/embeds/calendar/eatseattletours/items/130990/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/eatseattletours/items/130990/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/eatseattletours/items/130990/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/NiPxc5wSp68KYwRvtQrA
Tour Guys Toronto,tourguys-toronto,info@tourguys.ca,1.800.691.9320,Canada/Ontario/Toronto,,,314933,Toronto Essentials Walking Tour: Old Town & Downtown Highlights (PWYC),City Tour-Guided Tour-History Tour-Walking Tour,1,100,155,https://fareharbor.com/embeds/calendar/tourguys-toronto/items/314933/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/tourguys-toronto/items/314933/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/tourguys-toronto/items/314933/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/UOYyFagTOunbdnXa7CzM
Waterfall Shuttle,waterfallshuttle,waterfallshuttle@gmail.com,(541)-705-2438,United States/Oregon/Portland,,,462223,Gorge-ous Sunset Multnomah Falls Waterfall Tour from Portland,Bus Tour-Guided Tour-History Tour-Photography Tour-Walking Tour,15,100,180,https://fareharbor.com/embeds/calendar/waterfallshuttle/items/462223/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/waterfallshuttle/items/462223/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/waterfallshuttle/items/462223/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Tr5tRDymQNOHOJPRaoGF
Boston Hidden Gems,bostonhiddengems,info@bostonhiddengems.com,1 617-297-8006,United States/Massachusetts/Cambridge,-71.086702,42.362328,525716,Illustrious Schools: Group Tour of MIT & Harvard,Guided Tour-History Tour-Walking Tour,5,100,195,https://fareharbor.com/embeds/calendar/bostonhiddengems/items/525716/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bostonhiddengems/items/525716/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bostonhiddengems/items/525716/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/FzwUWNvdReSk5W0dxfxu
Waterfall Shuttle,waterfallshuttle,waterfallshuttle@gmail.com,(541)-705-2438,United States/Oregon/Portland,,,527345,Half Day Multnomah Falls Waterfall Shuttle Tour from Portland,Bus Tour-Guided Tour-History Tour-Photography Tour-Shuttle,17,100,353,https://fareharbor.com/embeds/calendar/waterfallshuttle/items/527345/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/waterfallshuttle/items/527345/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/waterfallshuttle/items/527345/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/b2SmiSBQWyzxWyErYkmg
Eat Seattle Tours,eatseattletours,info@eatseattletours.com,(206) 745-0991,United States/Washington/Seattle,-122.338706,47.615548,534068,Happy Hour Tour,Guided Tour,10,100,51,https://fareharbor.com/embeds/calendar/eatseattletours/items/534068/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/eatseattletours/items/534068/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/eatseattletours/items/534068/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ceuGaaMWSSewGQx0O5md
PortCity Bike Tours,portcitybiketours,hello@portcitybiketours.com,1-603-380-6524,United States/New Hampshire/Portsmouth,-70.760322,43.075203,26123,Islands & Harbor Sightseeing Bike Tour - Explore the Must-See Sites,Bike Tour-Boat Tour-Brewery-Castle-City Tour-History Tour-Museum,9,99,232,https://fareharbor.com/embeds/calendar/portcitybiketours/items/26123/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/portcitybiketours/items/26123/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/portcitybiketours/items/26123/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/TVVPrBBWTlSGCnOqctuZ
Okanagan Parasail,okanaganparasail,okanaganparasail@gmail.com,250-300-7245,Canada/British Columbia/Kelowna,,,289752,Parasail in Kelowna,Marina-Parasail-Water Activities,5,99,1359,https://fareharbor.com/embeds/calendar/okanaganparasail/items/289752/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/okanaganparasail/items/289752/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/okanaganparasail/items/289752/?asn=fhdn-cad&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/yHW3yulTiKQhvs3UyHbq
PortCity Bike Tours,portcitybiketours,hello@portcitybiketours.com,1-603-380-6524,United States/New Hampshire/Portsmouth,-70.760322,43.075203,91868,"Private and Custom Bike Tour | Historic, Scenic & Coastal Tour |",Bike Tour-City Tour-History Tour-Private,10,98,116,https://fareharbor.com/embeds/calendar/portcitybiketours/items/91868/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/portcitybiketours/items/91868/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/portcitybiketours/items/91868/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/2T6hq5URtGv4vqhsBStu
Portland Fire Engine Co.,portlandfiretours,portlandtours@gmail.com,(207) 252-6358,United States/Maine/Portland,-70.252779,43.6556,4779,Portland Fire Engine Co. Tours,City Tour-Guided Tour-History Tour,5,96,368,https://fareharbor.com/embeds/calendar/portlandfiretours/items/4779/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/portlandfiretours/items/4779/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/portlandfiretours/items/4779/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://www.filepicker.io/api/file/ROMi227uR9WOoePlZHvO
