company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Jungle Tour Adventure,jungletourcancun,sales@jungletourcancun.com,52 998 280 0872,Mexico/Quintana Roo/Cancún,-86.773019,21.088368,290808,Jungle Tour Cancun speed boat & snorkeling tour,Boat Tour-Snorkel,11,99,540,https://fareharbor.com/embeds/calendar/jungletourcancun/items/290808/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/jungletourcancun/items/290808/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/jungletourcancun/items/290808/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/beIY20YTm5AjMPfa9TNQ
Jungle Tour Adventure,jungletourcancun,sales@jungletourcancun.com,52 998 280 0872,Mexico/Quintana Roo/Cancún,-86.773019,21.088368,290842,Cancun mangroves speedboat tour,Boat Tour,5,83,179,https://fareharbor.com/embeds/calendar/jungletourcancun/items/290842/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/jungletourcancun/items/290842/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/jungletourcancun/items/290842/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/6VxXhpEkRymJ5TSJ4JFF
Marina Jungle Tour Adventure,marinajungletouradventure,hello@marinajungletouradventure.com,+19493519830,Mexico/Quintana Roo/Cancún,-86.764594,21.104196,627841,Tequila Tasting on a Boat,Boat Tour,1,76,540,https://fareharbor.com/embeds/calendar/marinajungletouradventure/items/627841/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/marinajungletouradventure/items/627841/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/marinajungletouradventure/items/627841/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Lx0KjMTJe3xtuJrg9egR
Xightseeing Xcursions,xightseeing,info@xightseeing.com,+52 998 826 9179,Mexico/Quintana Roo/Cancún,,,373484,Cancun City Tour and Shopping,Bus Tour-City Tour-Guided Tour-Sightseeing Tour,3,67,154,https://fareharbor.com/embeds/calendar/xightseeing/items/373484/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/xightseeing/items/373484/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/xightseeing/items/373484/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/bD93TTT9SqAaqnef6jnx
Amigo Tours Cancún,amigotourscancunusd,cancun1@amigotours.com,+52 55 5522 8283,Mexico/Quintana Roo/Cancún,,,226688,Chichen Itza at Sunrise Tour,City Tour-History Tour-Transportation,7,65,354,https://fareharbor.com/embeds/calendar/amigotourscancunusd/items/226688/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/amigotourscancunusd/items/226688/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/amigotourscancunusd/items/226688/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/yEOqzfLtSq6mHDTJJa8I
Don Chingon Cancun,donchingoncancun,donchingoncharters@gmail.com,+1 877-621-7099,Mexico/Quintana Roo/Cancún,-86.799681,21.155744,463602,50 ft. Yacht,Boat Tour,17,65,1260,https://fareharbor.com/embeds/calendar/donchingoncancun/items/463602/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/donchingoncancun/items/463602/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/donchingoncancun/items/463602/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ASFBurNQKq9bi1XeF2JS
Amigo Tours Cancún,amigotourscancunusd,cancun1@amigotours.com,+52 55 5522 8283,Mexico/Quintana Roo/Cozumel,,,227180,Cozumel Catamaran & Snorkel Tour,Attraction-Boat Tour-Catamaran-Sailing-Snorkel-Water Activities,1,64,153,https://fareharbor.com/embeds/calendar/amigotourscancunusd/items/227180/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/amigotourscancunusd/items/227180/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/amigotourscancunusd/items/227180/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mjjoCOe9Q9GUpWOHbky0
Eating With Carmen - MXN,eatingwithcarmen-mxn,info@eatingwithcarmen.com,(+52)9843107514,Mexico/Quintana Roo/Cancún,-86.834509,21.16124,499981,Cancun Local Experience,City Tour-Food Tour-Guided Tour-History Tour-Walking Tour,2,63,156,https://fareharbor.com/embeds/calendar/eatingwithcarmen-mxn/items/499981/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/eatingwithcarmen-mxn/items/499981/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/eatingwithcarmen-mxn/items/499981/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
Amigo Tours Cancún,amigotourscancunusd,cancun1@amigotours.com,+52 55 5522 8283,Mexico/Quintana Roo/Tulum,-87.46535,20.211419,366758,"Combo: Chichen Itza Early Access & Tulum, Coba, Cenote and Caves",City Tour-History Tour,1,60,126,https://fareharbor.com/embeds/calendar/amigotourscancunusd/items/366758/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/amigotourscancunusd/items/366758/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/amigotourscancunusd/items/366758/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/99r74NivQmq1YSkSYukQ
Xightseeing Xcursions,xightseeing,info@xightseeing.com,+52 998 826 9179,Mexico/Quintana Roo/Cancún,,,666574,Large Group Private City Tour in Cancun,Bus Tour-City Tour-Guided Tour-Private-Sightseeing Tour,7,50,0,https://fareharbor.com/embeds/calendar/xightseeing/items/666574/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/xightseeing/items/666574/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/xightseeing/items/666574/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/F0THs9sRTWmrSx1LKqOU
