company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Owhango Adventures,canoewhanganuiriver,info@owhangoadventures.co.nz,+64 7 895 4854,New Zealand/Manawatū-Whanganui/Retaruke,175.077301,-39.110876,480035,The Cultural River Expedition,Canoe,14,100,47,https://fareharbor.com/embeds/calendar/canoewhanganuiriver/items/480035/?asn=fhdn-nzd&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/canoewhanganuiriver/items/480035/?asn=fhdn-nzd&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/canoewhanganuiriver/items/480035/?asn=fhdn-nzd&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/j2tp8zfSpmWvaxYuqRU1
Owhango Adventures,canoewhanganuiriver,info@owhangoadventures.co.nz,+64 7 895 4854,New Zealand/Manawatū-Whanganui/Retaruke,175.073345,-39.109674,480036,The Serenity River Expedition,Canoe,4,100,2,https://fareharbor.com/embeds/calendar/canoewhanganuiriver/items/480036/?asn=fhdn-nzd&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/canoewhanganuiriver/items/480036/?asn=fhdn-nzd&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/canoewhanganuiriver/items/480036/?asn=fhdn-nzd&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/if5O6iGLRVC0SrbYLgrN
Owhango Adventures,canoewhanganuiriver,info@owhangoadventures.co.nz,+64 7 895 4854,New Zealand/Manawatū-Whanganui/Retaruke,175.077301,-39.110876,507729,Te Araroa Trail - Freedom Hire Canoe Journey from Whakahoro to Whanganui,Canoe,8,100,0,https://fareharbor.com/embeds/calendar/canoewhanganuiriver/items/507729/?asn=fhdn-nzd&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/canoewhanganuiriver/items/507729/?asn=fhdn-nzd&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/canoewhanganuiriver/items/507729/?asn=fhdn-nzd&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/RiIspCiAS9i89WYDh0ys
Waikiki Beach Services,waikikibeachservices,info@waikikibeachservices.com,(808) 388-1510,United States/Hawaii/Honolulu,-157.828755,21.277213,68065,Canoe Surfing,Canoe-Surf,5,99,167,https://fareharbor.com/embeds/calendar/waikikibeachservices/items/68065/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/waikikibeachservices/items/68065/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/waikikibeachservices/items/68065/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Rzl3DMG0StG5dCHeGclL
Fun Activities Adventure,fun-activities,info@fun-activities.net,+351 911 014 212,Portugal/Açores/Achada,,,281557,CANYONING Experience,Eco Tour-Environmental Attraction-Guided Tour-Other-Sports-Water Activities-Zipline,9,96,414,https://fareharbor.com/embeds/calendar/fun-activities/items/281557/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/fun-activities/items/281557/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/fun-activities/items/281557/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/nlwAaQxVTh2VzXcZsBTB
Fun Activities Adventure,fun-activities,info@fun-activities.net,+351 911 014 212,Portugal/Açores/Ponta Delgada,,,282244,CANYONING Salto do Cabrito,Eco Tour-Environmental Attraction-Guided Tour-Other-Service-Sports-Water Activities-Zipline,6,96,221,https://fareharbor.com/embeds/calendar/fun-activities/items/282244/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/fun-activities/items/282244/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/fun-activities/items/282244/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/xFZnpUqSLWsMsVzLFtru
Fun Activities Adventure,fun-activities,info@fun-activities.net,+351 911 014 212,Portugal/Açores/Vila Franca Do Campo,,,282450,KAYAKING Vila Franca do Campo,Attraction-Canoe-Eco Tour-Environmental Attraction-Guided Tour-Kayak-Other-Water Activities,6,96,234,https://fareharbor.com/embeds/calendar/fun-activities/items/282450/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/fun-activities/items/282450/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/fun-activities/items/282450/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/XDmWL9BS0G5HWvhVJq3Q
Liquid Alaska Tours,mendenhallicecaves,reservations@liquidalaskatours.com,1-800-892-5504,United States/Alaska/Juneau,-106.534838,38.794595,116148,Mendenhall Lake Canoe Tour,Canoe-Transportation,7,95,197,https://fareharbor.com/embeds/calendar/mendenhallicecaves/items/116148/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mendenhallicecaves/items/116148/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mendenhallicecaves/items/116148/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/suSeEYmBTUGUBYvqCBqJ
Waikiki Beach Services,waikikibeachservices,info@waikikibeachservices.com,(808) 388-1510,United States/Hawaii/Honolulu,-157.828755,21.277213,68064,One-on-One Individual Stand-Up Paddle Lesson,Canoe-SUP-Surf,3,92,324,https://fareharbor.com/embeds/calendar/waikikibeachservices/items/68064/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/waikikibeachservices/items/68064/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/waikikibeachservices/items/68064/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/cNwsjyKhQMCXKofQwVOU
Waikiki Beach Services,waikikibeachservices,info@waikikibeachservices.com,(808) 388-1510,United States/Hawaii/Honolulu,-157.828755,21.277213,94733,Canoe Charter,Canoe-Surf,3,92,43,https://fareharbor.com/embeds/calendar/waikikibeachservices/items/94733/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/waikikibeachservices/items/94733/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/waikikibeachservices/items/94733/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ib5xQCTTS2i6apkYUDRw
Liquid Alaska Tours,mendenhallicecaves,reservations@liquidalaskatours.com,1-800-892-5504,United States/Alaska/Juneau,-106.534838,38.794595,23432,Mendenhall Glacier Ice Adventure Tour,Canoe-Hiking-Photography Tour-Transportation,5,91,198,https://fareharbor.com/embeds/calendar/mendenhallicecaves/items/23432/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mendenhallicecaves/items/23432/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mendenhallicecaves/items/23432/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/OS1pzmSTSeTVHt4bghZT
