company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Music City Adventure Company,musiccityadventurecompany,justin@musiccityadventureco.com,615-398-1946,United States/Tennessee/Nashville,-86.796336,36.164052,432832,Nashville's Hidden Gems E-bike Tour,Bike Tour,6,100,268,https://fareharbor.com/embeds/calendar/musiccityadventurecompany/items/432832/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/musiccityadventurecompany/items/432832/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/musiccityadventurecompany/items/432832/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/eoU33AO9QUa8HiVMMsUu
PortCity Bike Tours,portcitybiketours,hello@portcitybiketours.com,1-603-380-6524,United States/New Hampshire/Portsmouth,-70.760322,43.075203,26123,Islands & Harbor Sightseeing Bike Tour - Explore the Must-See Sites,Bike Tour-Boat Tour-Brewery-Castle-City Tour-History Tour-Museum,9,99,210,https://fareharbor.com/embeds/calendar/portcitybiketours/items/26123/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/portcitybiketours/items/26123/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/portcitybiketours/items/26123/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/TVVPrBBWTlSGCnOqctuZ
Maui Sunriders Bike Company,mauisunriders,info@mauisunriders.com,+1 808 579 8970,United States/Hawaii/Paia,,,181765,Haleakala Downhill Self-Guided Bike Tour,Bike Tour,5,99,155,https://fareharbor.com/embeds/calendar/mauisunriders/items/181765/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mauisunriders/items/181765/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mauisunriders/items/181765/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/yKJVfFDYQx2y2o1QxkOc
FreeWheelin’ Bike Tours,neworleansbiketour,info@freewheelinbiketours.com,504.522.4368,United States/Louisiana/New Orleans,,,413309,'Breezy Big Easy' Guided E-Bike Tour,Bike Tour,9,99,252,https://fareharbor.com/embeds/calendar/neworleansbiketour/items/413309/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/neworleansbiketour/items/413309/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/neworleansbiketour/items/413309/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/EhwRIYyRcG7eaE6avjog
YOURBIKERGANG - Austin,yourbikergang-austin,hello+atx@yourbikergang.com,833-988-3999,United States/Texas/Austin,,,677725,Taco 'Bout Austin Bicycle Tour,Bike Tour-Food Tour,5,99,77,https://fareharbor.com/embeds/calendar/yourbikergang-austin/items/677725/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/yourbikergang-austin/items/677725/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/yourbikergang-austin/items/677725/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/jq0KxwgmQIKRa7CYjF0w
Bike and View,bikeandview,services@bikeandview.com,+1(415) 563-8616,United States/California/San Francisco,-122.430663,37.800693,51429,San Francisco Bike Rentals,Bike Rental-Bike Tour-E-Bike-Ferry-Marina-Rentals,6,98,180,https://fareharbor.com/embeds/calendar/bikeandview/items/51429/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bikeandview/items/51429/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bikeandview/items/51429/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/xYQ6RH1lTwK2ySVeLCZd
PortCity Bike Tours,portcitybiketours,hello@portcitybiketours.com,1-603-380-6524,United States/New Hampshire/Portsmouth,-70.760322,43.075203,91868,"Private and Custom Bike Tour | Historic, Scenic & Coastal Tour |",Bike Tour-City Tour-History Tour-Private,10,98,210,https://fareharbor.com/embeds/calendar/portcitybiketours/items/91868/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/portcitybiketours/items/91868/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/portcitybiketours/items/91868/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/2T6hq5URtGv4vqhsBStu
FreeWheelin’ Bike Tours,neworleansbiketour,info@freewheelinbiketours.com,504.522.4368,United States/Louisiana/New Orleans,,,49383,'Creole & Crescent' Guided Pedal Bike Tour,Bike Tour,17,97,251,https://fareharbor.com/embeds/calendar/neworleansbiketour/items/49383/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/neworleansbiketour/items/49383/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/neworleansbiketour/items/49383/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/0VxnnsXLTGY3YTTUjOww
FreeWheelin’ Bike Tours,neworleansbiketour,info@freewheelinbiketours.com,504.522.4368,United States/Louisiana/New Orleans,,,76034,'Creole & Crescent' Self-Guided Bike Tour,Bike Rental-Bike Tour-City Tour-Self-Guided Tour,19,96,2204,https://fareharbor.com/embeds/calendar/neworleansbiketour/items/76034/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/neworleansbiketour/items/76034/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/neworleansbiketour/items/76034/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/HDP2PcWhTAmlqGK6wIc5
PortCity Bike Tours,portcitybiketours,hello@portcitybiketours.com,1-603-380-6524,United States/New Hampshire/Portsmouth,-70.760322,43.075203,26124,New Hampshire Coastal and Seaside Villages eBike Tour - Explore The 19 Mile Coastline,Bike Tour-Castle,6,95,75,https://fareharbor.com/embeds/calendar/portcitybiketours/items/26124/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/portcitybiketours/items/26124/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/portcitybiketours/items/26124/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/7T1Q94ARQed6omGfswME
