company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Florida Adventures and Rentals,floridaadventuresandrentals,info@floridaadventuresandrentals.com,(239) 348-5551,United States/Florida/Goodland,,,44195,Marco Island Wildlife Sightseeing and Shelling Tour,Boat Tour,22,100,461,https://fareharbor.com/embeds/calendar/floridaadventuresandrentals/items/44195/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/floridaadventuresandrentals/items/44195/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/floridaadventuresandrentals/items/44195/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/a7VDgVWLT2Ss2ueq63rL
Florida Adventures and Rentals,floridaadventuresandrentals,info@floridaadventuresandrentals.com,(239) 348-5551,United States/Florida/Goodland,,,44212,Dolphin Tours,Dolphin,11,100,459,https://fareharbor.com/embeds/calendar/floridaadventuresandrentals/items/44212/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/floridaadventuresandrentals/items/44212/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/floridaadventuresandrentals/items/44212/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/vF5Rh2GuTPqsqrDFoWIV
Florida Adventures and Rentals,floridaadventuresandrentals,info@floridaadventuresandrentals.com,(239) 348-5551,United States/Florida/Goodland,,,44214,3 Hour Eco Tour,Eco Tour,12,100,309,https://fareharbor.com/embeds/calendar/floridaadventuresandrentals/items/44214/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/floridaadventuresandrentals/items/44214/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/floridaadventuresandrentals/items/44214/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/lZ1iMDFeQi4GodXv1xVg
Florida Adventures and Rentals,floridaadventuresandrentals,info@floridaadventuresandrentals.com,(239) 348-5551,United States/Florida/Naples,,,44245,Rookery Bay Kayak Tours,Kayak,34,100,307,https://fareharbor.com/embeds/calendar/floridaadventuresandrentals/items/44245/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/floridaadventuresandrentals/items/44245/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/floridaadventuresandrentals/items/44245/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/1gcLiu63TkigI9M3sf1F
Florida Adventures and Rentals,floridaadventuresandrentals,info@floridaadventuresandrentals.com,(239) 348-5551,United States/Florida/Marco Island,-81.707535,25.939741,44251,3 Hour Rental,Kayak-SUP,13,100,2618,https://fareharbor.com/embeds/calendar/floridaadventuresandrentals/items/44251/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/floridaadventuresandrentals/items/44251/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/floridaadventuresandrentals/items/44251/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/xL51qI7JTNetqHMmjbzR
Florida Adventures and Rentals,floridaadventuresandrentals,info@floridaadventuresandrentals.com,(239) 348-5551,United States/Florida/Marco Island,-81.707535,25.939741,44256,4 Hour Rental,Kayak-SUP,13,100,2002,https://fareharbor.com/embeds/calendar/floridaadventuresandrentals/items/44256/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/floridaadventuresandrentals/items/44256/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/floridaadventuresandrentals/items/44256/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/xmTqOVeSFSeTQNijgJle
Florida Adventures and Rentals,floridaadventuresandrentals,info@floridaadventuresandrentals.com,(239) 348-5551,United States/Florida/Marco Island,-81.707535,25.939741,44283,1 Day Rental,Kayak-SUP,15,100,1694,https://fareharbor.com/embeds/calendar/floridaadventuresandrentals/items/44283/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/floridaadventuresandrentals/items/44283/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/floridaadventuresandrentals/items/44283/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/e67QCAtTQqmIpuzRi4Is
Florida Adventures and Rentals,floridaadventuresandrentals,info@floridaadventuresandrentals.com,(239) 348-5551,United States/Florida/Marco Island,-81.707535,25.939741,45206,2 Hour Rentals,Kayak-SUP,17,100,2618,https://fareharbor.com/embeds/calendar/floridaadventuresandrentals/items/45206/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/floridaadventuresandrentals/items/45206/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/floridaadventuresandrentals/items/45206/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/wViBaylpQ4uLpcia0Lpu
Florida Adventures and Rentals,floridaadventuresandrentals,info@floridaadventuresandrentals.com,(239) 348-5551,United States/Florida/Goodland,,,49231,Private Wildlife Sightseeing and Shelling Tour,Boat Tour,12,100,463,https://fareharbor.com/embeds/calendar/floridaadventuresandrentals/items/49231/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/floridaadventuresandrentals/items/49231/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/floridaadventuresandrentals/items/49231/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/vc3AxPPTY2f3KKUaCoKd
Florida Adventures and Rentals,floridaadventuresandrentals,info@floridaadventuresandrentals.com,(239) 348-5551,United States/Florida/Marco Island,-81.707535,25.939741,72137,Weekly Rentals,Kayak-SUP,9,100,1694,https://fareharbor.com/embeds/calendar/floridaadventuresandrentals/items/72137/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/floridaadventuresandrentals/items/72137/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/floridaadventuresandrentals/items/72137/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/LbNPbzjaSLqpsmv3IcEp
