company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
North Georgia Wildlife & Safari Park,northgeorgiazoo,office@wildlifewonders.org,(706) 348-7279,United States/Georgia/Cleveland,,,614220,Ultimate Interaction Package,Zoo,5,80,32,https://fareharbor.com/embeds/calendar/northgeorgiazoo/items/614220/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/northgeorgiazoo/items/614220/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/northgeorgiazoo/items/614220/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/lSi4piQ8WXYcXd9N36cw
North Georgia Wildlife & Safari Park,northgeorgiazoo,office@wildlifewonders.org,(706) 348-7279,United States/Georgia/Cleveland,,,611528,Park Admission,Zoo,4,73,32,https://fareharbor.com/embeds/calendar/northgeorgiazoo/items/611528/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/northgeorgiazoo/items/611528/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/northgeorgiazoo/items/611528/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/i7dvr9IqQHmdtkJCiD9Y
Outside,outsidehiltonhead,reservations@outsidebrands.com,843.686.6996,United States/South Carolina/Hilton Head Island,,,81651,Savannah Georgia Port Tour,Sailing,4,71,497,https://fareharbor.com/embeds/calendar/outsidehiltonhead/items/81651/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/outsidehiltonhead/items/81651/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/outsidehiltonhead/items/81651/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/OHquf6CgR6WilqOoPZDU
North Georgia Wildlife & Safari Park,northgeorgiazoo,office@wildlifewonders.org,(706) 348-7279,United States/Georgia/Cleveland,,,653245,Young Capybara Experience,Zoo,5,70,26,https://fareharbor.com/embeds/calendar/northgeorgiazoo/items/653245/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/northgeorgiazoo/items/653245/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/northgeorgiazoo/items/653245/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/b4bPNvkHRwu8HNPJF9nK
Georgia Mountain Coaster,georgiamountaincoaster,sales@georgiamountaincoaster.com,(706) 878-1347,United States/Georgia/Helen,,,660810,Group Reservations,Attraction,1,68,880,https://fareharbor.com/embeds/calendar/georgiamountaincoaster/items/660810/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/georgiamountaincoaster/items/660810/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/georgiamountaincoaster/items/660810/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ae0n87eTL63AcUWpIHGC
North Georgia Wildlife & Safari Park,northgeorgiazoo,office@wildlifewonders.org,(706) 348-7279,United States/Georgia/Cleveland,,,611553,Capybara Meet & Greet,Zoo,1,67,33,https://fareharbor.com/embeds/calendar/northgeorgiazoo/items/611553/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/northgeorgiazoo/items/611553/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/northgeorgiazoo/items/611553/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/PCDqQAzFRuegvd4j3Zgs
North Georgia Wildlife & Safari Park,northgeorgiazoo,office@wildlifewonders.org,(706) 348-7279,United States/Georgia/Cleveland,,,611560,Fox Experience,Zoo,3,66,14,https://fareharbor.com/embeds/calendar/northgeorgiazoo/items/611560/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/northgeorgiazoo/items/611560/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/northgeorgiazoo/items/611560/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/wzJ5Z9nCR3GRbvzb3mwC
North Georgia Wildlife & Safari Park,northgeorgiazoo,office@wildlifewonders.org,(706) 348-7279,United States/Georgia/Cleveland,,,611564,Meet the Babies,Zoo,3,66,27,https://fareharbor.com/embeds/calendar/northgeorgiazoo/items/611564/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/northgeorgiazoo/items/611564/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/northgeorgiazoo/items/611564/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/bGGSvDMtSLC1HLvF3ocT
North Georgia Wildlife & Safari Park,northgeorgiazoo,office@wildlifewonders.org,(706) 348-7279,United States/Georgia/Cleveland,,,611542,Capybara Experience,Zoo,3,65,26,https://fareharbor.com/embeds/calendar/northgeorgiazoo/items/611542/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/northgeorgiazoo/items/611542/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/northgeorgiazoo/items/611542/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/2xlDHvhRAy02F0S8FFgS
North Georgia Wildlife & Safari Park,northgeorgiazoo,office@wildlifewonders.org,(706) 348-7279,United States/Georgia/Cleveland,,,611557,Feline Experience,Zoo,3,65,0,https://fareharbor.com/embeds/calendar/northgeorgiazoo/items/611557/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/northgeorgiazoo/items/611557/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/northgeorgiazoo/items/611557/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/kIuHSi31RZKMzjOPv8AB
North Georgia Wildlife & Safari Park,northgeorgiazoo,office@wildlifewonders.org,(706) 348-7279,United States/Georgia/Cleveland,,,611919,Sloth Experience,Zoo,3,65,20,https://fareharbor.com/embeds/calendar/northgeorgiazoo/items/611919/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/northgeorgiazoo/items/611919/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/northgeorgiazoo/items/611919/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/tDXUBDcSGqaUSSHzLzxg
