company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Wild Louisiana Tours,wildlouisianatours,wildlouisianatours@gmail.com,(985) 205-1527,United States/Louisiana/New Orleans,-90.075836,29.950894,8999,Inshore Kayak Fishing Charter,Fishing,6,85,0,https://fareharbor.com/embeds/calendar/wildlouisianatours/items/8999/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/wildlouisianatours/items/8999/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/wildlouisianatours/items/8999/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/krMPLp7cSzyrctfm0AYG
Wild Louisiana Tours,wildlouisianatours,wildlouisianatours@gmail.com,(985) 205-1527,United States/Louisiana/New Orleans,-90.075836,29.950894,8996,Manchac Magic Kayak Tour,Kayak,5,84,1028,https://fareharbor.com/embeds/calendar/wildlouisianatours/items/8996/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/wildlouisianatours/items/8996/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/wildlouisianatours/items/8996/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/KI8O2l8hRKSjmdyxNlsI
Tours by Marguerite,toursbymarguerite,info@toursbymarguerite.com,+1504-517-4324,United States/Louisiana/New Orleans,-90.059897,29.999647,164420,Creole Louisiana Walking Tour,Walking Tour,12,84,0,https://fareharbor.com/embeds/calendar/toursbymarguerite/items/164420/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/toursbymarguerite/items/164420/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/toursbymarguerite/items/164420/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/aaQtaADdRQaDgMXVhh5F
Wild Louisiana Tours,wildlouisianatours,wildlouisianatours@gmail.com,(985) 205-1527,United States/Louisiana/New Orleans,-90.075836,29.950894,514666,Bayous and Byways,Water Activities,5,83,0,https://fareharbor.com/embeds/calendar/wildlouisianatours/items/514666/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/wildlouisianatours/items/514666/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/wildlouisianatours/items/514666/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/g7QmV3HTNuiFfievmpB8
Wild Louisiana Tours,wildlouisianatours,wildlouisianatours@gmail.com,(985) 205-1527,United States/Louisiana/New Orleans,-90.075836,29.950894,119694,Private Small Boat Swamp Tour,Boat Tour-Private,8,80,131,https://fareharbor.com/embeds/calendar/wildlouisianatours/items/119694/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/wildlouisianatours/items/119694/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/wildlouisianatours/items/119694/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Q39mz75nTmarHY5vs5Nw
Wild Louisiana Tours,wildlouisianatours,wildlouisianatours@gmail.com,(985) 205-1527,United States/Louisiana/New Orleans,,,447935,New Orleans Birding Tour,Photography Tour,7,73,0,https://fareharbor.com/embeds/calendar/wildlouisianatours/items/447935/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/wildlouisianatours/items/447935/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/wildlouisianatours/items/447935/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/iyVMFG9VSuezxE0CGHPl
Louisiana Tour Company,louisianaswamp,tickets@louisianaswamp.com,504-689-3599,United States/Louisiana/Marrero,-90.137548,29.748554,359014,Airboat Swamp Tour - Large Boat - Drive Out,Airboat-Boat Tour-Wildlife,1,69,692,https://fareharbor.com/embeds/calendar/louisianaswamp/items/359014/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/louisianaswamp/items/359014/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/louisianaswamp/items/359014/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/h6UbM6sSH1La7uTqA5Qw
Louisiana Tour Company,louisianaswamp,tickets@louisianaswamp.com,504-689-3599,United States/Louisiana/Marrero,-90.137548,29.748554,359286,Airboat Swamp Tour - Small Boat - Drive Out,Airboat-Boat Tour,1,69,692,https://fareharbor.com/embeds/calendar/louisianaswamp/items/359286/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/louisianaswamp/items/359286/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/louisianaswamp/items/359286/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/cdktQa2QScVFpTNfmwEe
New Orleans Pedal Barge,neworleanspedalbarge,nolapedalbarge@gmail.com,+1(504) 264 1056,United States/Louisiana/New Orleans,,,656296,Louisiana Coastal Birding Tour,,4,69,126,https://fareharbor.com/embeds/calendar/neworleanspedalbarge/items/656296/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/neworleanspedalbarge/items/656296/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/neworleanspedalbarge/items/656296/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/0ZvZwe2Sg1516Nq5IQQ5
Louisiana Tour Company,louisianaswamp,tickets@louisianaswamp.com,504-689-3599,United States/Louisiana/Marrero,-90.137548,29.748554,358493,Swamp Tour by Tourboat - Pickup,Boat Tour-Transportation-Walking Tour,1,68,688,https://fareharbor.com/embeds/calendar/louisianaswamp/items/358493/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/louisianaswamp/items/358493/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/louisianaswamp/items/358493/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ADtwmJ2GTgarKyv1oBKR
