company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
North Carolina Glass Center,ncglasscenter,info@ncglasscenter.org,(828) 505-3552,United States/North Carolina/Asheville,-82.565957,35.586025,84834,Hot Shop: 30 Minute Make Your Own - Asheville,,5,75,1168,https://fareharbor.com/embeds/calendar/ncglasscenter/items/84834/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ncglasscenter/items/84834/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ncglasscenter/items/84834/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Yodmx0yjTLGDVardIK49
North Carolina Glass Center,ncglasscenter,info@ncglasscenter.org,(828) 505-3552,United States/North Carolina/Asheville,-82.565957,35.586025,84841,Flame Shop: 30 Minute Make Your Own - Asheville,,7,75,215,https://fareharbor.com/embeds/calendar/ncglasscenter/items/84841/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ncglasscenter/items/84841/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ncglasscenter/items/84841/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/BywP3oTwSjOjW8aHqsS9
North Carolina Glass Center,ncglasscenter,info@ncglasscenter.org,(828) 505-3552,United States/North Carolina/Asheville,-82.565957,35.586025,476383,Flame Shop: Tasty Treats - Asheville,,7,72,156,https://fareharbor.com/embeds/calendar/ncglasscenter/items/476383/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ncglasscenter/items/476383/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ncglasscenter/items/476383/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/CSQAg4SB6ThDtag897Lg
North Carolina Glass Center,ncglasscenter,info@ncglasscenter.org,(828) 505-3552,United States/North Carolina/Asheville,-82.565957,35.586025,385013,Flame Shop: Sculpture in Miniature - Asheville,,4,70,144,https://fareharbor.com/embeds/calendar/ncglasscenter/items/385013/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ncglasscenter/items/385013/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ncglasscenter/items/385013/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Gs10ApWQXSR7cUlkkp1s
North Carolina Glass Center,ncglasscenter,info@ncglasscenter.org,(828) 505-3552,United States/North Carolina/Black Mountain,-82.320283,35.618029,554979,Flame Shop: Fun With Fusing - Black Mountain,,3,64,120,https://fareharbor.com/embeds/calendar/ncglasscenter/items/554979/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ncglasscenter/items/554979/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ncglasscenter/items/554979/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/8EBp1UYSCegGuYzsUXYF
North Carolina River Riders,northcarolinariverriders,ncriverriders@gmail.com,(336) 244-6220,United States/North Carolina/Ronda,,,306020,Kayak Trip,,1,58,675,https://fareharbor.com/embeds/calendar/northcarolinariverriders/items/306020/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/northcarolinariverriders/items/306020/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/northcarolinariverriders/items/306020/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/FzuLSIO4Qli1vAFfxh5Q
North Carolina River Riders,northcarolinariverriders,ncriverriders@gmail.com,(336) 244-6220,United States/North Carolina/Elkin,-80.847574,36.241883,306024,Boat Shuttle Service,,1,58,0,https://fareharbor.com/embeds/calendar/northcarolinariverriders/items/306024/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/northcarolinariverriders/items/306024/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/northcarolinariverriders/items/306024/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/TpITmVjRg6TGHqmyUER5
North Carolina Glass Center,ncglasscenter,info@ncglasscenter.org,(828) 505-3552,United States/North Carolina/Black Mountain,-82.320283,35.618029,554972,Hot Shop: 30 Minute Make Your Own - Black Mountain,,0,55,549,https://fareharbor.com/embeds/calendar/ncglasscenter/items/554972/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ncglasscenter/items/554972/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ncglasscenter/items/554972/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Yodmx0yjTLGDVardIK49
North Carolina Glass Center,ncglasscenter,info@ncglasscenter.org,(828) 505-3552,United States/North Carolina/Black Mountain,-82.320283,35.618029,554973,Flame Shop: 30 Minute Make Your Own - Black Mountain,,0,55,200,https://fareharbor.com/embeds/calendar/ncglasscenter/items/554973/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ncglasscenter/items/554973/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ncglasscenter/items/554973/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/QMBrWBfWSguj5ktybWmY
North Carolina Glass Center,ncglasscenter,info@ncglasscenter.org,(828) 505-3552,United States/North Carolina/Asheville,-82.565957,35.586025,84851,A Feel For The Furnace: 3 Hour Workshop - Asheville,,1,53,50,https://fareharbor.com/embeds/calendar/ncglasscenter/items/84851/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ncglasscenter/items/84851/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ncglasscenter/items/84851/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/agXYxhjgRm2GwSqrSbNb
