company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Sundog Sailing Charleston,sundogsailing,sundogsailingllc@gmail.com,843-991-2894,United States/South Carolina/Johns Island,,,222939,"Sail from Historic Charleston to Kiawah Island, South Carolina",Sailing,6,90,180,https://fareharbor.com/embeds/calendar/sundogsailing/items/222939/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/sundogsailing/items/222939/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/sundogsailing/items/222939/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/rLaqS7uGSVq64BPAJvGK
The South Carolina Railroad Museum,scrm,scrailroadmuseum@gmail.com,1-803-635-9893,United States/South Carolina/Winnsboro,,,665567,North Pole Express,Train,1,57,0,https://fareharbor.com/embeds/calendar/scrm/items/665567/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/scrm/items/665567/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/scrm/items/665567/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/jwhAv0uQ7CRbqKKjMwHs
The South Carolina Railroad Museum,scrm,scrailroadmuseum@gmail.com,1-803-635-9893,United States/South Carolina/Winnsboro,,,665572,Santa’s Twilight Express,Train,1,51,0,https://fareharbor.com/embeds/calendar/scrm/items/665572/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/scrm/items/665572/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/scrm/items/665572/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/A9K8RKATuOHusyacYGYX
The South Carolina Railroad Museum,scrm,scrailroadmuseum@gmail.com,1-803-635-9893,United States/South Carolina/Winnsboro,,,665553,Bunny Eggspress,Train,1,45,0,https://fareharbor.com/embeds/calendar/scrm/items/665553/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/scrm/items/665553/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/scrm/items/665553/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/BI09Rg6jTWySch2MAo20
The South Carolina Railroad Museum,scrm,scrailroadmuseum@gmail.com,1-803-635-9893,United States/South Carolina/Winnsboro,,,665558,Blue Granite Express,Train,1,45,0,https://fareharbor.com/embeds/calendar/scrm/items/665558/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/scrm/items/665558/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/scrm/items/665558/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/fA5dtkBYTvOwYGY5M3nm
The South Carolina Railroad Museum,scrm,scrailroadmuseum@gmail.com,1-803-635-9893,United States/South Carolina/Winnsboro,,,665559,Pumpkin Patch Express,Train,1,45,0,https://fareharbor.com/embeds/calendar/scrm/items/665559/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/scrm/items/665559/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/scrm/items/665559/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/1cr5u0b4SZWJNMLivw2b
Teraloom,teraloom,info@teraloom.com,720-772-6492,United States/South Carolina/Mount Pleasant,-79.908335,32.788295,367257,"Charleston, South Carolina",,1,38,0,https://fareharbor.com/embeds/calendar/teraloom/items/367257/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/teraloom/items/367257/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/teraloom/items/367257/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/rxrIeF7CSIK786LIzqh1
The South Carolina Railroad Museum,scrm,scrailroadmuseum@gmail.com,1-803-635-9893,United States/South Carolina/Winnsboro,,,665556,BBQ Dinner Train,,1,35,0,https://fareharbor.com/embeds/calendar/scrm/items/665556/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/scrm/items/665556/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/scrm/items/665556/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/sUYSyapFR9Sbcev0quhw
Gallivanting Tours,gallivantingtours,jameswhite@gallivantingtoursandtransportation.com,5712559312,United States/Virginia/Stafford,,,691123,Charleston South Carolina,,12,35,1,https://fareharbor.com/embeds/calendar/gallivantingtours/items/691123/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/gallivantingtours/items/691123/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/gallivantingtours/items/691123/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/JmqWEYJoTnKNsdEB5YeQ
"Dessau International, Inc.",dessauinternational,louis@dessauinternational.com,(803) 319-0706,United States/South Carolina/Columbia,-81.035147,34.000832,382093,South Carolina History Immersion,Canoe-History Tour-Lodging,1,28,0,https://fareharbor.com/embeds/calendar/dessauinternational/items/382093/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/dessauinternational/items/382093/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/dessauinternational/items/382093/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/nYWevraT92YOXYaiiQ2A
