company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
West Portugal Tours,westptours,info@westptours.com,+351939681645,Portugal/Lisboa/Lisboa,,,599226,Barco e Kayak na ilha da Berlenga,Boat Tour-Canoe,7,88,43,https://fareharbor.com/embeds/calendar/westptours/items/599226/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/westptours/items/599226/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/westptours/items/599226/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Iuhcpg4hSjWdwQZm2oDd
Rapid Horizons Adventures,rapidhorizons,info@rapidhorizons.com,+44 1629 700334,United Kingdom/England/Ambergate,-1.492481,53.067371,597629,Adventure Tour,Canoe-Guided Tour-Kayak-SUP,4,84,192,https://fareharbor.com/embeds/calendar/rapidhorizons/items/597629/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/rapidhorizons/items/597629/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/rapidhorizons/items/597629/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/5mRKmxmTUp49aJgeUh4Q
Siesta Advisor Javea,siestaadvisor,info@siestaadvisor.com,+34 639 90 83 67,Spain/Comunidad Valenciana/Xàbia,,,517596,American Canoe Association Level 3: Coastal Kayaking,Canoe-Kayak-Water Activities,5,83,0,https://fareharbor.com/embeds/calendar/siestaadvisor/items/517596/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/siestaadvisor/items/517596/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/siestaadvisor/items/517596/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/GFocRgMWQiWaQA03Ekpp
Whitewater Active,sasoutdoors,enquiries@whitewateractive.co.uk,+44 1978 860763,United Kingdom/Wales/Llangollen,,,160745,Open Canoe Aqueduct Tour,Canoe,6,82,359,https://fareharbor.com/embeds/calendar/sasoutdoors/items/160745/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/sasoutdoors/items/160745/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/sasoutdoors/items/160745/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ALYp7S4yQC3BwHZB0DxA
Whitewater Active,sasoutdoors,enquiries@whitewateractive.co.uk,+44 1978 860763,United Kingdom/Wales/Llangollen,,,147436,White Water River Bugs,Canoe,10,81,210,https://fareharbor.com/embeds/calendar/sasoutdoors/items/147436/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/sasoutdoors/items/147436/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/sasoutdoors/items/147436/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/5IApFMafSpeNys3QMAhQ
Want to Canoe?,canoehire,hire@canoehire.co.uk,00441497 820604,United Kingdom/Wales/Hay-on-Wye,,,543697,Half Day Canoe Hire (5 Miles),Canoe,4,81,780,https://fareharbor.com/embeds/calendar/canoehire/items/543697/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/canoehire/items/543697/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/canoehire/items/543697/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/rrSTA64QpGnSHgfQGrxr
Want to Canoe?,canoehire,hire@canoehire.co.uk,00441497 820604,United Kingdom/England/Whitney-on-Wye,-3.083756,52.120545,543748,Full-day Canoe Hire (12 miles),Canoe,4,81,130,https://fareharbor.com/embeds/calendar/canoehire/items/543748/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/canoehire/items/543748/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/canoehire/items/543748/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/6ZRz4Vr5QwWXRWBsJ1Qf
Outdoor Norway,outdoornorway,booking@outdoornorway.com,+4756994021,Norway/Vestland/Voss,6.403125,60.627325,212668,River Canoe,Canoe,1,80,69,https://fareharbor.com/embeds/calendar/outdoornorway/items/212668/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/outdoornorway/items/212668/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/outdoornorway/items/212668/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/8jXBlvUdQ3yj6bvR1TIY
Siesta Advisor Javea,siestaadvisor,info@siestaadvisor.com,+34 639 90 83 67,Spain/Comunidad Valenciana/Xàbia,,,517231,American Canoe Association Level 2: Essentials of Kayak Touring,Canoe-Kayak-Water Activities,4,80,0,https://fareharbor.com/embeds/calendar/siestaadvisor/items/517231/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/siestaadvisor/items/517231/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/siestaadvisor/items/517231/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/8SOl0HiNRzSjGOLTCWrQ
Salhouse Broad,salhousebroad,theranger@salhousebroad.org.uk,01603722232,United Kingdom/England/Norwich,,,575986,Canoe Hire - 3 Hour Hire,Canoe,1,79,436,https://fareharbor.com/embeds/calendar/salhousebroad/items/575986/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/salhousebroad/items/575986/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/salhousebroad/items/575986/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/kidDhRaGQYunZ3uX2NQ4
Lek Mer,lekmer,info@lekmer.nu,46(0) 8-32 00 61,Sweden/Stockholms län/Stockholm,18.024097,59.325482,693903,Paddling 2 timmar – Välj Kajak eller SUP (Eden),Canoe-City Tour-Eco Tour-Kayak-Rentals-Self-Guided Tour-SUP-Water Activities,5,78,2462,https://fareharbor.com/embeds/calendar/lekmer/items/693903/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/lekmer/items/693903/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/lekmer/items/693903/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/amOv5D1HRq2a7sdA7QmZ
Whitewater Active,sasoutdoors,enquiries@whitewateractive.co.uk,+44 1978 860763,United Kingdom/Wales/Blaenau Ffestiniog,,,147448,Full Day Canyoning,Canoe,3,76,105,https://fareharbor.com/embeds/calendar/sasoutdoors/items/147448/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/sasoutdoors/items/147448/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/sasoutdoors/items/147448/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/LME8eh7vQguLJ5fdR4G8
