company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Tropical Bikes,copenhagenbikes,tours@tropicalbikes.dk,+4550656210,Denmark/København,,,553857,Spanish Private Tour,Bike Rental-Bike Tour-Guided Tour-Private-Sightseeing Tour,6,100,404,https://fareharbor.com/embeds/calendar/copenhagenbikes/items/553857/?asn=fhdn-dkk&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/copenhagenbikes/items/553857/?asn=fhdn-dkk&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/copenhagenbikes/items/553857/?asn=fhdn-dkk&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/JZKT0KsQnyQI013znvNg
Mike's Bike Tours Amsterdam,mikesbiketoursamsterdam,mikestoursamsterdam@gmail.com,+31648574952,Netherlands/Noord-Holland/Amsterdam,,,689900,Amsterdam Essentials Bike Tour,Attraction-Bike Rental-Bike Tour-City Tour-E-Bike-Guided Tour-History Tour-Other-Photography Tour-Sightseeing Tour,9,100,490,https://fareharbor.com/embeds/calendar/mikesbiketoursamsterdam/items/689900/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mikesbiketoursamsterdam/items/689900/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mikesbiketoursamsterdam/items/689900/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/T1TodpmpTCiFVE5YccgS
Valencia Bikes,valenciabikes,info@valenciabikes.com,+34 650621436,Spain/Comunidad Valenciana/Valencia,-0.391337,39.476982,197884,Valencia Bike Tour in DUTCH,Attraction-Bike Tour-City Tour,6,99,375,https://fareharbor.com/embeds/calendar/valenciabikes/items/197884/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/valenciabikes/items/197884/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/valenciabikes/items/197884/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/6xRmregTyWUcPOev23zl
City Bike,citybike,mail@citybike.ee,+372 5111819,Estonia/Harju maakond/Tallinn,24.748465,59.439774,218862,Welcome to Tallinn Bike Tour,Bike Tour,14,99,285,https://fareharbor.com/embeds/calendar/citybike/items/218862/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/citybike/items/218862/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/citybike/items/218862/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/JC2FaOPSW2CIGQAbhwIo
Go Local San Sebastián,golocalsansebastian,kaixo@golocalsansebastian.com,+34 943048328,Spain/Euskadi/Donostia,,,183031,Classic E-Bike Tour (Tour in English),Bike Rental-Bike Tour-E-Bike-Guided Tour,5,98,358,https://fareharbor.com/embeds/calendar/golocalsansebastian/items/183031/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/golocalsansebastian/items/183031/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/golocalsansebastian/items/183031/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/smCcFhbhR9Cf4DPT7OhF
Mike's Bike Tours,mikesbiketours,info@mikesbiketours.com,49 89 255 43 987,Germany/Bavaria/Munich,11.581981,48.135125,188913,Mike's Private Bike Tours (Prices are per group),Bike Tour-City Tour-Food Tour-History Tour-Private,7,97,180,https://fareharbor.com/embeds/calendar/mikesbiketours/items/188913/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mikesbiketours/items/188913/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mikesbiketours/items/188913/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/nYhpOgJSHW2NwEIqE3xn
Berggeheimnis,berggeheimnis,info@berggeheimnis.com,+4976619893790,Germany/Baden-Württemberg/Ihringen,7.647102,48.037529,290948,Outdoor Escape Erlebnis: Auf den Spuren von König Otto (E-Bike) | Kaiserstuhl,Bike Tour-E-Bike,6,97,1004,https://fareharbor.com/embeds/calendar/berggeheimnis/items/290948/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/berggeheimnis/items/290948/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/berggeheimnis/items/290948/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/vD6fXnURRKvCB6tuZowt
Tropical Bikes,copenhagenbikes,tours@tropicalbikes.dk,+4550656210,Denmark/København,12.566228,55.678302,504683,English Highlight Tour,Bike Rental-Bike Tour-Boat Tour-Guided Tour-History Tour,5,97,299,https://fareharbor.com/embeds/calendar/copenhagenbikes/items/504683/?asn=fhdn-dkk&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/copenhagenbikes/items/504683/?asn=fhdn-dkk&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/copenhagenbikes/items/504683/?asn=fhdn-dkk&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/oeYNsd2TNuGeW8xsV2oI
Bravo Bike SL,bravobike,info@bravobike.com,+34 607 448 440,Spain/Comunidad de Madrid/Madrid,,,141720,Private Madrid Regular or E-Bike Tour,Bike Rental-Bike Tour-Private,10,96,291,https://fareharbor.com/embeds/calendar/bravobike/items/141720/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bravobike/items/141720/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bravobike/items/141720/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/MmfarPXJQbeTfpBfNSKb
Radius Tours,radiustours,tours@radiustours.com,+4989543487 7740,Germany/Bayern/München,11.560701,48.141924,123922,Munich Bike Tour,Bike Tour-Bus Tour-City Tour-Food Tour-Sightseeing Tour-Surf,1,95,149,https://fareharbor.com/embeds/calendar/radiustours/items/123922/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/radiustours/items/123922/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/radiustours/items/123922/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/xymeEDfiSKyHBHVLDMeZ
