company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Eco Trilha,ecotrilha,booking@ecotrilha.pt,+35 1927 771 815,Portugal/Azores/Ponta Delgada,-25.710385,37.749346,146425,4-Day Azores Tour | Island Adventure & Nature Highlights,City Tour-Eco Tour-Factory Tour-Farm-Food Tour-Guided Tour-Hiking-History Tour-Transfer-Service-Sightseeing Tour-Walking Tour,9,100,129,https://fareharbor.com/embeds/calendar/ecotrilha/items/146425/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ecotrilha/items/146425/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ecotrilha/items/146425/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/kqZpLnSsC3eNtTEJm9Wg
Askos Tours,askostours,info@askostours.com,+3908118368816,Italy/Campania/Pompei,14.488676,40.751219,213159,From Pompeii: Pompeii and Vesuvius small group excursion and tickets included,Guided Tour-Hiking-History Tour-Transportation-Walking Tour,5,99,142,https://fareharbor.com/embeds/calendar/askostours/items/213159/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/askostours/items/213159/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/askostours/items/213159/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/2jouHzW2QhOs0byRm1dP
Out of the Box Florence,outoftheboxflorence,outoftheboxflorence@gmail.com,+39 347 080 9904,Italy/Toscana/Firenze,,,297256,The Unexpected Cinque Terre Adventure ® - Hiking day,Hiking-Walking Tour,16,99,180,https://fareharbor.com/embeds/calendar/outoftheboxflorence/items/297256/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/outoftheboxflorence/items/297256/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/outoftheboxflorence/items/297256/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/s5WTx2IPREyhIUVZRsVQ
World Experience,webarcelona,booking@worldexperience.com,+34 935950869,Spain/Catalunya/Barcelona,,,83681,Montserrat Monastery & Hiking Experience Premium Small Group from Barcelona,Guided Tour-Hiking-Walking Tour,8,98,0,https://fareharbor.com/embeds/calendar/webarcelona/items/83681/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/webarcelona/items/83681/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/webarcelona/items/83681/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mgdRSVqYRESjrShz4ICI
Radius Tours,radiustours,tours@radiustours.com,+4989543487 7740,Germany/Bayern/München,11.560701,48.141924,123905,Neuschwanstein Castle Tour,Bus Tour-Carriage-Castle-Events-Food Tour-Hiking-History Tour-Horse-Train-Transportation-Walking Tour,1,98,255,https://fareharbor.com/embeds/calendar/radiustours/items/123905/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/radiustours/items/123905/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/radiustours/items/123905/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/kg1F5B6Tl6oKJHjmiFct
Askos Tours,askostours,info@askostours.com,+3908118368816,Italy/Campania/Naples,14.268124,40.851775,163952,Pompeii and Vesuvius Private excursion and tickets included,Guided Tour-Hiking-History Tour-Private-Transportation,2,98,897,https://fareharbor.com/embeds/calendar/askostours/items/163952/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/askostours/items/163952/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/askostours/items/163952/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/0tVwlhT0SG6SFcN5cgQv
Askos Tours,askostours,info@askostours.com,+3908118368816,Italy/Campania/Ercolano,14.425853,40.828171,213145,Vesuvius small group excursion from Pompeii and skip the line tickets,Guided Tour-Hiking-Transportation,3,98,215,https://fareharbor.com/embeds/calendar/askostours/items/213145/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/askostours/items/213145/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/askostours/items/213145/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/9JbKH9r0ReKZSvTUe0dH
Stockholm Nature AB,stockholmnature,info@stockholmnature.com,+46 76 621 87 14,Sweden/Stockholms län/Stockholm,,,265863,Hiking Tour in Nature Reserve,Guided Tour-Hiking-History Tour-Walking Tour,13,96,171,https://fareharbor.com/embeds/calendar/stockholmnature/items/265863/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/stockholmnature/items/265863/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/stockholmnature/items/265863/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/FiE008vRwSUxBA1ZaJHw
Stockholm Nature AB,stockholmnature,info@stockholmnature.com,+46 76 621 87 14,Sweden/Stockholms län/Johanneshov,,,265868,Sunset Hiking Tour in National Park,Guided Tour-Hiking-Walking Tour,7,95,134,https://fareharbor.com/embeds/calendar/stockholmnature/items/265868/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/stockholmnature/items/265868/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/stockholmnature/items/265868/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/0soNhvCTUKO3hpuZzUFa
Norway Mountain Guides,norwaymountainguides,post@nmgguides.com,,Norway/Vestland/Bergen,,,379892,On Top of Bergen - Private Tour,Hiking-Private,11,95,152,https://fareharbor.com/embeds/calendar/norwaymountainguides/items/379892/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/norwaymountainguides/items/379892/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/norwaymountainguides/items/379892/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mPmOjyxXSXavv0vDIR8a
