company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Amitylux,amitylux,info@amitylux.com,+45 61 75 51 56,Finland/Uusimaa/Helsinki,24.950811,60.167968,304850,Helsinki 3h Private Tour,Guided Tour-Private-Walking Tour,11,85,2520,https://fareharbor.com/embeds/calendar/amitylux/items/304850/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/amitylux/items/304850/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/amitylux/items/304850/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/s6z8l1s0Rmm3xV6gVuu0
Kiruna Guidetur,kirunaguidetur,info@kirunaguidetur.com,46 980 81110,Sweden/Norrbottens län/Kiruna,,,563345,"Snowshoe Trek, Aurora",Walking Tour-Winter Activities,1,85,67,https://fareharbor.com/embeds/calendar/kirunaguidetur/items/563345/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/kirunaguidetur/items/563345/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/kirunaguidetur/items/563345/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/WXmncDizQ2m6jKFCcjmD
Tahko Safarit,tahkosafarit,sales@tahkosafarit.fi,+358400202303,Finland/Pohjois-Savo/Tahkovuori,,,666798,2 Hours Kayaking Tour,Canoe,1,82,1112,https://fareharbor.com/embeds/calendar/tahkosafarit/items/666798/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/tahkosafarit/items/666798/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/tahkosafarit/items/666798/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/87QyX8iLSbao0bnfP7N8
Aurora Village Oy,auroravillage,info@auroravillage.fi,+358104197820,Finland/Lappi/Inari,,,182144,Horseback riding - trail ride,Horse,6,81,27,https://fareharbor.com/embeds/calendar/auroravillage/items/182144/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/auroravillage/items/182144/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/auroravillage/items/182144/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/PEsg3d1R3Klhv1zfqh2I
Hetta Huskies,hettahuskies,info@hettahuskies.com,+358 40 353 2076,Finland/Lappi/Enontekiö,,,270252,Hike with Huskies: 2km Oldies Walk,Farm-Hiking-Walking Tour,5,81,129,https://fareharbor.com/embeds/calendar/hettahuskies/items/270252/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/hettahuskies/items/270252/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/hettahuskies/items/270252/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/F6QOoOxVST2e75ybBbcY
Tahko Safarit,tahkosafarit,sales@tahkosafarit.fi,+358400202303,Finland/Pohjois-Savo/Tahkovuori,,,666772,Nipasen Loop E-Bike Safari,Bike Tour,1,81,1112,https://fareharbor.com/embeds/calendar/tahkosafarit/items/666772/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/tahkosafarit/items/666772/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/tahkosafarit/items/666772/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/PTg0H5hOS6SVpDCUtzAV
Kiruna Guidetur,kirunaguidetur,info@kirunaguidetur.com,46 980 81110,Sweden/Norrbottens län/Kiruna,,,563097,Snowshoe Trek,Walking Tour-Winter Activities,1,80,67,https://fareharbor.com/embeds/calendar/kirunaguidetur/items/563097/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/kirunaguidetur/items/563097/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/kirunaguidetur/items/563097/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/yysk2cTPao8Ez5xMjBCQ
Tahko Safarit,tahkosafarit,sales@tahkosafarit.fi,+358400202303,Finland/Pohjois-Savo/Tahkovuori,,,666784,3 Hours E-bike Tour,Bike Tour,1,80,0,https://fareharbor.com/embeds/calendar/tahkosafarit/items/666784/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/tahkosafarit/items/666784/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/tahkosafarit/items/666784/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/jMmrhf8UReOVhwvkitcs
Tahko Safarit,tahkosafarit,sales@tahkosafarit.fi,+358400202303,Finland/Pohjois-Savo/Tahkovuori,,,666828,Tahko Amazing Adventure / Tahko Safaris,Walking Tour,1,80,0,https://fareharbor.com/embeds/calendar/tahkosafarit/items/666828/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/tahkosafarit/items/666828/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/tahkosafarit/items/666828/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Tt8gEhCGTXylPESLMysY
Aurora Village Oy,auroravillage,info@auroravillage.fi,+358104197820,Finland/Lappi/Inari,,,107109,Snowshoe Walk at night,Northern Lights Tour-Walking Tour,5,75,23,https://fareharbor.com/embeds/calendar/auroravillage/items/107109/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/auroravillage/items/107109/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/auroravillage/items/107109/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ylat0lTQJyyocvlv1Fjt
