company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Westwind Air Service,westwindairservice,info@westwindairservice.com,(888) 869-0866,United States/Arizona/Flagstaff,,,561718,Ultimate Tour of Northern Arizona From Flagstaff F-ULT,Walking Tour,6,85,180,https://fareharbor.com/embeds/calendar/westwindairservice/items/561718/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/westwindairservice/items/561718/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/westwindairservice/items/561718/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/U5z8D7tBSXy5cam9ahZH
Wine Tours of Sedona,winetoursofsedona,info@winetoursofsedona.com,928-224-2991,United States/Arizona/Sedona,,,214389,The Historic Downtown Flagstaff Microbrewery Tour,Brewery-City Tour-Guided Tour-Private-Sightseeing Tour,7,80,1620,https://fareharbor.com/embeds/calendar/winetoursofsedona/items/214389/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/winetoursofsedona/items/214389/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/winetoursofsedona/items/214389/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ePEvVspQvOKJsJIqowoG
Meteor Crater Education Alliance,flagstaffscience,info@flagstaffscience.org,928-386-7122,United States/Arizona,-111.09008,35.119234,664066,Field Study: Meteorite Hunters,Other,1,60,2040,https://fareharbor.com/embeds/calendar/flagstaffscience/items/664066/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/flagstaffscience/items/664066/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/flagstaffscience/items/664066/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/D34Fmy0jQmkiRXrMzxSa
Meteor Crater Education Alliance,flagstaffscience,info@flagstaffscience.org,928-386-7122,United States/Arizona,-111.09008,35.119234,664069,Field Study: Space Engineers,Other,1,59,2040,https://fareharbor.com/embeds/calendar/flagstaffscience/items/664069/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/flagstaffscience/items/664069/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/flagstaffscience/items/664069/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ARCAKV2PR3eZcGoxnZWD
Meteor Crater Education Alliance,flagstaffscience,info@flagstaffscience.org,928-386-7122,United States/Arizona/Flagstaff,,,662088,Kinetic Art,Other,1,47,2040,https://fareharbor.com/embeds/calendar/flagstaffscience/items/662088/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/flagstaffscience/items/662088/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/flagstaffscience/items/662088/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mxS3OfNQRqgjCNHbQH9w
Meteor Crater Education Alliance,flagstaffscience,info@flagstaffscience.org,928-386-7122,United States/Arizona/Flagstaff,,,662097,Crime Lab,Other,1,47,2040,https://fareharbor.com/embeds/calendar/flagstaffscience/items/662097/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/flagstaffscience/items/662097/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/flagstaffscience/items/662097/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/q9p0mMaZSKSnPAuQ3pW8
Meteor Crater Education Alliance,flagstaffscience,info@flagstaffscience.org,928-386-7122,United States/Arizona/Flagstaff,,,662098,"Ready, Set, Launch!",Other,1,47,2040,https://fareharbor.com/embeds/calendar/flagstaffscience/items/662098/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/flagstaffscience/items/662098/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/flagstaffscience/items/662098/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Z5VmK0iS32JyJ3Wsr5PA
Meteor Crater Education Alliance,flagstaffscience,info@flagstaffscience.org,928-386-7122,United States/Arizona/Flagstaff,,,662102,Launch Lab: Chemistry in Motion,Other,1,47,2040,https://fareharbor.com/embeds/calendar/flagstaffscience/items/662102/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/flagstaffscience/items/662102/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/flagstaffscience/items/662102/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mnQpQhogSEed4i67j1EK
Meteor Crater Education Alliance,flagstaffscience,info@flagstaffscience.org,928-386-7122,United States/Arizona/Flagstaff,,,662103,Rockstars of the Solar System,Other,1,47,2040,https://fareharbor.com/embeds/calendar/flagstaffscience/items/662103/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/flagstaffscience/items/662103/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/flagstaffscience/items/662103/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/9wfFlIbcQnOq1ipMMsBT
Meteor Crater Education Alliance,flagstaffscience,info@flagstaffscience.org,928-386-7122,United States/Arizona/Flagstaff,,,662232,Mission: Planetfall,Other,1,47,2040,https://fareharbor.com/embeds/calendar/flagstaffscience/items/662232/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/flagstaffscience/items/662232/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/flagstaffscience/items/662232/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/vmNNRBiBRzkrq4gpQKls
