company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Westwind Air Service,westwindairservice,info@westwindairservice.com,(888) 869-0866,United States/Arizona/Flagstaff,,,561718,Ultimate Tour of Northern Arizona From Flagstaff F-ULT,Walking Tour,6,85,180,https://fareharbor.com/embeds/calendar/westwindairservice/items/561718/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/westwindairservice/items/561718/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/westwindairservice/items/561718/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/U5z8D7tBSXy5cam9ahZH
Westwind Air Service,westwindairservice,info@westwindairservice.com,(888) 869-0866,United States/Arizona/Flagstaff,,,164131,Grand Canyon Signature Tour - South Rim with Hummer Ground Tour (F-PJX),Guided Tour,1,77,180,https://fareharbor.com/embeds/calendar/westwindairservice/items/164131/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/westwindairservice/items/164131/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/westwindairservice/items/164131/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/LvqjIQRrSo63cY2G0z9X
Westwind Air Service,westwindairservice,info@westwindairservice.com,(888) 869-0866,United States/Arizona/Flagstaff,,,164137,Grand Canyon Aerial Tour (F-AIR),Boat Tour,1,69,360,https://fareharbor.com/embeds/calendar/westwindairservice/items/164137/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/westwindairservice/items/164137/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/westwindairservice/items/164137/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/LP2pTC4T3e6dgQBVjzHR
Westwind Air Service,westwindairservice,info@westwindairservice.com,(888) 869-0866,United States/Arizona/Flagstaff,,,164139,Grand Canyon Skywalk Adventure Tour - West Rim (F-ADV),Photography Tour,1,69,180,https://fareharbor.com/embeds/calendar/westwindairservice/items/164139/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/westwindairservice/items/164139/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/westwindairservice/items/164139/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/NwRLi5mTQHqzaaMrtck1
Westwind Air Service,westwindairservice,info@westwindairservice.com,(888) 869-0866,United States/Arizona/Flagstaff,,,164143,Monument Valley Air & Ground Tour (F-MVJ),Guided Tour,1,69,180,https://fareharbor.com/embeds/calendar/westwindairservice/items/164143/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/westwindairservice/items/164143/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/westwindairservice/items/164143/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/V8REZ4EpRc22gTUzzgXx
Infinite Adventures,infiniteadventures,ops@infiniteadv.com,1-520-468-9774,United States/Arizona/Flagstaff,,,489017,Alaska Highlights Tour,Boat Tour-Guided Tour-Lodging-Walking Tour,9,65,0,https://fareharbor.com/embeds/calendar/infiniteadventures/items/489017/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/infiniteadventures/items/489017/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/infiniteadventures/items/489017/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/1913c86NTrO6PklDGiRh
Meteor Crater Education Alliance,flagstaffscience,info@flagstaffscience.org,928-386-7122,United States/Arizona,-111.09008,35.119234,664066,Field Study: Meteorite Hunters,Other,1,60,2025,https://fareharbor.com/embeds/calendar/flagstaffscience/items/664066/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/flagstaffscience/items/664066/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/flagstaffscience/items/664066/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/D34Fmy0jQmkiRXrMzxSa
Infinite Adventures,infiniteadventures,ops@infiniteadv.com,1-520-468-9774,United States/Arizona/Flagstaff,-111.662486,35.190929,418228,Alaska Salmon Run Adventure,Boat Tour-Walking Tour,4,59,0,https://fareharbor.com/embeds/calendar/infiniteadventures/items/418228/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/infiniteadventures/items/418228/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/infiniteadventures/items/418228/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/P2gXdKebTKuaJ74F6si8
Infinite Adventures,infiniteadventures,ops@infiniteadv.com,1-520-468-9774,United States/Arizona/Flagstaff,,,418261,Alaska Denali Expedition,Water Activities,4,59,0,https://fareharbor.com/embeds/calendar/infiniteadventures/items/418261/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/infiniteadventures/items/418261/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/infiniteadventures/items/418261/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/3FXLvjPGSRCZXzxCB85t
Meteor Crater Education Alliance,flagstaffscience,info@flagstaffscience.org,928-386-7122,United States/Arizona,-111.09008,35.119234,664069,Field Study: Space Engineers,Other,1,59,2025,https://fareharbor.com/embeds/calendar/flagstaffscience/items/664069/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/flagstaffscience/items/664069/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/flagstaffscience/items/664069/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ARCAKV2PR3eZcGoxnZWD
