company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Make Antwerp Great Again - City Tours,makeantwerpgreatagain,info@antwerpgids.be,0032 478 84 9112,Belgium/Vlaams Gewest/Antwerpen,4.412139,51.22152,398426,Antwerp ECO-Tour op de fiets,Eco Tour,4,86,644,https://fareharbor.com/embeds/calendar/makeantwerpgreatagain/items/398426/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/makeantwerpgreatagain/items/398426/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/makeantwerpgreatagain/items/398426/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/uLsFca09RUuJl26ITh0y
Quasimundo Bike Tours,quasimundo,info@quasimundo.com,+3250330775,Belgium/Vlaams Gewest/Brugge,,,545249,Brugge op de fiets • Gedeelde tour,Bike Tour,1,69,247,https://fareharbor.com/embeds/calendar/quasimundo/items/545249/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/quasimundo/items/545249/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/quasimundo/items/545249/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/vTJSKRDCQhKAWCjV4T7r
Quasimundo Bike Tours,quasimundo,info@quasimundo.com,+3250330775,Belgium/Vlaams Gewest/Brugge,,,545266,Brugge op de fiets • Privé tour,Bike Tour,1,69,644,https://fareharbor.com/embeds/calendar/quasimundo/items/545266/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/quasimundo/items/545266/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/quasimundo/items/545266/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/EX6jIVDSjL90mGysbR1A
Quasimundo Bike Tours,quasimundo,info@quasimundo.com,+3250330775,Belgium/Vlaams Gewest/Brugge,,,545533,Brugge by Bike • Shared tour,Bike Tour,1,69,228,https://fareharbor.com/embeds/calendar/quasimundo/items/545533/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/quasimundo/items/545533/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/quasimundo/items/545533/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/v6NC5kzQvaCw1mRivZAA
Quasimundo Bike Tours,quasimundo,info@quasimundo.com,+3250330775,Belgium/Vlaams Gewest/Brugge,,,545543,Brugge by Bike • Private Tour,Bike Tour,1,69,645,https://fareharbor.com/embeds/calendar/quasimundo/items/545543/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/quasimundo/items/545543/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/quasimundo/items/545543/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/O0rfFKWRMygNrxmTdDna
Quasimundo Bike Tours,quasimundo,info@quasimundo.com,+3250330775,Belgium/Vlaams Gewest/Brugge,,,545545,Family-friendly Border by Bike • Private Tour,Bike Tour,1,69,129,https://fareharbor.com/embeds/calendar/quasimundo/items/545545/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/quasimundo/items/545545/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/quasimundo/items/545545/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/4nhegknRXmQwcRc68I1P
Quasimundo Bike Tours,quasimundo,info@quasimundo.com,+3250330775,Belgium/Vlaams Gewest/Brugge,,,545540,Family-friendly Border by Bike • Shared tour,Bike Tour,1,49,73,https://fareharbor.com/embeds/calendar/quasimundo/items/545540/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/quasimundo/items/545540/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/quasimundo/items/545540/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/b0wcYHnhSKGPzyW35SOc
Leie Adventures,deinzekajakt,info@leie-adventures.be,+32 9 496 89 66,Belgium/Vlaams Gewest/Deinze,,,592541,Kano huur,Canoe,1,46,0,https://fareharbor.com/embeds/calendar/deinzekajakt/items/592541/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/deinzekajakt/items/592541/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/deinzekajakt/items/592541/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/pZNO6JwQCGXlRsSjnQDq
Quasimundo Bike Tours,quasimundo,info@quasimundo.com,+3250330775,Belgium/Vlaams Gewest/Brugge,,,681146,Wicked Christmas Experience • Shared Tour,Bike Tour,6,20,0,https://fareharbor.com/embeds/calendar/quasimundo/items/681146/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/quasimundo/items/681146/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/quasimundo/items/681146/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/EMEj5ztQQlLvXqdEq8Va
De Fietsgids,defietsgids,info@defietsgids.be,32474930941,Belgium/Vlaanderen/Mechelen,,,448061,Publieke fietstour - Mechelen Classics,Bike Rental-Bike Tour-City Tour-Sightseeing Tour,1,9,25,https://fareharbor.com/embeds/calendar/defietsgids/items/448061/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/defietsgids/items/448061/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/defietsgids/items/448061/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/TF1Xtyr5QQi0a1LrG1Ay
