company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Walks in Europe,walksineurope,support@walksineurope.com,+1(332) 242-2284,France/Île-de-France/Paris,,,366462,Paris: Louvre Masterpieces Tour with Pre-Reserved Tickets,Attraction-Museum-Rafting,27,100,807,https://fareharbor.com/embeds/calendar/walksineurope/items/366462/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/walksineurope/items/366462/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/walksineurope/items/366462/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/JTn66BhIQBG33XlebQDA
Le Haras des Ouches,harasdesouches,contactcemedicis@gmail.com,+33671466357,France/Nouvelle-Aquitaine/Roiffé,0.045789,47.160655,211976,Balades touristiques,Horse,4,86,209,https://fareharbor.com/embeds/calendar/harasdesouches/items/211976/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/harasdesouches/items/211976/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/harasdesouches/items/211976/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/SyobiCpOSiSa4li17sKh
Holland Bikes Tours and Rentals,hollandbikestoursandrentalsparis,,,France/Auvergne-Rhône-Alpes/Lyon,4.839815,45.756512,539390,Lyon Highlights Tour,Bike Tour,8,82,319,https://fareharbor.com/embeds/calendar/hollandbikestoursandrentalsparis/items/539390/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/hollandbikestoursandrentalsparis/items/539390/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/hollandbikestoursandrentalsparis/items/539390/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/QH3hKtgQkmDEgwrSJNFy
Cognac Tasting Tour,cognac-tasting-tour,contact@cognac-tasting-tour.fr,+33 770 44 31 89,France/Nouvelle-Aquitaine/Saint-Preuil,-0.170835,45.595811,592787,Balade VAE guidée dans le vignoble de Cognac - Demi-journée,Bike Tour,5,79,0,https://fareharbor.com/embeds/calendar/cognac-tasting-tour/items/592787/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/cognac-tasting-tour/items/592787/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/cognac-tasting-tour/items/592787/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/w1w2i3ZbQZiSRMbHVNFB
Honfleur tours,honfleurtours,contact@honfleurtours.com,+33 967 331 930,France/Normandie/Honfleur,0.231169,49.422792,627784,PÉDAL & PORT | HONFLEUR – VISITE 2H EN VÉLO ÉLECTRIQUE,Bike Tour,2,72,120,https://fareharbor.com/embeds/calendar/honfleurtours/items/627784/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/honfleurtours/items/627784/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/honfleurtours/items/627784/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/WRFUbimQnCSKsVopfUR1
Le Haras des Ouches,harasdesouches,contactcemedicis@gmail.com,+33671466357,France/Nouvelle-Aquitaine/Roiffé,,,211986,Balade en calèche privative,Horse,1,69,9,https://fareharbor.com/embeds/calendar/harasdesouches/items/211986/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/harasdesouches/items/211986/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/harasdesouches/items/211986/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/3HyCw0tiTPSApssaj8dj
Happymoov Nice Vélotaxis,nicecitytour,,+33672320589,France/Provence-Alpes-Côte d'Azur/Nice,,,223953,Le French Riviera Tour - 45 min. - 16 monuments,Bike Tour,1,69,0,https://fareharbor.com/embeds/calendar/nicecitytour/items/223953/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/nicecitytour/items/223953/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/nicecitytour/items/223953/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/hH6TcqrfT5WLXs6NQDSo
Happymoov Nice Vélotaxis,nicecitytour,,+33672320589,France/Provence-Alpes-Côte d'Azur/Nice,,,223962,Le Tour Prestige - 2h - 28 monuments,Bike Tour,1,69,0,https://fareharbor.com/embeds/calendar/nicecitytour/items/223962/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/nicecitytour/items/223962/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/nicecitytour/items/223962/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/qDIRHc2TTBSTobK1274x
Happymoov Nice Vélotaxis,nicecitytour,,+33672320589,France/Provence-Alpes-Côte d'Azur/Nice,,,223964,Le Grand Tour - 1h15 - 22 monuments,Bike Tour,2,69,0,https://fareharbor.com/embeds/calendar/nicecitytour/items/223964/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/nicecitytour/items/223964/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/nicecitytour/items/223964/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ACepF3tQkP0KBV4ihsLw
Le Haras des Ouches,harasdesouches,contactcemedicis@gmail.com,+33671466357,France/Nouvelle-Aquitaine/Roiffé,,,236833,Stage d'équitation Enfants et Ados,Horse,1,59,128,https://fareharbor.com/embeds/calendar/harasdesouches/items/236833/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/harasdesouches/items/236833/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/harasdesouches/items/236833/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/5ilgwjq0S6NYai8vuNCi
