company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Berggeheimnis,berggeheimnis,info@berggeheimnis.com,+4976619893790,Germany/Baden-Württemberg/Ihringen,7.647102,48.037529,290948,Outdoor Escape Erlebnis: Auf den Spuren von König Otto (E-Bike) | Kaiserstuhl,Bike Tour-E-Bike,6,97,1004,https://fareharbor.com/embeds/calendar/berggeheimnis/items/290948/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/berggeheimnis/items/290948/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/berggeheimnis/items/290948/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/vD6fXnURRKvCB6tuZowt
Berggeheimnis,berggeheimnis,info@berggeheimnis.com,+4976619893790,Germany/Baden-Württemberg/Kirchzarten,7.953213,47.964178,538465,RadRätsel: Der Brautzug der Marie Antoinette | Dreisamtal,Bike Tour-Self-Guided Tour,6,95,1260,https://fareharbor.com/embeds/calendar/berggeheimnis/items/538465/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/berggeheimnis/items/538465/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/berggeheimnis/items/538465/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/YX3uAr3fTOuixSpFcJbK
Berggeheimnis,berggeheimnis,info@berggeheimnis.com,+4976619893790,Germany/Baden-Württemberg/Bernau im Schwarzwald,8.035363,47.801785,674780,RadRätsel: Das verborgene Portrait des großen Winterhalters | Bernauer Hochtal,Bike Tour-Self-Guided Tour,7,95,987,https://fareharbor.com/embeds/calendar/berggeheimnis/items/674780/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/berggeheimnis/items/674780/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/berggeheimnis/items/674780/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/LTXdNA5lTEC4nDquQ0hU
Special Private Tours,specialprivatetours,info@specialprivatetours.com,0049 15215875864,Germany/Bavaria/Füssen,10.700433,47.569648,265824,Fairy-tale Castles Private Tour From Füssen,Bus Tour-Carriage-Castle-History Tour-Horse-Private-Shuttle-Transportation,8,85,0,https://fareharbor.com/embeds/calendar/specialprivatetours/items/265824/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/specialprivatetours/items/265824/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/specialprivatetours/items/265824/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Lqg6W73PQOeD9AT44NWz
Special Private Tours,specialprivatetours,info@specialprivatetours.com,0049 15215875864,Germany/Bavaria/Munich,11.581981,48.135125,265835,Neuschwanstein Castle and More Private Tour,Bus Tour-Carriage-Castle-Food Tour-History Tour-Horse-Private-Shuttle-Transportation,6,85,0,https://fareharbor.com/embeds/calendar/specialprivatetours/items/265835/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/specialprivatetours/items/265835/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/specialprivatetours/items/265835/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/FiR1lRUR6PqWwmBLN5Q6
Special Private Tours,specialprivatetours,info@specialprivatetours.com,0049 15215875864,Germany/Bavaria/Munich,11.581981,48.135125,265860,3-Day Private Tour Best of Bavaria and Tyrol,Attraction-Carriage-Castle-City Tour-Horse-Private-Shuttle-Transportation,8,85,0,https://fareharbor.com/embeds/calendar/specialprivatetours/items/265860/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/specialprivatetours/items/265860/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/specialprivatetours/items/265860/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/YykP5SQiQeGkCjKQWqQQ
Special Private Tours,specialprivatetours,info@specialprivatetours.com,0049 15215875864,Germany/Bavaria/Munich,11.581981,48.135125,265861,3 Day Royal Tour (Ludwig II from the beginning to the end),Boat Tour-Carriage-Castle-Dinner Boat-History Tour-Horse-Museum-Shuttle-Sightseeing Tour-Transportation-Walking Tour,11,85,0,https://fareharbor.com/embeds/calendar/specialprivatetours/items/265861/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/specialprivatetours/items/265861/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/specialprivatetours/items/265861/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/V2Z5JuNRP7EO43JSKwzw
Special Private Tours,specialprivatetours,info@specialprivatetours.com,0049 15215875864,Germany/Bavaria/Füssen,10.700433,47.569648,265873,Neuschwanstein Castle Half-Day Private Tour from Füssen Or Hohenschwangau,Bus Tour-Carriage-Castle-History Tour-Horse-Private-Shuttle-Sightseeing Tour-Transportation,6,85,0,https://fareharbor.com/embeds/calendar/specialprivatetours/items/265873/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/specialprivatetours/items/265873/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/specialprivatetours/items/265873/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/HVlKEJAXQxaU5rlbaaG6
Special Private Tours,specialprivatetours,info@specialprivatetours.com,0049 15215875864,Germany/Bavaria/Munich,11.581981,48.135125,265859,2 Day Tour (All in one),Attraction-Bus Tour-Carriage-Castle-City Tour-History Tour-Horse-Private-Shuttle-Transportation,6,84,0,https://fareharbor.com/embeds/calendar/specialprivatetours/items/265859/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/specialprivatetours/items/265859/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/specialprivatetours/items/265859/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/YU2Y3sHkTUmubTlnFDOS
Special Private Tours,specialprivatetours,info@specialprivatetours.com,0049 15215875864,Germany/Bavaria/Füssen,10.700433,47.569648,265876,Neuschwanstein and Hohenschwangau Castle Private Tour,Bus Tour-Carriage-Castle-History Tour-Horse-Private-Shuttle-Sightseeing Tour-Transportation,5,84,0,https://fareharbor.com/embeds/calendar/specialprivatetours/items/265876/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/specialprivatetours/items/265876/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/specialprivatetours/items/265876/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/i850OWM7QNqKuTDkvLqn
