company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Walks in Europe,walksineurope,support@walksineurope.com,+1(332) 242-2284,Italy/Lombardia/Milano,,,522302,Milan: Cathedral and Terraces Guided Tour with Tickets,Guided Tour-Horse,5,100,774,https://fareharbor.com/embeds/calendar/walksineurope/items/522302/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/walksineurope/items/522302/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/walksineurope/items/522302/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ki6nlSkjRv2gu9KivMZN
Out of the Box Florence,outoftheboxflorence,outoftheboxflorence@gmail.com,+39 347 080 9904,Italy/Toscana/Firenze,,,297256,The Unexpected Cinque Terre Adventure ® - Hiking day,Hiking-Walking Tour,16,99,180,https://fareharbor.com/embeds/calendar/outoftheboxflorence/items/297256/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/outoftheboxflorence/items/297256/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/outoftheboxflorence/items/297256/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/s5WTx2IPREyhIUVZRsVQ
Walks in Europe,walksineurope,support@walksineurope.com,+1(332) 242-2284,Italy/Tuscany/Siena,11.330581,43.318474,236270,"Siena Private Walking Tour: Traditions, Streets & Cathedral",History Tour-Horse-Private-Walking Tour,10,98,963,https://fareharbor.com/embeds/calendar/walksineurope/items/236270/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/walksineurope/items/236270/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/walksineurope/items/236270/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/YoQiJKIRRxv3BZBvdIlg
We Like Tuscany s.a.s.,weliketuscany,info@weliketuscany.it,+39 342 9352395,Italy/Toscana/Firenze,,,74453,Florence & Taste of Tuscany - Half Day Tour,Bike Tour-E-Bike-Wine,4,90,299,https://fareharbor.com/embeds/calendar/weliketuscany/items/74453/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/weliketuscany/items/74453/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/weliketuscany/items/74453/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/22qMKLVKS0aNh0yl5X8Q
Bologna Tour,bolognatour,info@bolognatour.eu,+39 3920060314,Italy/Veneto/Venezia,,,420697,Ferrari Full Day from Venice,Factory Tour-Guided Tour-History Tour-Horse,3,86,180,https://fareharbor.com/embeds/calendar/bolognatour/items/420697/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bolognatour/items/420697/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bolognatour/items/420697/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/spQZe13PRtavncmuhsBd
Arbaspaa,arbaspaa,info@arbaspaa.com,+39 0187 760083,Italy/Liguria/Monterosso al Mare,,,156113,E-Bike tour: From Monterosso to Soviore sanctuary,Bike Rental-Bike Tour-E-Bike-History Tour-Wine,5,85,180,https://fareharbor.com/embeds/calendar/arbaspaa/items/156113/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/arbaspaa/items/156113/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/arbaspaa/items/156113/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/pgEQFMy2TgyN1Ku6NB5I
Bologna Tour,bolognatour,info@bolognatour.eu,+39 3920060314,Italy/Emilia-Romagna/Bologna,,,200344,Lamborghini & Ferrari Day Tour,History Tour-Horse-Museum-Transfer-Private-Shuttle,6,85,360,https://fareharbor.com/embeds/calendar/bolognatour/items/200344/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bolognatour/items/200344/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bolognatour/items/200344/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/zS7lCISvSIKTd0vViGgn
Arbaspaa,arbaspaa,info@arbaspaa.com,+39 0187 760083,Italy/Liguria/La Spezia,,,119344,Mountain E-Bike Private tour: La Spezia - Cinque Terre,Bike Tour-E-Bike-Train,5,83,0,https://fareharbor.com/embeds/calendar/arbaspaa/items/119344/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/arbaspaa/items/119344/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/arbaspaa/items/119344/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/dMQQ1xKTRiY2cOpIYZED
We Like Tuscany s.a.s.,weliketuscany,info@weliketuscany.it,+39 342 9352395,Italy/Toscana/Firenze,11.243185,43.76613,74460,Active Full Day Tuscan Bike Tour,Bike Tour-E-Bike-Museum-Shuttle-Winery-Wine,4,82,180,https://fareharbor.com/embeds/calendar/weliketuscany/items/74460/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/weliketuscany/items/74460/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/weliketuscany/items/74460/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Q1YxKb0QcKrPxwHHgqX1
Arbaspaa,arbaspaa,info@arbaspaa.com,+39 0187 760083,Italy/Liguria/Porto Venere,,,119357,Rock Climbing with stunning views - Portovenere,Climbing-Hiking-Private-Rentals,6,82,180,https://fareharbor.com/embeds/calendar/arbaspaa/items/119357/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/arbaspaa/items/119357/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/arbaspaa/items/119357/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/jIMH3y7cRIeee4T5w2j8
