company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Go Local San Sebastián,golocalsansebastian,kaixo@golocalsansebastian.com,+34 943048328,Spain/Euskadi/Donostia,,,183031,Classic E-Bike Tour (Tour in English),Bike Rental-Bike Tour-E-Bike-Guided Tour,5,98,358,https://fareharbor.com/embeds/calendar/golocalsansebastian/items/183031/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/golocalsansebastian/items/183031/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/golocalsansebastian/items/183031/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/smCcFhbhR9Cf4DPT7OhF
World Experience,webarcelona,booking@worldexperience.com,+34 935950869,Spain/Comunidad de Madrid/Madrid,-3.684946,40.470249,477539,Segovia Private Guided Visit & Alcazar with High-Speed train from Madrid,City Tour-Guided Tour-Hiking-Train-Walking Tour,10,94,130,https://fareharbor.com/embeds/calendar/webarcelona/items/477539/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/webarcelona/items/477539/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/webarcelona/items/477539/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/95Hc4dAZRGg7gqsiGnQQ
Tourne,tournebilbao,info@tournebilbao.com,+34 688 749 372,Spain/Euskadi/Bilbo,,,159053,Highlights E-bike Tour,Attraction-Bike Rental-Bike Tour-City Tour-Museum,5,93,533,https://fareharbor.com/embeds/calendar/tournebilbao/items/159053/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/tournebilbao/items/159053/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/tournebilbao/items/159053/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/6Y1IEficRoWjTdoNH6nd
Tourne,tournebilbao,info@tournebilbao.com,+34 688 749 372,Spain/Euskadi/Bilbo,,,159057,Highlights Private E-bike Tour,Bike Rental-Bike Tour,1,92,1075,https://fareharbor.com/embeds/calendar/tournebilbao/items/159057/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/tournebilbao/items/159057/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/tournebilbao/items/159057/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/8n6ZF9zTouW3N5P7jpnb
Bilke Bilbao S.L.,bilkebilbao,info@bilkebilbao.com,+34613060548,Spain/Euskadi/Bilbo,-2.935008,43.266039,527145,Lo Mejor de Bilbao,Bike Tour,7,90,0,https://fareharbor.com/embeds/calendar/bilkebilbao/items/527145/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bilkebilbao/items/527145/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bilkebilbao/items/527145/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/I0quMKWxRjqTK7ajwOEw
Bilke Bilbao S.L.,bilkebilbao,info@bilkebilbao.com,+34613060548,Spain/Euskadi/Bilbo,-2.935008,43.266039,527147,Lo Mejor de Bilbao en Privado. Bicicleta Clásica,Bike Tour,5,88,0,https://fareharbor.com/embeds/calendar/bilkebilbao/items/527147/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bilkebilbao/items/527147/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bilkebilbao/items/527147/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/9rG6uEFQtGwq3NZoPh1T
Cycling Tour Barcelona,cyclingtourbarcelona,cyclingtourbarcelona@gmail.com,+44 7463 680099,Spain/Catalunya/Barcelona,2.177287,41.380484,403406,Sightseeing by Bike Photo-Shooting & Tapas,Bike Tour,14,85,179,https://fareharbor.com/embeds/calendar/cyclingtourbarcelona/items/403406/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/cyclingtourbarcelona/items/403406/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/cyclingtourbarcelona/items/403406/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/AQFojyeTRoubjNLP7Gyp
Cycling Tour Barcelona,cyclingtourbarcelona,cyclingtourbarcelona@gmail.com,+44 7463 680099,Spain/Catalunya/Barcelona,2.177287,41.380484,403412,Sightseeing by Bike Photo-Shooting,Bike Tour,10,85,357,https://fareharbor.com/embeds/calendar/cyclingtourbarcelona/items/403412/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/cyclingtourbarcelona/items/403412/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/cyclingtourbarcelona/items/403412/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/a0PEosUZSlu8uFypaXwd
El Ciclo,elciclobcn,ramiro@elciclobcn.com,34607824860,Spain/Catalunya/Barcelona,,,540801,Best of Barcelona Bicycle Tour - group,Bike Tour,5,84,634,https://fareharbor.com/embeds/calendar/elciclobcn/items/540801/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/elciclobcn/items/540801/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/elciclobcn/items/540801/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/6XJO6hcbQDGWBXznD80S
Tourne,tournebilbao,info@tournebilbao.com,+34 688 749 372,Spain/Euskadi/Getxo,,,159056,Getxo Seaside E-bike Tour,Bike Rental-Bike Tour-E-Bike-History Tour-Museum,8,83,152,https://fareharbor.com/embeds/calendar/tournebilbao/items/159056/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/tournebilbao/items/159056/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/tournebilbao/items/159056/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/KMXE7kFJRQkpJ9F8fjOg
