company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Maverick Boat Adventures,maverickboatadventures,info@maverickboatadventures.com,+44 7411 563849,United Kingdom/England/Seaford,0.092502,50.775,374948,E-Bike Hire,Bike Tour-E-Bike,4,86,0,https://fareharbor.com/embeds/calendar/maverickboatadventures/items/374948/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/maverickboatadventures/items/374948/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/maverickboatadventures/items/374948/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/HJWzmMEeQeqWJBtYyzAf
Maverick Boat Adventures,maverickboatadventures,info@maverickboatadventures.com,+44 7411 563849,United Kingdom/England/Newhaven,,,374939,Mediterranean Rib Private Charter Boat Tour,Boat Tour-Food Tour-Snorkel,9,84,748,https://fareharbor.com/embeds/calendar/maverickboatadventures/items/374939/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/maverickboatadventures/items/374939/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/maverickboatadventures/items/374939/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/wMnPTYKuS76MVF8MIyUb
Rock Solid Coasteering,rocksolidcoasteering,p.austin@mail.com,+447723088292,United Kingdom/England/Maidencombe,,,546996,Coasteering Geopark 5* Grand Tour Circular- Maidencombe,Climbing,6,72,534,https://fareharbor.com/embeds/calendar/rocksolidcoasteering/items/546996/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/rocksolidcoasteering/items/546996/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/rocksolidcoasteering/items/546996/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/IjKgtmFCQNSJ9qNRFNnO
Rock Solid Coasteering,rocksolidcoasteering,p.austin@mail.com,+447723088292,United Kingdom/England/Maidencombe,,,547001,Bespoke Private Tour,Climbing,4,71,535,https://fareharbor.com/embeds/calendar/rocksolidcoasteering/items/547001/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/rocksolidcoasteering/items/547001/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/rocksolidcoasteering/items/547001/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/SuKLY0yURQSw24UIZ4CL
London Country Tours,londoncountrytours,londoncountrytours@gmail.com,+4477-75888534,United Kingdom/England/London,-0.127586,51.507218,218979,"Avebury Circle, West Kennet, Silbury Hill",Attraction-Food Tour-History Tour-Horse-Private,1,68,180,https://fareharbor.com/embeds/calendar/londoncountrytours/items/218979/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/londoncountrytours/items/218979/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/londoncountrytours/items/218979/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ddwZzpROCbOsmpGAWo5g
Karleyth Diving,karleythdiving,info@karleythdiving.co.uk,07375 931692,United Kingdom/England/Ruan High Lanes,-4.919991,50.241492,611415,Guided Shore Dives,Scuba,1,59,179,https://fareharbor.com/embeds/calendar/karleythdiving/items/611415/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/karleythdiving/items/611415/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/karleythdiving/items/611415/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/FoxkNTZLRdS3tFDbLxRO
Rock Solid Coasteering,rocksolidcoasteering,p.austin@mail.com,+447723088292,United Kingdom/England/Maidencombe,,,547004,Small Group Private Tour,Climbing,1,58,535,https://fareharbor.com/embeds/calendar/rocksolidcoasteering/items/547004/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/rocksolidcoasteering/items/547004/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/rocksolidcoasteering/items/547004/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mnP42sMxQuP2sjNsz0w6
Maverick Boat Adventures,maverickboatadventures,info@maverickboatadventures.com,+44 7411 563849,United Kingdom/England/Seaford,0.092502,50.775,416474,River Ouse To Lewes E-bike Tour 3 Hours,Bike Tour-Brewery-E-Bike,1,56,0,https://fareharbor.com/embeds/calendar/maverickboatadventures/items/416474/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/maverickboatadventures/items/416474/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/maverickboatadventures/items/416474/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/7pz12CfSGytQbjAZ49IQ
Rock And Rapid Adventures,rockandrapidadventures,info@rockandrapidadventures.co.uk,01769 309003,United Kingdom/England/South Molton,,,671358,4 Week NICAS Bouldering Level 1 Course,Climbing-Workshop,1,56,0,https://fareharbor.com/embeds/calendar/rockandrapidadventures/items/671358/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/rockandrapidadventures/items/671358/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/rockandrapidadventures/items/671358/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/qR65NQ3TAK9yxIMfi8TQ
Maverick Boat Adventures,maverickboatadventures,info@maverickboatadventures.com,+44 7411 563849,United Kingdom/England/Seaford,0.092502,50.775,416475,Coastal Flat Ground E-bike Cruise Tour 1.5 Hours,Bike Tour-E-Bike,1,55,0,https://fareharbor.com/embeds/calendar/maverickboatadventures/items/416475/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/maverickboatadventures/items/416475/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/maverickboatadventures/items/416475/?asn=fhdn-gbp&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/TGuIwNRiQbqKKkBSIa9P
