company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Walks in Europe,walksineurope,support@walksineurope.com,+1(332) 242-2284,France/Île-de-France/Paris,,,366462,Paris: Louvre Masterpieces Tour with Pre-Reserved Tickets,Attraction-Museum-Rafting,27,100,807,https://fareharbor.com/embeds/calendar/walksineurope/items/366462/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/walksineurope/items/366462/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/walksineurope/items/366462/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/JTn66BhIQBG33XlebQDA
Walks in Europe,walksineurope,support@walksineurope.com,+1(332) 242-2284,Italy/Lombardia/Milano,,,522302,Milan: Cathedral and Terraces Guided Tour with Tickets,Guided Tour-Horse,5,100,774,https://fareharbor.com/embeds/calendar/walksineurope/items/522302/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/walksineurope/items/522302/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/walksineurope/items/522302/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ki6nlSkjRv2gu9KivMZN
Out of the Box Florence,outoftheboxflorence,outoftheboxflorence@gmail.com,+39 347 080 9904,Italy/Toscana/Firenze,,,297256,The Unexpected Cinque Terre Adventure ® - Hiking day,Hiking-Walking Tour,16,99,180,https://fareharbor.com/embeds/calendar/outoftheboxflorence/items/297256/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/outoftheboxflorence/items/297256/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/outoftheboxflorence/items/297256/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/s5WTx2IPREyhIUVZRsVQ
Go Local San Sebastián,golocalsansebastian,kaixo@golocalsansebastian.com,+34 943048328,Spain/Euskadi/Donostia,,,183031,Classic E-Bike Tour (Tour in English),Bike Rental-Bike Tour-E-Bike-Guided Tour,5,98,358,https://fareharbor.com/embeds/calendar/golocalsansebastian/items/183031/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/golocalsansebastian/items/183031/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/golocalsansebastian/items/183031/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/smCcFhbhR9Cf4DPT7OhF
Walks in Europe,walksineurope,support@walksineurope.com,+1(332) 242-2284,Italy/Tuscany/Siena,11.330581,43.318474,236270,"Siena Private Walking Tour: Traditions, Streets & Cathedral",History Tour-Horse-Private-Walking Tour,10,98,963,https://fareharbor.com/embeds/calendar/walksineurope/items/236270/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/walksineurope/items/236270/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/walksineurope/items/236270/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/YoQiJKIRRxv3BZBvdIlg
Berggeheimnis,berggeheimnis,info@berggeheimnis.com,+4976619893790,Germany/Baden-Württemberg/Ihringen,7.647102,48.037529,290948,Outdoor Escape Erlebnis: Auf den Spuren von König Otto (E-Bike) | Kaiserstuhl,Bike Tour-E-Bike,6,97,1004,https://fareharbor.com/embeds/calendar/berggeheimnis/items/290948/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/berggeheimnis/items/290948/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/berggeheimnis/items/290948/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/vD6fXnURRKvCB6tuZowt
Berggeheimnis,berggeheimnis,info@berggeheimnis.com,+4976619893790,Germany/Baden-Württemberg/Kirchzarten,7.953213,47.964178,538465,RadRätsel: Der Brautzug der Marie Antoinette | Dreisamtal,Bike Tour-Self-Guided Tour,6,95,1260,https://fareharbor.com/embeds/calendar/berggeheimnis/items/538465/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/berggeheimnis/items/538465/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/berggeheimnis/items/538465/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/YX3uAr3fTOuixSpFcJbK
Berggeheimnis,berggeheimnis,info@berggeheimnis.com,+4976619893790,Germany/Baden-Württemberg/Bernau im Schwarzwald,8.035363,47.801785,674780,RadRätsel: Das verborgene Portrait des großen Winterhalters | Bernauer Hochtal,Bike Tour-Self-Guided Tour,7,95,987,https://fareharbor.com/embeds/calendar/berggeheimnis/items/674780/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/berggeheimnis/items/674780/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/berggeheimnis/items/674780/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/LTXdNA5lTEC4nDquQ0hU
World Experience,webarcelona,booking@worldexperience.com,+34 935950869,Spain/Comunidad de Madrid/Madrid,-3.684946,40.470249,477539,Segovia Private Guided Visit & Alcazar with High-Speed train from Madrid,City Tour-Guided Tour-Hiking-Train-Walking Tour,10,94,130,https://fareharbor.com/embeds/calendar/webarcelona/items/477539/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/webarcelona/items/477539/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/webarcelona/items/477539/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/95Hc4dAZRGg7gqsiGnQQ
Tourne,tournebilbao,info@tournebilbao.com,+34 688 749 372,Spain/Euskadi/Bilbo,,,159053,Highlights E-bike Tour,Attraction-Bike Rental-Bike Tour-City Tour-Museum,5,93,533,https://fareharbor.com/embeds/calendar/tournebilbao/items/159053/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/tournebilbao/items/159053/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/tournebilbao/items/159053/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/6Y1IEficRoWjTdoNH6nd
