company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Bobby's Bike Hike,bobbysbikehike,,,United States/Florida/Miami Beach,-80.141726,25.77983,575606,"Miami Beach Bikes, Bites & Views Food Tour (Adults Only)",Food Tour,1,98,180,https://fareharbor.com/embeds/calendar/bobbysbikehike/items/575606/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bobbysbikehike/items/575606/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bobbysbikehike/items/575606/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mdcBKF4lTbahj8bdgPPX
Mike's Engine Works/Trailview Cabins,mikesengineworks,joshuawilliams609@gmail.com,(608) 776-2304,United States/Wisconsin/Darlington,-90.118767,42.678863,625138,Cabin Two,Lodging,6,96,180,https://fareharbor.com/embeds/calendar/mikesengineworks/items/625138/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mikesengineworks/items/625138/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mikesengineworks/items/625138/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/hEmNyTkFTASp76e2XnJ5
Native 312 Events,native312events,info@studiowip.biz,8552552474,United States/Illinois/Chicago,,,275158,Spray Paint 'n' Sip- Chicago,Walking Tour,1,95,333,https://fareharbor.com/embeds/calendar/native312events/items/275158/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/native312events/items/275158/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/native312events/items/275158/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/qROkBWVbRAWer3sfFKaA
Knot My Boat Charters,knotmyboatcharters,contact@knotmyboatcharters.com,312-971-0971,United States/Illinois/Chicago,,,632563,37ft. Sea Ray Sundancer,Boat Rental,1,94,1798,https://fareharbor.com/embeds/calendar/knotmyboatcharters/items/632563/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/knotmyboatcharters/items/632563/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/knotmyboatcharters/items/632563/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/zvcYDNbJSLyHXrTc2uoK
Knot My Boat Charters,knotmyboatcharters,contact@knotmyboatcharters.com,312-971-0971,United States/Illinois/Chicago,,,632605,46ft. Sea Ray Express,Boat Rental,1,94,1812,https://fareharbor.com/embeds/calendar/knotmyboatcharters/items/632605/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/knotmyboatcharters/items/632605/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/knotmyboatcharters/items/632605/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/llLiS1rnTfa1WryWBOnF
Knot My Boat Charters,knotmyboatcharters,contact@knotmyboatcharters.com,312-971-0971,United States/Illinois/Chicago,,,632863,50ft. Sea Ray Sundancer,Boat Rental,1,94,1812,https://fareharbor.com/embeds/calendar/knotmyboatcharters/items/632863/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/knotmyboatcharters/items/632863/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/knotmyboatcharters/items/632863/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/nusAXFWRJSFccGh727fb
Knot My Boat Charters,knotmyboatcharters,contact@knotmyboatcharters.com,312-971-0971,United States/Illinois/Chicago,,,632902,56ft. Sea Ray Sundancer,Boat Rental,1,94,1813,https://fareharbor.com/embeds/calendar/knotmyboatcharters/items/632902/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/knotmyboatcharters/items/632902/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/knotmyboatcharters/items/632902/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/9rbbrwQ9S1Cqb8kiVDms
Mike's Engine Works/Trailview Cabins,mikesengineworks,joshuawilliams609@gmail.com,(608) 776-2304,United States/Wisconsin/Darlington,-90.118767,42.678863,625145,Farmhouse,Lodging,12,92,180,https://fareharbor.com/embeds/calendar/mikesengineworks/items/625145/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mikesengineworks/items/625145/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mikesengineworks/items/625145/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/FW0lYKkIQ6SZp9ssAsB2
Knot My Boat Charters,knotmyboatcharters,contact@knotmyboatcharters.com,312-971-0971,United States/Illinois/Chicago,,,632714,48ft. Sea Ray Flybridge,Boat Rental,1,92,1812,https://fareharbor.com/embeds/calendar/knotmyboatcharters/items/632714/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/knotmyboatcharters/items/632714/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/knotmyboatcharters/items/632714/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/5nZSoUObQj4E1viFSCN4
Mike's Engine Works/Trailview Cabins,mikesengineworks,joshuawilliams609@gmail.com,(608) 776-2304,United States/Wisconsin/Darlington,-90.118767,42.678863,625140,Cabin Three,Lodging,6,91,180,https://fareharbor.com/embeds/calendar/mikesengineworks/items/625140/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mikesengineworks/items/625140/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mikesengineworks/items/625140/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/beFm2vqQxGiwS9YpPFMg
