company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
North Shore Scenic Railroad & Lake Superior Railroad Museum,northshorescenicrailroad,trains@duluthtrains.com,218-722-1273,United States/Minnesota/Duluth,,,602393,Museum Admission - Combo Rate Discount,Museum,5,79,0,https://fareharbor.com/embeds/calendar/northshorescenicrailroad/items/602393/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/northshorescenicrailroad/items/602393/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/northshorescenicrailroad/items/602393/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/sfTOjxNXQcmV446eqb1q
Midwest Bus Trips,midwestbustrips,aaron@midwestbustrips.com,563-513-7523,United States/Minnesota/Bloomington,-93.241951,44.854698,490477,Mall Of America Shopping Trip,Bus Tour-Other-Self-Guided Tour,9,77,0,https://fareharbor.com/embeds/calendar/midwestbustrips/items/490477/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/midwestbustrips/items/490477/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/midwestbustrips/items/490477/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/An7Z2g1aTreR6EgrgTv3
Wisconsin Dells Trolley Service,dellstrolley,dellstrolley@gmail.com,(608) 432-8307,United States/Wisconsin/Wisconsin Dells,,,532069,"Haunted Bara""BOO"" Tour Featuring the Al. Ringling Mansion & Ringling Gravesites!",,3,76,0,https://fareharbor.com/embeds/calendar/dellstrolley/items/532069/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/dellstrolley/items/532069/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/dellstrolley/items/532069/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/chdF4C35QwSM96PGrZDy
Midwest Bus Trips,midwestbustrips,aaron@midwestbustrips.com,563-513-7523,United States/Minnesota/Bloomington,-93.241951,44.854698,600937,Christmas In July Mall Of America Shopping Trip,Bus Tour-Lodging-Self-Guided Tour-Transportation,12,76,1,https://fareharbor.com/embeds/calendar/midwestbustrips/items/600937/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/midwestbustrips/items/600937/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/midwestbustrips/items/600937/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/cnmAylhHRSi1OdgVKrf3
North Shore Scenic Railroad & Lake Superior Railroad Museum,northshorescenicrailroad,trains@duluthtrains.com,218-722-1273,United States/Minnesota/Duluth,,,602394,The Duluth Zephyr - First Class Dome Car,Train,5,76,26,https://fareharbor.com/embeds/calendar/northshorescenicrailroad/items/602394/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/northshorescenicrailroad/items/602394/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/northshorescenicrailroad/items/602394/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/zhZRTvQ2I4Hx6M1jyQB6
Trek & Trail,trek-trail,info@trek-trail.com,715-779-3595,United States/Wisconsin/Bayfield,,,493952,Sea Caves Half Day,Guided Tour-Kayak,1,74,188,https://fareharbor.com/embeds/calendar/trek-trail/items/493952/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/trek-trail/items/493952/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/trek-trail/items/493952/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/pQ1mmmVORcS4LD8oO0I4
Trek & Trail,trek-trail,info@trek-trail.com,715-779-3595,United States/Wisconsin/Bayfield,,,493995,Bark Bay Full Day,,4,74,0,https://fareharbor.com/embeds/calendar/trek-trail/items/493995/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/trek-trail/items/493995/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/trek-trail/items/493995/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/TNwAe4RGmuXuVmeeLyg8
Trek & Trail,trek-trail,info@trek-trail.com,715-779-3595,United States/Wisconsin/Bayfield,,,495348,Sea Caves Family Tour,Guided Tour-Kayak,1,74,94,https://fareharbor.com/embeds/calendar/trek-trail/items/495348/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/trek-trail/items/495348/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/trek-trail/items/495348/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/cfbJhypFTvGolBYLfej2
Eagle Eye Farm,eagleeyefarm,kerri@eagleeyefarm.net,715-307-8537,United States/Wisconsin/River Falls,,,575645,Guided Tour,Farm,3,74,208,https://fareharbor.com/embeds/calendar/eagleeyefarm/items/575645/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/eagleeyefarm/items/575645/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/eagleeyefarm/items/575645/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/zL8UpowQluXuxH5bot1S
Charter Marine MN,chartered-rentals-mn,charteredrentals@gmail.com,763-331-5600,United States/Minnesota/Bigfork,,,598670,2 Day Snowmobile Adventure with Lodging,,7,74,59,https://fareharbor.com/embeds/calendar/chartered-rentals-mn/items/598670/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/chartered-rentals-mn/items/598670/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/chartered-rentals-mn/items/598670/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/VzHZVYER4ys3fZhILK1h
