company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Mount Rushmore Tours,mountrushmoretours,office@mountrushmoretours.com,605-343-3113,United States/South Dakota/Rapid City,,,571575,Mount Rushmore Tour with Two Meals and a Music Variety Show,Sightseeing Tour,2,100,58,https://fareharbor.com/embeds/calendar/mountrushmoretours/items/571575/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mountrushmoretours/items/571575/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mountrushmoretours/items/571575/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/L7mzPUuZSwSsv6yGkc9V
Mount Rushmore Tours,mountrushmoretours,office@mountrushmoretours.com,605-343-3113,United States/South Dakota/Rapid City,,,571584,Mount Rushmore Tour Only,Sightseeing Tour,1,100,65,https://fareharbor.com/embeds/calendar/mountrushmoretours/items/571584/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mountrushmoretours/items/571584/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mountrushmoretours/items/571584/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mqJd9v3kSwWjhLk9dqRE
Custer State Park Resort,custerresorts,info@custerresorts.com,605-255-4388,United States/South Dakota/Custer,,,413889,Buffalo Safari & Chuckwagon Cookout (Combo),,12,90,70,https://fareharbor.com/embeds/calendar/custerresorts/items/413889/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/custerresorts/items/413889/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/custerresorts/items/413889/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Z5jJnVkvTIKJknjTHeuJ
Custer State Park Resort,custerresorts,info@custerresorts.com,605-255-4388,United States/South Dakota/Custer,,,413900,Hayride & Chuckwagon Cookout,,12,90,67,https://fareharbor.com/embeds/calendar/custerresorts/items/413900/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/custerresorts/items/413900/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/custerresorts/items/413900/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/KCOM0Bc2RUaWaqPKpQBM
Custer State Park Resort,custerresorts,info@custerresorts.com,605-255-4388,United States/South Dakota/Custer,,,413914,1-Hour Trail Ride,,8,90,256,https://fareharbor.com/embeds/calendar/custerresorts/items/413914/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/custerresorts/items/413914/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/custerresorts/items/413914/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/yxW6r56JTCqkpPsaiNsm
Custer State Park Resort,custerresorts,info@custerresorts.com,605-255-4388,United States/South Dakota/Custer,,,489247,Scenic Byway Tour | Sylvan Lake Lodge Departure,,10,90,54,https://fareharbor.com/embeds/calendar/custerresorts/items/489247/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/custerresorts/items/489247/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/custerresorts/items/489247/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/j0DaZje1SjSufWCZYjin
Mad Peak,mad-peak,admin@mad-peak.com,605-631-0317,United States/South Dakota/Deadwood,,,629841,Half Day Rental,Exotic Car,6,82,667,https://fareharbor.com/embeds/calendar/mad-peak/items/629841/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mad-peak/items/629841/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mad-peak/items/629841/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/6sFDjtsQRtCtsqDjcfX6
Mad Peak,mad-peak,admin@mad-peak.com,605-631-0317,United States/South Dakota/Deadwood,,,629868,Two Day Rental,Exotic Car,6,82,180,https://fareharbor.com/embeds/calendar/mad-peak/items/629868/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mad-peak/items/629868/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mad-peak/items/629868/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mZjxZTjQm65qCGkHztw9
Mad Peak,mad-peak,admin@mad-peak.com,605-631-0317,United States/South Dakota/Deadwood,,,629882,Four Day Rental,Exotic Car,6,82,180,https://fareharbor.com/embeds/calendar/mad-peak/items/629882/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mad-peak/items/629882/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mad-peak/items/629882/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/sfPue5BzQBGJI3upd7ab
Mad Peak,mad-peak,admin@mad-peak.com,605-631-0317,United States/South Dakota/Deadwood,,,629888,Five Day Rental,Exotic Car,6,82,180,https://fareharbor.com/embeds/calendar/mad-peak/items/629888/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mad-peak/items/629888/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mad-peak/items/629888/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ubZoIVvQwCMp1ojKV4xQ
Mad Peak,mad-peak,admin@mad-peak.com,605-631-0317,United States/South Dakota/Deadwood,,,629892,Six Day Rental,Exotic Car,6,82,180,https://fareharbor.com/embeds/calendar/mad-peak/items/629892/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mad-peak/items/629892/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mad-peak/items/629892/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/aGVRVyypQN2jtKFDzrdb
