company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Joshua Tree Connectivity,joshuatreeconnectivity,info@joshuatreeconnectivity.com,760-974-2011,United States/California/Joshua Tree,-116.315824,34.131631,568118,Desert Nature Walk + Soundbath + Meditation + Cacao Ceremony,Guided Tour,1,48,52,https://fareharbor.com/embeds/calendar/joshuatreeconnectivity/items/568118/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/joshuatreeconnectivity/items/568118/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/joshuatreeconnectivity/items/568118/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/U2rkMAfjSfmFA7jshw3I
Cascade Trails Mustang Sanctuary,mustangsanctuary,cascadetrailsmustangs@gmail.com,7609107220,United States/California/Joshua Tree,,,475058,Pony Ride,Horse,4,47,63,https://fareharbor.com/embeds/calendar/mustangsanctuary/items/475058/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mustangsanctuary/items/475058/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mustangsanctuary/items/475058/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/GnZRHlivRSvjZoo19R29
Cascade Trails Mustang Sanctuary,mustangsanctuary,cascadetrailsmustangs@gmail.com,7609107220,United States/California/Joshua Tree,,,402194,Sunset Trail Ride,Horse,1,44,72,https://fareharbor.com/embeds/calendar/mustangsanctuary/items/402194/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mustangsanctuary/items/402194/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mustangsanctuary/items/402194/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/pXFOly2EQPSCLq4kuMij
Joshua Tree Excursions,joshuatreeexcursions,Info@joshuatreeexcursions.com,17609749536,United States/California/Joshua Tree,,,528426,Photography Hike,,4,41,180,https://fareharbor.com/embeds/calendar/joshuatreeexcursions/items/528426/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/joshuatreeexcursions/items/528426/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/joshuatreeexcursions/items/528426/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/lA6YOUdiQGGbV7T1ZuIa
Cascade Trails Mustang Sanctuary,mustangsanctuary,cascadetrailsmustangs@gmail.com,7609107220,United States/California/Joshua Tree,,,513079,El Dorado,Horse,1,39,179,https://fareharbor.com/embeds/calendar/mustangsanctuary/items/513079/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mustangsanctuary/items/513079/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mustangsanctuary/items/513079/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/i2eqYwwzSEWuSuZqdGMI
Cascade Trails Mustang Sanctuary,mustangsanctuary,cascadetrailsmustangs@gmail.com,7609107220,United States/California/Joshua Tree,,,514091,La Luna,Horse,1,39,44,https://fareharbor.com/embeds/calendar/mustangsanctuary/items/514091/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mustangsanctuary/items/514091/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mustangsanctuary/items/514091/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/rnpEn0QT6Dimqxm2yUgA
Cascade Trails Mustang Sanctuary,mustangsanctuary,cascadetrailsmustangs@gmail.com,7609107220,United States/California/Joshua Tree,,,514094,Durango,Horse,1,39,179,https://fareharbor.com/embeds/calendar/mustangsanctuary/items/514094/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mustangsanctuary/items/514094/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mustangsanctuary/items/514094/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/XQmjkdyTjmvynf1vUTMg
Joshua Tree Connectivity,joshuatreeconnectivity,info@joshuatreeconnectivity.com,760-974-2011,United States/California/Joshua Tree,-116.313066,34.134728,568106,Soundbath Under The Stars-Joshua Tree,Guided Tour,1,39,30,https://fareharbor.com/embeds/calendar/joshuatreeconnectivity/items/568106/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/joshuatreeconnectivity/items/568106/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/joshuatreeconnectivity/items/568106/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/5csRkZS6RIymoUKK8qwo
Cascade Trails Mustang Sanctuary,mustangsanctuary,cascadetrailsmustangs@gmail.com,7609107220,United States/California/Joshua Tree,,,475064,Natural Horsemanship & Basic Riding Lessons,Private,1,38,178,https://fareharbor.com/embeds/calendar/mustangsanctuary/items/475064/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mustangsanctuary/items/475064/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mustangsanctuary/items/475064/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/pzVf33h6RaC4Ddxw9JQY
Cascade Trails Mustang Sanctuary,mustangsanctuary,cascadetrailsmustangs@gmail.com,7609107220,United States/California/Joshua Tree,,,598562,Morning Trail Ride,,1,34,178,https://fareharbor.com/embeds/calendar/mustangsanctuary/items/598562/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mustangsanctuary/items/598562/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mustangsanctuary/items/598562/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Ir4znAwvSAGoPUPSgXqE
