company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Food Hood Tours,foodhoodtours,contact@foodhoodtours.com,+52 55 4001 3430,Mexico/Ciudad de México/Ciudad de México,,,569992,Michelin Taco Bike Tour,Bike Tour-Food Tour,7,82,160,https://fareharbor.com/embeds/calendar/foodhoodtours/items/569992/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/foodhoodtours/items/569992/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/foodhoodtours/items/569992/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/l00tepgQgiFdIvoGUIHv
Food Hood Tours,foodhoodtours,contact@foodhoodtours.com,+52 55 4001 3430,Mexico/Ciudad de México/Ciudad de México,,,308453,Mexico Off the Beaten Track,Bike Tour-Food Tour,15,80,138,https://fareharbor.com/embeds/calendar/foodhoodtours/items/308453/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/foodhoodtours/items/308453/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/foodhoodtours/items/308453/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/QPZ0lZiwSjycLTlz40Rc
Eating With Carmen - MXN,eatingwithcarmen-mxn,info@eatingwithcarmen.com,(+52)9843107514,Mexico/Ciudad de México/Ciudad de México,,,575866,The Historic Center: Heritage on a Plate (Mexico City),City Tour-Food Tour-Guided Tour-History Tour-Walking Tour,1,74,306,https://fareharbor.com/embeds/calendar/eatingwithcarmen-mxn/items/575866/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/eatingwithcarmen-mxn/items/575866/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/eatingwithcarmen-mxn/items/575866/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
Eating With Carmen - MXN,eatingwithcarmen-mxn,info@eatingwithcarmen.com,(+52)9843107514,Mexico/Ciudad de México/Ciudad de México,,,658314,San Juan Market Tour: Gourmet Bites & Culinary Curiosities,City Tour-Food Tour-Guided Tour-History Tour-Walking Tour,1,74,355,https://fareharbor.com/embeds/calendar/eatingwithcarmen-mxn/items/658314/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/eatingwithcarmen-mxn/items/658314/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/eatingwithcarmen-mxn/items/658314/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
Eating With Carmen - MXN,eatingwithcarmen-mxn,info@eatingwithcarmen.com,(+52)9843107514,Mexico/Ciudad de México/Ciudad de México,,,661623,Coyoacan Market Tour: Street Eats & Local Legends,City Tour-Food Tour-Guided Tour-History Tour-Walking Tour,1,74,533,https://fareharbor.com/embeds/calendar/eatingwithcarmen-mxn/items/661623/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/eatingwithcarmen-mxn/items/661623/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/eatingwithcarmen-mxn/items/661623/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
Nomad Mexico E-Bike Tours,nomadmexico,nomad.reserva@gmail.com,+52 55 66789681,Mexico/Ciudad de México/Ciudad de México,,,637272,Mexico City Highlights E-Bike Tour with One Foodie Stop,Bike Tour,1,63,308,https://fareharbor.com/embeds/calendar/nomadmexico/items/637272/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/nomadmexico/items/637272/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/nomadmexico/items/637272/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/0aY3RwF3TUGtm25WVoXn
Nomad Mexico E-Bike Tours,nomadmexico,nomad.reserva@gmail.com,+52 55 66789681,Mexico/Ciudad de México/Ciudad de México,,,637278,Explore Mexico City's Culinary and Trendy Hotspots,Bike Tour,1,63,154,https://fareharbor.com/embeds/calendar/nomadmexico/items/637278/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/nomadmexico/items/637278/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/nomadmexico/items/637278/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/5U2fz77QTcKcI30qRoGc
Eating With Carmen - MXN,eatingwithcarmen-mxn,info@eatingwithcarmen.com,(+52)9843107514,Mexico/Ciudad de México/Ciudad de México,,,575095,Coyoacan: Bohemian Bites & Sights (Mexico City),City Tour-Food Tour-Guided Tour-History Tour-Walking Tour,1,59,355,https://fareharbor.com/embeds/calendar/eatingwithcarmen-mxn/items/575095/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/eatingwithcarmen-mxn/items/575095/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/eatingwithcarmen-mxn/items/575095/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
Polanco Bike,polancobike,contacto@polancobike.com,52 55 91953112,Mexico/Ciudad de México/Ciudad de México,,,642068,Bike Tour Bosque de Chapultepec,Bike Tour,1,44,155,https://fareharbor.com/embeds/calendar/polancobike/items/642068/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/polancobike/items/642068/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/polancobike/items/642068/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/nJD8859fTsq7VpFPrBya
Polanco Bike,polancobike,contacto@polancobike.com,52 55 91953112,Mexico/Ciudad de México/Ciudad de México,,,642076,Polanco Taco Bike Tour,Bike Tour,1,44,180,https://fareharbor.com/embeds/calendar/polancobike/items/642076/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/polancobike/items/642076/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/polancobike/items/642076/?asn=fhdn-mxn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/LSVnOUf9RTGjkem7kJAF
