company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Boston Hidden Gems,bostonhiddengems,info@bostonhiddengems.com,1 617-297-8006,United States/Massachusetts/Cambridge,-71.086702,42.362328,525716,Illustrious Schools: Group Tour of MIT & Harvard,Guided Tour-History Tour-Walking Tour,5,100,178,https://fareharbor.com/embeds/calendar/bostonhiddengems/items/525716/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bostonhiddengems/items/525716/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bostonhiddengems/items/525716/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/FzwUWNvdReSk5W0dxfxu
Boston Crawling,bostoncrawling,admin@bostoncrawling.com,,United States/Massachusetts/Boston,-71.05641,42.360025,27449,Independence Pub Crawl,Food Tour-Pub Crawl,1,99,413,https://fareharbor.com/embeds/calendar/bostoncrawling/items/27449/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bostoncrawling/items/27449/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bostoncrawling/items/27449/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/TrD38jWTW2jpcqmIWxL3
Boston Hidden Gems,bostonhiddengems,info@bostonhiddengems.com,1 617-297-8006,United States/Massachusetts/Boston,,,426004,Boston & Cambridge Private Tour,City Tour-Food Tour-Photography Tour-Private,14,99,1080,https://fareharbor.com/embeds/calendar/bostonhiddengems/items/426004/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bostonhiddengems/items/426004/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bostonhiddengems/items/426004/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/uxzKzBDsRuukams2E4v1
Boston Hidden Gems,bostonhiddengems,info@bostonhiddengems.com,1 617-297-8006,United States/Massachusetts/Boston,,,426011,Boston and Salem Day Trip,City Tour-History Tour-Private,5,94,1080,https://fareharbor.com/embeds/calendar/bostonhiddengems/items/426011/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bostonhiddengems/items/426011/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bostonhiddengems/items/426011/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/cu6gxCQzQ82R2Q87KHuL
Boston Hidden Gems,bostonhiddengems,info@bostonhiddengems.com,1 617-297-8006,United States/Massachusetts/Lexington,-71.227153,42.44735,426010,Private Day Trip to Lexington and Concord from Boston,Private,4,93,900,https://fareharbor.com/embeds/calendar/bostonhiddengems/items/426010/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bostonhiddengems/items/426010/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bostonhiddengems/items/426010/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/A59VyRi3Q3221GDZ7tKo
Boston Hidden Gems,bostonhiddengems,info@bostonhiddengems.com,1 617-297-8006,United States/Massachusetts/Boston,-71.056536,42.355508,425924,The Best of Boston in a Day,Private,6,89,1081,https://fareharbor.com/embeds/calendar/bostonhiddengems/items/425924/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bostonhiddengems/items/425924/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bostonhiddengems/items/425924/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/BTP5F5TlOR1myHYskVgQ
Binge on Boston,bingeonboston,info@bostonpizzatours.com,855-487-4992,United States/Massachusetts/Boston,,,670246,"TD Garden PRE-GAME Axe Throwing, Food & Drink Tour",Axe Throwing-City Tour-Food Tour-Guided Tour-History Tour-Sightseeing Tour-Walking Tour,4,89,75,https://fareharbor.com/embeds/calendar/bingeonboston/items/670246/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bingeonboston/items/670246/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bingeonboston/items/670246/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/dJH0cn3Ts29qaKfFhiHQ
Boston North Ends Tours,bostonnorthendtours,northendtours@gmail.com,617-763-0806,United States/Massachusetts/Boston,,,28479,"Boston's ""Politically Incorrect"" North End Food Tour",Food Tour-Wine,72,88,266,https://fareharbor.com/embeds/calendar/bostonnorthendtours/items/28479/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bostonnorthendtours/items/28479/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bostonnorthendtours/items/28479/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/r5LbqqjHTPS9w63ZYuiu
Central Scoot,centralscoot,support@centralscoot.com,617-855-6006,United States/Massachusetts/Boston,,,606245,1 Hour Scooter Tour - Boston,Scooter,7,88,1268,https://fareharbor.com/embeds/calendar/centralscoot/items/606245/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/centralscoot/items/606245/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/centralscoot/items/606245/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/qHCKYCuuTlefutaZ29O8
Classic Harbor Line - Boston,boston-sailing,publicsails@boston-sailing.com,617-951-2460,United States/Massachusetts/Boston,,,26505,Northern Lights Sunset Cruise,Boat Tour,16,87,90,https://fareharbor.com/embeds/calendar/boston-sailing/items/26505/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/boston-sailing/items/26505/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/boston-sailing/items/26505/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/5aXflEeBTy2rS45Ao3dx
