company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Connecticut Watersports,connwatersports,info@connwatersports.com,860-295-4640,United States/Connecticut/New Milford,-73.408528,41.56597,277465,1-Hour Watersport Charter,,13,75,1650,https://fareharbor.com/embeds/calendar/connwatersports/items/277465/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/connwatersports/items/277465/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/connwatersports/items/277465/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/b673gkaBTfGPbp5kndvt
Connecticut Watersports,connwatersports,info@connwatersports.com,860-295-4640,United States/Connecticut/New Milford,,,277647,2-Hour Watersport Charter - Our Most Popular!,,11,75,1500,https://fareharbor.com/embeds/calendar/connwatersports/items/277647/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/connwatersports/items/277647/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/connwatersports/items/277647/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/0KDyog4Tmx2fvFvQOHKQ
Connecticut Watersports,connwatersports,info@connwatersports.com,860-295-4640,United States/Connecticut/New Milford,-73.408528,41.56597,277658,2 Hour Private Pontoon Charter,,14,75,1575,https://fareharbor.com/embeds/calendar/connwatersports/items/277658/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/connwatersports/items/277658/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/connwatersports/items/277658/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/pLeGkpGmRs0tDDyZlBmY
Connecticut Watersports,connwatersports,info@connwatersports.com,860-295-4640,United States/Connecticut/New Milford,-73.408528,41.56597,297044,3.5-Hour Watersport Charter,,13,75,1275,https://fareharbor.com/embeds/calendar/connwatersports/items/297044/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/connwatersports/items/297044/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/connwatersports/items/297044/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/fpVAxpJwRqeRHJYJwGJh
Connecticut Watersports,connwatersports,info@connwatersports.com,860-295-4640,United States/Connecticut/New Milford,-73.408528,41.56597,397114,3 Hour Private Pontoon Charter,,7,75,1350,https://fareharbor.com/embeds/calendar/connwatersports/items/397114/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/connwatersports/items/397114/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/connwatersports/items/397114/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/VS0u0KvTemzGNHnkUBed
Connecticut Watersports,connwatersports,info@connwatersports.com,860-295-4640,United States/Connecticut/New Milford,-73.408528,41.56597,552958,4 Hour Private Pontoon Charter,,1,75,2400,https://fareharbor.com/embeds/calendar/connwatersports/items/552958/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/connwatersports/items/552958/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/connwatersports/items/552958/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ZhCSWJTS0uJuGhBuFrvG
Connecticut Watersports,connwatersports,info@connwatersports.com,860-295-4640,United States/Connecticut/New Milford,-73.408528,41.56597,277653,3-Hour Watersport Charter,,7,74,1350,https://fareharbor.com/embeds/calendar/connwatersports/items/277653/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/connwatersports/items/277653/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/connwatersports/items/277653/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/K8agDKokTveXaNULBeIO
Connecticut Watersports,connwatersports,info@connwatersports.com,860-295-4640,United States/Connecticut/New Milford,-73.408528,41.56597,314829,1 Hour Private Pontoon Charter,,7,74,1650,https://fareharbor.com/embeds/calendar/connwatersports/items/314829/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/connwatersports/items/314829/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/connwatersports/items/314829/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/YywetX0PR929yJOqs3WL
Connecticut Watersports,connwatersports,info@connwatersports.com,860-295-4640,United States/Connecticut/New Milford,-73.408528,41.56597,277474,1.5-Hour Watersport Charter,,11,73,1575,https://fareharbor.com/embeds/calendar/connwatersports/items/277474/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/connwatersports/items/277474/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/connwatersports/items/277474/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/H87r3VURQVi12IoBDwqW
Connecticut Watersports,connwatersports,info@connwatersports.com,860-295-4640,United States/Connecticut/New Milford,-73.408528,41.56597,277651,2.5-Hour Watersport Charter,,10,73,1425,https://fareharbor.com/embeds/calendar/connwatersports/items/277651/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/connwatersports/items/277651/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/connwatersports/items/277651/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/v0qYJQrTp6VzlqdmawmA
Connecticut Watersports,connwatersports,info@connwatersports.com,860-295-4640,United States/Connecticut/New Milford,,,679105,4-Hour Watersport Charter,,5,73,1125,https://fareharbor.com/embeds/calendar/connwatersports/items/679105/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/connwatersports/items/679105/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/connwatersports/items/679105/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/f1LYVzpXS8u5drpQUljg
