company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Botanical World Adventures - Segway Off Road and Zip Isle Zip Line,bwa,Reservations@BotanicalWorld.com,808-746-8751,United States/Hawaii/Hakalau,,,368,Zip Line at Botanical World Adventures (Approximately 2.5 Hours),Attraction-Eco Tour-Guided Tour-History Tour-Maze-Photography Tour-Water Activities-Wildlife-Zipline,7,100,898,https://fareharbor.com/embeds/calendar/bwa/items/368/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bwa/items/368/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bwa/items/368/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Vxwa6d5jQ8GE3L8ndzMQ
Coral Reef Snorkel Adventures,coralreef,coralreefadventures@gmail.com,808-987-1584,United States/Hawaii/Kailua-Kona,-156.02256,19.670252,371,Manta Ray Night Snorkel,Boat Tour-Events-Snorkel-Water Activities,2,100,534,https://fareharbor.com/embeds/calendar/coralreef/items/371/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/coralreef/items/371/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/coralreef/items/371/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/oOBizGkRiCFsRwh9uhSX
Kailua Beach Adventures,kailuasailboards,reservation@kailuabeachadventures.com,808-262-2555,United States/Hawaii/Kailua,-157.731264,21.396766,504,Twin Islands Guided Kayak Tour,Kayak-Private-Snorkel,8,100,615,https://fareharbor.com/embeds/calendar/kailuasailboards/items/504/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/kailuasailboards/items/504/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/kailuasailboards/items/504/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://www.filepicker.io/api/file/JPK1QlHYR8eqGhRWl8Eh
Kona Style,konasnorkelandsail,aloha@konastyle.com,+1 8089361323,United States/Hawaii/Kailua-Kona,,,671,Kealakekua Snorkel and Sail,Dolphin-Sailing-Snorkel,12,100,121,https://fareharbor.com/embeds/calendar/konasnorkelandsail/items/671/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/konasnorkelandsail/items/671/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/konasnorkelandsail/items/671/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/oroTk75fSlywq5xG2GZq
Kona Style,konasnorkelandsail,aloha@konastyle.com,+1 8089361323,United States/Hawaii/Kailua-Kona,,,673,COMBO: Sunset and Manta Ray Snorkel,Boat Tour-Sailing-Snorkel,9,100,156,https://fareharbor.com/embeds/calendar/konasnorkelandsail/items/673/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/konasnorkelandsail/items/673/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/konasnorkelandsail/items/673/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/hKSwAu3TTN68DPTl0sdz
Kona Honu Divers,konahonudivers,info@konahonudivers.com,8083244668,United States/Hawaii/Kailua-Kona,,,1470,2-Tank Local Morning Dive Charter,Scuba-Water Activities,8,100,177,https://fareharbor.com/embeds/calendar/konahonudivers/items/1470/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/konahonudivers/items/1470/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/konahonudivers/items/1470/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/SgSAaMS2QXSvsXjPSUBf
Kona Honu Divers,konahonudivers,info@konahonudivers.com,8083244668,United States/Hawaii/Kailua-Kona,,,1482,2 Tank Night Manta Dive Charter,Scuba-Snorkel-Water Activities,6,100,154,https://fareharbor.com/embeds/calendar/konahonudivers/items/1482/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/konahonudivers/items/1482/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/konahonudivers/items/1482/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/uoa7multR022xrCyagWz
Makena Coast Charters,mauiunderwater,gomolokini@gmail.com,+1 808 874 1273,United States/Hawaii/Kihei,,,6050,Molokini Crater & Turtle Town Snorkeling 3 Hours,Boat Tour-Rafting-Snorkel-Water Activities-Whale Watch,8,100,180,https://fareharbor.com/embeds/calendar/mauiunderwater/items/6050/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/mauiunderwater/items/6050/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/mauiunderwater/items/6050/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/8W8AmoB1RL2PgA0mXUyX
Ohana Surf Project,ohanasurfproject,osp@ohanasurfproject.com,(808) 599-7873,United States/Hawaii/Honolulu,-157.821832,21.273892,7571,Surf Lessons!,Surf,9,100,707,https://fareharbor.com/embeds/calendar/ohanasurfproject/items/7571/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ohanasurfproject/items/7571/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ohanasurfproject/items/7571/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/D7TuVSc0TQOFoBpqgWHR
Dive Oahu,diveoahu,aloha@diveoahu.com,808-922-3483,United States/Hawaii/Honolulu,-157.855534,21.293701,9120,Wreck & Reef Tour,Boat Tour-Dolphin-Guided Tour-Scuba-Snorkel-Water Activities-Wildlife,12,100,360,https://fareharbor.com/embeds/calendar/diveoahu/items/9120/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/diveoahu/items/9120/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/diveoahu/items/9120/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/QGb2pjpCT6CeIKoFIGZO
