company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Pennsylvania Rail Bike,soarineagle,info@PArailbike.com,570-229-2147,United States/Pennsylvania/Hawley,,,287934,Feel the Power Tour!   It's ELECTRIC!!!,,2,62,161,https://fareharbor.com/embeds/calendar/soarineagle/items/287934/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/soarineagle/items/287934/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/soarineagle/items/287934/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/NjHTKriaTafh5ykDSYUh
Pennsylvania Rail Bike,soarineagle,info@PArailbike.com,570-229-2147,United States/Pennsylvania/Hawley,,,364318,Sunset Rails & Ales!!!,,4,51,15,https://fareharbor.com/embeds/calendar/soarineagle/items/364318/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/soarineagle/items/364318/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/soarineagle/items/364318/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/LcAGlQTlqlFgP5b38o4g
DC Design Tours,dcdesigntours,info@dcdesigntours.com,202-525-7315,United States/District of Columbia/Washington,,,351675,Pennsylvania Avenue: Grit to Grandeur on America's Main Street,,14,45,0,https://fareharbor.com/embeds/calendar/dcdesigntours/items/351675/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/dcdesigntours/items/351675/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/dcdesigntours/items/351675/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/xq3cLGypSZaGrL9F9Sai
Washington Photo Safari,washingtonphotosafari,info@washingtonphotosafari.com,202-669-8468,United States/District of Columbia/Washington,,,253761,Waterfalls and Covered Bridges in Northeast Pennsylvanial Archives!,,1,41,0,https://fareharbor.com/embeds/calendar/washingtonphotosafari/items/253761/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/washingtonphotosafari/items/253761/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/washingtonphotosafari/items/253761/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/um1KHV6TRkyVbn6qSuAO
DC Design Tours,dcdesigntours,info@dcdesigntours.com,202-525-7315,United States/District of Columbia/Washington,,,60426,Pennsylvania Avenue,,4,38,0,https://fareharbor.com/embeds/calendar/dcdesigntours/items/60426/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/dcdesigntours/items/60426/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/dcdesigntours/items/60426/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/6tYzmY71RnGRpjbfQTf9
Pennsylvania Rail Bike,soarineagle,info@PArailbike.com,570-229-2147,United States/Pennsylvania/Hawley,,,364313,"I Scream, U Scream, We ALL Scream for Ice Cream Tour!!!!",,1,38,8,https://fareharbor.com/embeds/calendar/soarineagle/items/364313/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/soarineagle/items/364313/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/soarineagle/items/364313/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/2fL3sy6ES6OBDkUpUFev
Pennsylvania Rail Bike,soarineagle,info@PArailbike.com,570-229-2147,United States/Pennsylvania/Hawley,,,364316,Peddlin' & Pumpkin Pickin'!!!,,1,38,0,https://fareharbor.com/embeds/calendar/soarineagle/items/364316/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/soarineagle/items/364316/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/soarineagle/items/364316/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/v5XtgjeQxCjPn8j29woR
Maryland and Pennsylvania Railroad Preservation Society,maandparailroad,info@maandparailroad.com,(717) 927-9565,United States/Pennsylvania/Airville,,,670044,Christmas City Express,Train,1,34,0,https://fareharbor.com/embeds/calendar/maandparailroad/items/670044/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/maandparailroad/items/670044/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/maandparailroad/items/670044/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/S2hjpM09R3aXwmJ56f7W
Maryland and Pennsylvania Railroad Preservation Society,maandparailroad,info@maandparailroad.com,(717) 927-9565,United States/Pennsylvania/Airville,,,670039,Pumpkin Patch Excursion,Train,1,26,0,https://fareharbor.com/embeds/calendar/maandparailroad/items/670039/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/maandparailroad/items/670039/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/maandparailroad/items/670039/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/NdvQBSr2QCS9N17RA0mn
Susquehanna National Heritage Area,susqnha,info@susqnha.org,7172520229,United States/Pennsylvania/Wrightsville,-76.496498,39.977641,656583,Edith and Emily’s  Excellent Adventure: “How Two Old Girls Located the First 23 Mason-Dixon Markers Along the Maryland-Pennsylvania Border”,,1,25,0,https://fareharbor.com/embeds/calendar/susqnha/items/656583/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/susqnha/items/656583/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/susqnha/items/656583/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/FmWeRUWrQWmhx3sUGDNw
