company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Dive California,divecalifornia,info@divecalifornia.com,619-878-3483,United States/California/San Diego,-117.272598,32.850174,107822,La Jolla Cove 2-Tank Guided Shore Dives,Guided Tour-Private-Rentals-Scuba-Sports-Water Activities-Wildlife,5,100,180,https://fareharbor.com/embeds/calendar/divecalifornia/items/107822/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/divecalifornia/items/107822/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/divecalifornia/items/107822/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/V26IHeHFRGe7gOczLHbw
Dive California,divecalifornia,info@divecalifornia.com,619-878-3483,United States/California/San Diego,-117.272598,32.850174,109205,La Jolla Cove Kelp Forest 1-Tank Guided Shore Dive,Guided Tour-Private-Rentals-Scuba-Sports-Water Activities-Wildlife,5,100,180,https://fareharbor.com/embeds/calendar/divecalifornia/items/109205/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/divecalifornia/items/109205/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/divecalifornia/items/109205/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/9Sh512PXTqitedJNZDWF
Dive California,divecalifornia,info@divecalifornia.com,619-878-3483,United States/California/San Diego,-117.272598,32.850174,110311,PRIVATE La Jolla 2-Tank Guided Shore Dives,Guided Tour-Private-Rentals-Scuba-Sports-Water Activities-Wildlife,6,100,180,https://fareharbor.com/embeds/calendar/divecalifornia/items/110311/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/divecalifornia/items/110311/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/divecalifornia/items/110311/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/5QPmlKkGQmC4rlweGfWy
Dive California,divecalifornia,info@divecalifornia.com,619-878-3483,United States/California/San Diego,-117.256794,32.856288,110581,DC's Ultimate Refresher Course,Rentals-Scuba-Sports-Water Activities-Wildlife,4,94,180,https://fareharbor.com/embeds/calendar/divecalifornia/items/110581/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/divecalifornia/items/110581/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/divecalifornia/items/110581/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/gMUVFDxZT1yMsWZNb8sg
Group 3 Aviation,group3aviation,cl@group3aviation.com,1 818 994-9376,United States/California/Los Angeles,,,53931,California Coast & Canyons Helicopter Tour,Air Tour,2,92,1838,https://fareharbor.com/embeds/calendar/group3aviation/items/53931/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/group3aviation/items/53931/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/group3aviation/items/53931/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/WZfzG7W7RzeoFqRCtrXc
Dive California,divecalifornia,info@divecalifornia.com,619-878-3483,United States/California/San Diego,-117.256794,32.856288,109626,Night Dive 1-Tank Guided Shore Dive,Guided Tour-Private-Rentals-Scuba-Sports-Water Activities-Wildlife,2,92,104,https://fareharbor.com/embeds/calendar/divecalifornia/items/109626/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/divecalifornia/items/109626/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/divecalifornia/items/109626/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/3GGuoyfRR9ajh6q2XBjj
Dive California,divecalifornia,info@divecalifornia.com,619-878-3483,United States/California/San Diego,-117.256794,32.856288,227193,PADI Open Water Diver Referral Program,Rentals-Scuba-Sports-Water Activities,2,88,180,https://fareharbor.com/embeds/calendar/divecalifornia/items/227193/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/divecalifornia/items/227193/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/divecalifornia/items/227193/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mxVG8tSmSKSKOhQQPlVp
Dive California,divecalifornia,info@divecalifornia.com,619-878-3483,United States/California/San Diego,-117.256794,32.856288,614474,PADI Advanced Open Water Diver Course,,5,87,180,https://fareharbor.com/embeds/calendar/divecalifornia/items/614474/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/divecalifornia/items/614474/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/divecalifornia/items/614474/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/hNX6sl2mTLSGrpBrL5GU
Dive California,divecalifornia,info@divecalifornia.com,619-878-3483,United States/California/San Diego,-117.272598,32.850174,663868,PRIVATE La Jolla 1-Tank Guided Shore Dive,,4,86,180,https://fareharbor.com/embeds/calendar/divecalifornia/items/663868/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/divecalifornia/items/663868/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/divecalifornia/items/663868/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/GJ5r1RqSISCYTeA1e3Tt
Dive California,divecalifornia,info@divecalifornia.com,619-878-3483,United States/California/San Diego,,,107835,PADI Freediver Course,Free Diving-Rentals-Snorkel-Water Activities,5,79,2,https://fareharbor.com/embeds/calendar/divecalifornia/items/107835/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/divecalifornia/items/107835/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/divecalifornia/items/107835/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/pM4ImyjbQlOjNeFxwYez
