company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Desert Adventures Red Jeep Tours,red-jeep,resv@red-jeep.com,(760) 324-5337,United States/California/Indio,-116.238253,33.765378,34849,Shared San Andreas Fault Jeep Tour,Guided Tour-Jeep-Walking Tour,15,98,542,https://fareharbor.com/embeds/calendar/red-jeep/items/34849/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/red-jeep/items/34849/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/red-jeep/items/34849/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/6OnyIE1yQwmb10T4bMJa
Desert Adventures Red Jeep Tours,red-jeep,resv@red-jeep.com,(760) 324-5337,United States/California/Palm Springs,33.8303,-116.5453,34897,Joshua Tree National Park Tour,Walking Tour,10,85,126,https://fareharbor.com/embeds/calendar/red-jeep/items/34897/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/red-jeep/items/34897/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/red-jeep/items/34897/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Cf7UydWSTEOGI9qEvzND
Desert Adventures Red Jeep Tours,red-jeep,resv@red-jeep.com,(760) 324-5337,United States/California/Palm Springs,33.8303,-116.5453,43915,Private San Andreas Fault Jeep Tour,Food Tour-Hiking-History Tour-Jeep-Lodging-Private,4,84,562,https://fareharbor.com/embeds/calendar/red-jeep/items/43915/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/red-jeep/items/43915/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/red-jeep/items/43915/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/uUfpgBIGTLe6aVruGHp5
Desert Adventures Red Jeep Tours,red-jeep,resv@red-jeep.com,(760) 324-5337,United States/California/Palm Springs,33.8303,-116.5453,34899,Painted Canyon Jeep Tour,Guided Tour-Jeep-Walking Tour,10,71,70,https://fareharbor.com/embeds/calendar/red-jeep/items/34899/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/red-jeep/items/34899/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/red-jeep/items/34899/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/eNPt1NLTTNeoISBMNzpJ
Desert Adventures Red Jeep Tours,red-jeep,resv@red-jeep.com,(760) 324-5337,United States/California/Palm Springs,33.8303,-116.5453,34891,Private Indian Canyons Hiking Tour by Jeep,Guided Tour-Jeep-Sightseeing Tour-Walking Tour,4,68,286,https://fareharbor.com/embeds/calendar/red-jeep/items/34891/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/red-jeep/items/34891/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/red-jeep/items/34891/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/jdGA0GBmQtmU0ynb8Uwm
Desert Adventures Red Jeep Tours,red-jeep,resv@red-jeep.com,(760) 324-5337,United States/California/Palm Springs,33.8303,-116.5453,574370,Shared Indian Canyons Hiking Tour by Jeep,,0,45,286,https://fareharbor.com/embeds/calendar/red-jeep/items/574370/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/red-jeep/items/574370/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/red-jeep/items/574370/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/jdGA0GBmQtmU0ynb8Uwm
Desert Tasty Tours,deserttastytours,info@desertfoodtours.com,,United States/California/Palm Springs,,,290437,Palm Canyon Tour,,1,58,103,https://fareharbor.com/embeds/calendar/deserttastytours/items/290437/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/deserttastytours/items/290437/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/deserttastytours/items/290437/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mB6twBZ8SYGBeZUPYBkW
Oceanside Sailing Tours,oceansidesailingtours,russellschneider127@gmail.com,(760) 470-0202,United States/California/Oceanside,-117.396087,33.211446,367207,Afternoon Sail,Boat Tour-Dolphin-Sailing-Train,1,49,168,https://fareharbor.com/embeds/calendar/oceansidesailingtours/items/367207/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/oceansidesailingtours/items/367207/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/oceansidesailingtours/items/367207/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/fZRV0LpSR7axf2xGg0rG
Oceanside Sailing Tours,oceansidesailingtours,russellschneider127@gmail.com,(760) 470-0202,United States/California/Oceanside,-117.396087,33.211446,367215,Sunset Sail,Boat Tour-Dolphin-Sailing-Train,1,49,165,https://fareharbor.com/embeds/calendar/oceansidesailingtours/items/367215/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/oceansidesailingtours/items/367215/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/oceansidesailingtours/items/367215/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/q4c9FixSo2ElpnGj3k33
Oceanside Sailing Tours,oceansidesailingtours,russellschneider127@gmail.com,(760) 470-0202,United States/California/Oceanside,-117.396087,33.211446,367185,Morning Sail,Boat Tour-Dolphin-Sailing-Train,1,48,168,https://fareharbor.com/embeds/calendar/oceansidesailingtours/items/367185/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/oceansidesailingtours/items/367185/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/oceansidesailingtours/items/367185/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/iN6yZOlCTGaD9iBDFNBO
