company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Dive California,divecalifornia,info@divecalifornia.com,619-878-3483,United States/California/San Diego,-117.272598,32.850174,107822,La Jolla Cove 2-Tank Guided Shore Dives,Guided Tour-Private-Rentals-Scuba-Sports-Water Activities-Wildlife,5,100,180,https://fareharbor.com/embeds/calendar/divecalifornia/items/107822/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/divecalifornia/items/107822/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/divecalifornia/items/107822/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/V26IHeHFRGe7gOczLHbw
Dive California,divecalifornia,info@divecalifornia.com,619-878-3483,United States/California/San Diego,-117.272598,32.850174,109205,La Jolla Cove Kelp Forest 1-Tank Guided Shore Dive,Guided Tour-Private-Rentals-Scuba-Sports-Water Activities-Wildlife,5,100,180,https://fareharbor.com/embeds/calendar/divecalifornia/items/109205/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/divecalifornia/items/109205/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/divecalifornia/items/109205/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/9Sh512PXTqitedJNZDWF
Dive California,divecalifornia,info@divecalifornia.com,619-878-3483,United States/California/San Diego,-117.272598,32.850174,110311,PRIVATE La Jolla 2-Tank Guided Shore Dives,Guided Tour-Private-Rentals-Scuba-Sports-Water Activities-Wildlife,6,100,180,https://fareharbor.com/embeds/calendar/divecalifornia/items/110311/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/divecalifornia/items/110311/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/divecalifornia/items/110311/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/5QPmlKkGQmC4rlweGfWy
So Diego Tours,sodiego,info@sodiego.com,619-233-8687,United States/California/San Diego,,,451191,"Sip, Savor and Sea - La Jolla",Food Tour-History Tour-Walking Tour,6,99,180,https://fareharbor.com/embeds/calendar/sodiego/items/451191/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/sodiego/items/451191/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/sodiego/items/451191/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/8k9gCvdQvCesfpIkS77g
San Diego Whale Watch,sdwhalewatch,contact@sdwhalewatch.com,619-542-9931,United States/California/San Diego,-117.237842,32.764688,79931,Whale Watch & Dolphin Tour,Boat Tour-Whale Watch,7,95,408,https://fareharbor.com/embeds/calendar/sdwhalewatch/items/79931/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/sdwhalewatch/items/79931/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/sdwhalewatch/items/79931/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/wPtUHgnSxGMunzpHCUPw
Coronado Golf Cars,coronadogolfcars,hello@coronadogolfcars.com,(619) 504-5537,United States/California/Coronado,-117.177799,32.682945,342095,December Night Lights,Boat Tour,7,95,0,https://fareharbor.com/embeds/calendar/coronadogolfcars/items/342095/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/coronadogolfcars/items/342095/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/coronadogolfcars/items/342095/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/UC2lY0fVTWmmn1Sz6rYM
So Diego Tours,sodiego,info@sodiego.com,619-233-8687,United States/California/San Diego,,,358226,"Pizza, Pasta and Piazzas",Fishing-Food Tour-History Tour-Walking Tour-Wine,1,95,102,https://fareharbor.com/embeds/calendar/sodiego/items/358226/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/sodiego/items/358226/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/sodiego/items/358226/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/KuP8cdb5RiW3MteLq0jy
Net Zero Expeditions,netzeroexpeditions,info@netzeroexpeditions.com,+1 619-770-8967,United States/California/San Diego,-117.236586,32.763837,431944,Signature Whale and Dolphin Watching Tour (3Hrs),Boat Tour-Dolphin-Eco Tour-Whale Watch,11,95,360,https://fareharbor.com/embeds/calendar/netzeroexpeditions/items/431944/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/netzeroexpeditions/items/431944/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/netzeroexpeditions/items/431944/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/xkovIxXaREmqeEcVjn9U
Action Sport Rentals - Paradise Point Resort,actionsportrentals-paradisepointresort,reservations@actionsportrentals.com,,United States/California/San Diego,-117.240555,32.774109,633948,Bare Boat Rental - Pontoon Boat Bay Cruise,Private-Rentals,4,95,74,https://fareharbor.com/embeds/calendar/actionsportrentals-paradisepointresort/items/633948/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/actionsportrentals-paradisepointresort/items/633948/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/actionsportrentals-paradisepointresort/items/633948/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/PHqehgdeQqCj39AgEOa3
Dive California,divecalifornia,info@divecalifornia.com,619-878-3483,United States/California/San Diego,-117.256794,32.856288,110581,DC's Ultimate Refresher Course,Rentals-Scuba-Sports-Water Activities-Wildlife,4,94,180,https://fareharbor.com/embeds/calendar/divecalifornia/items/110581/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/divecalifornia/items/110581/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/divecalifornia/items/110581/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/gMUVFDxZT1yMsWZNb8sg
