company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
"Eat This, Shoot That!",eatthisshootthat,info@eatthisshootthat.com,805-699-6719,United States/California/Solvang,,,247379,Solvang Food & Photo Tour,Food Tour,5,87,28,https://fareharbor.com/embeds/calendar/eatthisshootthat/items/247379/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/eatthisshootthat/items/247379/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/eatthisshootthat/items/247379/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/kUbmRz1oQGmmRcHOV1ft
Taste Santa Barbara Food Tours,tastesantabarbarafoodtours,info@tastesbft.com,+1 805-633-0707,United States/California/Santa Barbara,-119.699806,34.420171,157635,The Original Downtown Santa Barbara Food Tour,Food Tour,5,85,66,https://fareharbor.com/embeds/calendar/tastesantabarbarafoodtours/items/157635/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/tastesantabarbarafoodtours/items/157635/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/tastesantabarbarafoodtours/items/157635/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/wXGKDDSDQhyHoHQnkQED
"Eat This, Shoot That!",eatthisshootthat,info@eatthisshootthat.com,805-699-6719,United States/California/Santa Barbara,,,247375,Funk Zone Food & Photo Tour,Food Tour,1,78,50,https://fareharbor.com/embeds/calendar/eatthisshootthat/items/247375/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/eatthisshootthat/items/247375/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/eatthisshootthat/items/247375/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/o15je2L0T961BQj8hM6y
Santa Barbara Boat Charters,boatcharterssb,garrick.gch@gmail.com,805-722-2282,United States/California/Santa Barbara,-119.692438,34.40778,620777,Coastal Cruise & Sunset Tour,Boat Tour,1,77,0,https://fareharbor.com/embeds/calendar/boatcharterssb/items/620777/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/boatcharterssb/items/620777/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/boatcharterssb/items/620777/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/aZUPC7t8QGa8BCbOn48Y
Santa Barbara Boat Charters,boatcharterssb,garrick.gch@gmail.com,805-722-2282,United States/California/Santa Barbara,-119.692438,34.40778,620790,Full Day Island Cruise,Boat Tour,1,77,0,https://fareharbor.com/embeds/calendar/boatcharterssb/items/620790/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/boatcharterssb/items/620790/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/boatcharterssb/items/620790/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/DdERKY6NTpSKtyyCN09w
Santa Barbara Boat Charters,boatcharterssb,garrick.gch@gmail.com,805-722-2282,United States/California/Santa Barbara,-119.692438,34.40778,620803,Whale Watching,Whale Watch,1,77,0,https://fareharbor.com/embeds/calendar/boatcharterssb/items/620803/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/boatcharterssb/items/620803/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/boatcharterssb/items/620803/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/4zeuizmRe2pQ8HsOwvAU
Santa Barbara Boat Charters,boatcharterssb,garrick.gch@gmail.com,805-722-2282,United States/California/Santa Barbara,-119.692438,34.40778,620851,Spear Fishing,Fishing,1,77,0,https://fareharbor.com/embeds/calendar/boatcharterssb/items/620851/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/boatcharterssb/items/620851/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/boatcharterssb/items/620851/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Ujyk3vJHR3fiz2NZXuc9
Santa Barbara Boat Charters,boatcharterssb,garrick.gch@gmail.com,805-722-2282,United States/California/Santa Barbara,-119.692438,34.40778,620861,Foiling,Water Activities,1,77,0,https://fareharbor.com/embeds/calendar/boatcharterssb/items/620861/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/boatcharterssb/items/620861/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/boatcharterssb/items/620861/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/7FvwfgHKQ2CZ3jIGcBmk
Santa Barbara Boat Charters,boatcharterssb,garrick.gch@gmail.com,805-722-2282,United States/California/Santa Barbara,-119.692438,34.40778,620823,Sport Fishing,Fishing,1,76,0,https://fareharbor.com/embeds/calendar/boatcharterssb/items/620823/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/boatcharterssb/items/620823/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/boatcharterssb/items/620823/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/9OikEBoTy5j82XrQLhdQ
Taste Santa Barbara Food Tours,tastesantabarbarafoodtours,info@tastesbft.com,+1 805-633-0707,United States/California/Santa Barbara,-119.706555,34.424563,501957,The Original Downtown Food Tour (Mini),City Tour-Food Tour-Walking Tour,5,75,0,https://fareharbor.com/embeds/calendar/tastesantabarbarafoodtours/items/501957/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/tastesantabarbarafoodtours/items/501957/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/tastesantabarbarafoodtours/items/501957/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/40Hj0pzTCSAXKArUUACR
