company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Wine Tours of Sedona,winetoursofsedona,info@winetoursofsedona.com,928-224-2991,United States/Arizona/Sedona,,,214355,The Flavors of Historic Jerome,Attraction-City Tour-Guided Tour-History Tour-Private-Sightseeing Tour-Wine,25,80,900,https://fareharbor.com/embeds/calendar/winetoursofsedona/items/214355/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/winetoursofsedona/items/214355/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/winetoursofsedona/items/214355/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/aU0xewRHRZi782idMAcU
Wine Tours of Sedona,winetoursofsedona,info@winetoursofsedona.com,928-224-2991,United States/Arizona/Sedona,,,214370,The Terroir of the Verde Valley Wine Trail,Guided Tour-Private-Sightseeing Tour-Winery-Wine,19,80,744,https://fareharbor.com/embeds/calendar/winetoursofsedona/items/214370/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/winetoursofsedona/items/214370/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/winetoursofsedona/items/214370/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/jFidv4GQUKeFKjx480vt
Wine Tours of Sedona,winetoursofsedona,info@winetoursofsedona.com,928-224-2991,United States/Arizona/Sedona,,,214389,The Historic Downtown Flagstaff Microbrewery Tour,Brewery-City Tour-Guided Tour-Private-Sightseeing Tour,7,80,1620,https://fareharbor.com/embeds/calendar/winetoursofsedona/items/214389/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/winetoursofsedona/items/214389/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/winetoursofsedona/items/214389/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ePEvVspQvOKJsJIqowoG
Wine Tours of Sedona,winetoursofsedona,info@winetoursofsedona.com,928-224-2991,United States/Arizona/Sedona,,,214307,Alcantara Estate Vineyard Tasting Experience,Guided Tour-Private-Sightseeing Tour-Winery-Wine,20,79,720,https://fareharbor.com/embeds/calendar/winetoursofsedona/items/214307/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/winetoursofsedona/items/214307/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/winetoursofsedona/items/214307/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Kf79Pa8TIa1UYqZIBeQ3
Wine Tours of Sedona,winetoursofsedona,info@winetoursofsedona.com,928-224-2991,United States/Arizona/Sedona,,,214429,Sedona Scenic Adventure Tour,City Tour-Guided Tour-History Tour-Private-Sightseeing Tour,11,79,1080,https://fareharbor.com/embeds/calendar/winetoursofsedona/items/214429/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/winetoursofsedona/items/214429/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/winetoursofsedona/items/214429/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/959Ck6FKS7aFtuyLQeoU
Wine Tours of Sedona,winetoursofsedona,info@winetoursofsedona.com,928-224-2991,United States/Arizona/Sedona,,,214430,Scenic Sedona Sunset Experience,Attraction-City Tour-Guided Tour-History Tour-Private-Sightseeing Tour,11,79,454,https://fareharbor.com/embeds/calendar/winetoursofsedona/items/214430/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/winetoursofsedona/items/214430/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/winetoursofsedona/items/214430/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/JOpXmrMvQ0C4Uw25sEtI
Wine Tours of Sedona,winetoursofsedona,info@winetoursofsedona.com,928-224-2991,United States/Arizona/Sedona,,,214438,Red Rock State Park - Scenic Sedona Hiking Adventure,Hiking-Private-Sightseeing Tour,16,79,720,https://fareharbor.com/embeds/calendar/winetoursofsedona/items/214438/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/winetoursofsedona/items/214438/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/winetoursofsedona/items/214438/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/LjLJ1ACITqq9ScFWagX1
Wine Tours of Sedona,winetoursofsedona,info@winetoursofsedona.com,928-224-2991,United States/Arizona/Sedona,,,214442,Sedona Hiking & Yoga Experience,Wellness-Guided Tour-Hiking-Private-Sightseeing Tour,10,79,720,https://fareharbor.com/embeds/calendar/winetoursofsedona/items/214442/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/winetoursofsedona/items/214442/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/winetoursofsedona/items/214442/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/PFqgyxV5SQSpLtShmWhA
A Day In The West,adayinthewest,contactus@rasedona.com,928-282-4320,United States/Arizona/Sedona,,,307177,Sedona Red Rocks Highlights Tours,Jeep,3,66,764,https://fareharbor.com/embeds/calendar/adayinthewest/items/307177/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/adayinthewest/items/307177/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/adayinthewest/items/307177/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/GghBNRiSRzeOTwdoXow4
Wine Tours of Sedona,winetoursofsedona,info@winetoursofsedona.com,928-224-2991,United States/Arizona/Sedona,,,214428,"Scenic Sedona, Ancient Indian Ruins, & Historic Jerome",Attraction-City Tour-Guided Tour-Hiking-Private-Sightseeing Tour,1,63,360,https://fareharbor.com/embeds/calendar/winetoursofsedona/items/214428/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/winetoursofsedona/items/214428/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/winetoursofsedona/items/214428/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/4xTDbWASQ7iCGDVO4SeQ
