company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
On Tales,ontales,comercial@ontales.com,+351 911 911 777,Portugal/Madeira/Calheta,,,137037,MIRANDA - Private Whale and Dolphin Watching,Boat Tour-Dolphin-Eco Tour-Private-Sailing-Sightseeing Tour-Snorkel-Water Activities-Whale Watch-Wildlife,5,100,541,https://fareharbor.com/embeds/calendar/ontales/items/137037/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ontales/items/137037/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ontales/items/137037/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/D1cUAlCJSheEK84ZXzY1
Eco Trilha,ecotrilha,booking@ecotrilha.pt,+35 1927 771 815,Portugal/Azores/Ponta Delgada,-25.710385,37.749346,146425,4-Day Azores Tour | Island Adventure & Nature Highlights,City Tour-Eco Tour-Factory Tour-Farm-Food Tour-Guided Tour-Hiking-History Tour-Transfer-Service-Sightseeing Tour-Walking Tour,9,100,138,https://fareharbor.com/embeds/calendar/ecotrilha/items/146425/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ecotrilha/items/146425/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ecotrilha/items/146425/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/kqZpLnSsC3eNtTEJm9Wg
Eco Trilha,ecotrilha,booking@ecotrilha.pt,+35 1927 771 815,Portugal/Braga/Braga,-8.426507,41.545449,147228,"Braga to Douro Valley: Small‑Group Wine Tour, Cruise & Lunch",Boat Tour-Eco Tour-Guided Tour-Transfer-Winery-Wine,13,100,41,https://fareharbor.com/embeds/calendar/ecotrilha/items/147228/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ecotrilha/items/147228/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ecotrilha/items/147228/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/uFTs8qXpQbmvQ54S9ETt
Eco Trilha,ecotrilha,booking@ecotrilha.pt,+35 1927 771 815,Portugal/Lisbon/Lisbon,-9.139337,38.722252,147272,Lisbon to Fatima Half-Day Tour | Spiritual & Historical Visit,Transfer-Private-Self-Guided Tour,7,100,149,https://fareharbor.com/embeds/calendar/ecotrilha/items/147272/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ecotrilha/items/147272/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ecotrilha/items/147272/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/QVo4hyHvQL25F9xW9z9b
SeaEO-Tours,seaeo-tours,info@seaeo-tours.pt,+351925246484,Portugal/Lisboa/Lisboa,,,154515,Dolphin Watching Lisbon,Boat Tour-Dolphin-Eco Tour-Environmental Attraction-Events-Guided Tour-Photography Tour-Private-Sailing-Sightseeing Tour-Water Activities-Whale Watch-Wildlife,13,100,249,https://fareharbor.com/embeds/calendar/seaeo-tours/items/154515/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/seaeo-tours/items/154515/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/seaeo-tours/items/154515/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/cT1pG81hREKywBP8DuG7
Eco Trilha,ecotrilha,booking@ecotrilha.pt,+35 1927 771 815,"Portugal/Madeira/Santa Cruz, Madeira",-16.774145,32.697515,274902,4‑Day Madeira Tour | Levada Hike & Cultural Highlights,City Tour-Eco Tour-Guided Tour-History Tour-Transfer-Service-Sightseeing Tour-Wine,9,100,143,https://fareharbor.com/embeds/calendar/ecotrilha/items/274902/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ecotrilha/items/274902/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ecotrilha/items/274902/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/hVWRaX5uRlmSD2wLDLPX
Go Travel Everywhere,gotraveleverywhere,hello@gotraveleverywhere.com,+351 915 194 999,Portugal/Aveiro District/Alvarenga,-8.177047,40.952762,511361,Passeio Guiado com partida Porto à Ponte 516 Arouca & Passadiços de Paiva,Guided Tour-Hiking-Walking Tour,6,100,360,https://fareharbor.com/embeds/calendar/gotraveleverywhere/items/511361/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/gotraveleverywhere/items/511361/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/gotraveleverywhere/items/511361/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/41qgru3cR3O6Z2G2V584
On Tales,ontales,comercial@ontales.com,+351 911 911 777,Portugal/Madeira/Calheta,,,539113,GRINGO Yacht - Shared whale and dolphin watching,Boat Tour-Dolphin-Eco Tour-Other-Photography Tour-Sightseeing Tour-Snorkel-Water Activities-Whale Watch-Wildlife,2,100,641,https://fareharbor.com/embeds/calendar/ontales/items/539113/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ontales/items/539113/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ontales/items/539113/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/7kQentfmQzSV0BbSunfD
On Tales,ontales,comercial@ontales.com,+351 911 911 777,Portugal/Madeira/Calheta,,,549335,GRINGO Yacht - Private charter,Boat Rental-Boat Tour-Dolphin-Eco Tour-Other-Private-Rentals-Sailing-Sightseeing Tour-Snorkel-Whale Watch-Wildlife,2,100,641,https://fareharbor.com/embeds/calendar/ontales/items/549335/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ontales/items/549335/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ontales/items/549335/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Fw9NuFpoQCCiaHDt6DYG
Go Travel Everywhere,gotraveleverywhere,hello@gotraveleverywhere.com,+351 915 194 999,Portugal/Aveiro District/Alvarenga,-8.177047,40.952762,640774,Saía do Porto e viva a emoção do rafting nas águas selvagens do Rio Paiva – uma aventura que vai acelerar o coração!,Guided Tour-Rafting,5,100,131,https://fareharbor.com/embeds/calendar/gotraveleverywhere/items/640774/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/gotraveleverywhere/items/640774/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/gotraveleverywhere/items/640774/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/aiwFb2xQHideMqOjFC2F
