company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
World Sea Explorers,worldseaexplorers,info@worldseaexplorers.com,+47 907 07 512,Norway/Troms/Tromsø,,,332606,Northern Lights Cruise Tromsø,Boat Tour-Northern Lights Tour-Winter Activities,16,100,34,https://fareharbor.com/embeds/calendar/worldseaexplorers/items/332606/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/worldseaexplorers/items/332606/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/worldseaexplorers/items/332606/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/raDIXWZORNm5i8lm0Cm4
Tropical Bikes,copenhagenbikes,tours@tropicalbikes.dk,+4550656210,Denmark/København,,,553857,Spanish Private Tour,Bike Rental-Bike Tour-Guided Tour-Private-Sightseeing Tour,6,100,354,https://fareharbor.com/embeds/calendar/copenhagenbikes/items/553857/?asn=fhdn-dkk&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/copenhagenbikes/items/553857/?asn=fhdn-dkk&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/copenhagenbikes/items/553857/?asn=fhdn-dkk&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/JZKT0KsQnyQI013znvNg
Stockholm Nature AB,stockholmnature,info@stockholmnature.com,+46 76 621 87 14,Sweden/Stockholms län/Stockholm,18.044957,59.332391,644775,Bike Tour in Stockholm-City,Bike Tour,5,99,139,https://fareharbor.com/embeds/calendar/stockholmnature/items/644775/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/stockholmnature/items/644775/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/stockholmnature/items/644775/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/oaWWL8AYQrumfV1UG27v
Trollcruise,trollcruise,booking@trollcruise.no,0047 23355510,Norway/Oslo/Oslo,,,356375,Oslofjord Dinner Cruise,Boat Tour,8,97,55,https://fareharbor.com/embeds/calendar/trollcruise/items/356375/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/trollcruise/items/356375/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/trollcruise/items/356375/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/EyutELbTF2okx55b6BUx
Trollcruise,trollcruise,booking@trollcruise.no,0047 23355510,Norway/Oslo/Oslo,10.730637,59.910767,360774,Oslofjord Sightseeing 100% Electric,Boat Tour,9,97,358,https://fareharbor.com/embeds/calendar/trollcruise/items/360774/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/trollcruise/items/360774/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/trollcruise/items/360774/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/P2Ym2sRFSqCfX9slWvAI
Stockholm Nature AB,stockholmnature,info@stockholmnature.com,+46 76 621 87 14,Sweden/Stockholms län/Stockholm,,,488574,Winter Kayak Tour in Stockholm-City,Kayak-Walking Tour-Water Activities,7,97,58,https://fareharbor.com/embeds/calendar/stockholmnature/items/488574/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/stockholmnature/items/488574/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/stockholmnature/items/488574/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/sMOC2SrkT3KeERRdl8ak
Tropical Bikes,copenhagenbikes,tours@tropicalbikes.dk,+4550656210,Denmark/København,12.566228,55.678302,504683,English Highlight Tour,Bike Rental-Bike Tour-Boat Tour-Guided Tour-History Tour,5,97,326,https://fareharbor.com/embeds/calendar/copenhagenbikes/items/504683/?asn=fhdn-dkk&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/copenhagenbikes/items/504683/?asn=fhdn-dkk&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/copenhagenbikes/items/504683/?asn=fhdn-dkk&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/KulNZvPtROhYDn5Psh6n
Stockholm Nature AB,stockholmnature,info@stockholmnature.com,+46 76 621 87 14,Sweden/Stockholms län/Stockholm,,,265863,Hiking Tour in Nature Reserve,Guided Tour-Hiking-History Tour-Walking Tour,13,96,170,https://fareharbor.com/embeds/calendar/stockholmnature/items/265863/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/stockholmnature/items/265863/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/stockholmnature/items/265863/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/FiE008vRwSUxBA1ZaJHw
Stockholm Nature AB,stockholmnature,info@stockholmnature.com,+46 76 621 87 14,Sweden/Stockholms län/Johanneshov,,,265868,Sunset Hiking Tour in National Park,Guided Tour-Hiking-Walking Tour,7,95,153,https://fareharbor.com/embeds/calendar/stockholmnature/items/265868/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/stockholmnature/items/265868/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/stockholmnature/items/265868/?asn=fhdn-sek&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/0soNhvCTUKO3hpuZzUFa
World Sea Explorers,worldseaexplorers,info@worldseaexplorers.com,+47 907 07 512,Norway/Troms/Tromsø,,,406589,Polar Fjord Cruise Tromsø,Boat Tour-Winter Activities,13,95,47,https://fareharbor.com/embeds/calendar/worldseaexplorers/items/406589/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/worldseaexplorers/items/406589/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/worldseaexplorers/items/406589/?asn=fhdn-nok&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/1cUCw1EDR7lMkI7Ux3rg
