company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Southern Utah Scuba,southernutahscuba,jake@southernutahscuba.com,14353573568,United States/Utah/Hurricane,-113.289948,37.175261,650479,Dive Sand Hollow in Greater Zion,Scuba,9,100,192,https://fareharbor.com/embeds/calendar/southernutahscuba/items/650479/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/southernutahscuba/items/650479/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/southernutahscuba/items/650479/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/K4XbndDzSiWKWA6502Nu
Scales and Tails Utah,scalesandtailsutah,rindy@scalesandtailsutah.com,801-577-7182,United States/Utah/Kearns,,,578819,General Admission,Attraction-Environmental Attraction-Self-Guided Tour-Wildlife-Zoo,1,80,396,https://fareharbor.com/embeds/calendar/scalesandtailsutah/items/578819/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/scalesandtailsutah/items/578819/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/scalesandtailsutah/items/578819/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/b45M03RhQIKA13wK2FC8
Mad Moose Rentals,madmooserentals,customerservice@madmooserentals.com,435-220-5332,United States/Utah/Hurricane,,,430832,Southern Utah UTV Overnight Tour,ATV/UTV-Guided Tour-Private,5,75,0,https://fareharbor.com/embeds/calendar/madmooserentals/items/430832/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/madmooserentals/items/430832/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/madmooserentals/items/430832/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/0Z5GJ73FTTq9RRowZUjN
Utahs Best Guides,utahproflyfishing,info@utahsbestguides.com,435-487-9288,United States/Utah/Heber City,,,196621,Half Day Wade Fly Fishing Trip,,5,74,333,https://fareharbor.com/embeds/calendar/utahproflyfishing/items/196621/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/utahproflyfishing/items/196621/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/utahproflyfishing/items/196621/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ANyf5gk8RHSgHD29a81o
Utahs Best Guides,utahproflyfishing,info@utahsbestguides.com,435-487-9288,United States/Utah/Heber City,-111.42738999999999,40.593520999999996,304750,Local Lakes Half Day Fly and Light Tackle Guided Tour,,5,73,283,https://fareharbor.com/embeds/calendar/utahproflyfishing/items/304750/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/utahproflyfishing/items/304750/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/utahproflyfishing/items/304750/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/YDKDFRLnTuVQgv74e3kb
Scales and Tails Utah,scalesandtailsutah,rindy@scalesandtailsutah.com,801-577-7182,United States/Utah/Kearns,,,578916,Field Trips,Zoo,2,72,1305,https://fareharbor.com/embeds/calendar/scalesandtailsutah/items/578916/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/scalesandtailsutah/items/578916/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/scalesandtailsutah/items/578916/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/8yMnDTR5TLmUsHKsR6OQ
Scales and Tails Utah,scalesandtailsutah,rindy@scalesandtailsutah.com,801-577-7182,United States/Utah/Kearns,,,578861,Junior Zookeeper Program,Zoo,2,71,9,https://fareharbor.com/embeds/calendar/scalesandtailsutah/items/578861/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/scalesandtailsutah/items/578861/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/scalesandtailsutah/items/578861/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/hFpl3Jt6T7651UonXDB5
Southern Utah Scuba,southernutahscuba,jake@southernutahscuba.com,14353573568,United States/Utah/Hurricane,,,650440,Intro to Scuba,Scuba,1,71,476,https://fareharbor.com/embeds/calendar/southernutahscuba/items/650440/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/southernutahscuba/items/650440/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/southernutahscuba/items/650440/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/EgmxKRiRRJibPDPcP1zA
East Zion Adventures,eastzionadventures,recreation@eastzionadventures.com,(435) 648-2712,United States/Utah/Orderville,,,170198,VR Soaring Utah,,4,70,180,https://fareharbor.com/embeds/calendar/eastzionadventures/items/170198/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/eastzionadventures/items/170198/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/eastzionadventures/items/170198/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/hsfpNadUSbmyHXKDSKR6
St. George Dinosaur Discovery Site,utahdinosaurs,info@utahdinosaurs.org,14355743466,United States/Utah/St. George,,,667289,Fossil Discoveries,Museum,4,70,52,https://fareharbor.com/embeds/calendar/utahdinosaurs/items/667289/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/utahdinosaurs/items/667289/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/utahdinosaurs/items/667289/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Z00zcpDQ3SoD512ZrifN
