company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Riding Dinner,ridingdinner,contact@ridingdinner.com,+43 1 391020110,Austria/Wien/Wien,16.423942,48.176426,343842,Geheimnisse der Fiaker - Wo Wiens Fiakerpferde wohnen,Horse,9,80,177,https://fareharbor.com/embeds/calendar/ridingdinner/items/343842/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/ridingdinner/items/343842/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/ridingdinner/items/343842/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/og9jPR6ETxCEe2UznkpJ
Prime Tours,primetours,bookings@primetours.at,+43 1 3911122,Austria/Wien/Wien,16.369042,48.204907,140097,ENG FREE Walking Tour Vienna Vienna Historical City Center,City Tour-History Tour-Walking Tour,2,78,23,https://fareharbor.com/embeds/calendar/primetours/items/140097/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/primetours/items/140097/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/primetours/items/140097/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/9L5Wlt47RharsTlRcaFb
Prime Tours,primetours,bookings@primetours.at,+43 1 3911122,Austria/Wien/Wien,16.369042,48.204907,349229,Private Walking Tour Vienna: The best of Vienna - Exclusive Tour,City Tour-History Tour-Private-Walking Tour,3,77,360,https://fareharbor.com/embeds/calendar/primetours/items/349229/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/primetours/items/349229/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/primetours/items/349229/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/TmtTTlNqQz6MEgDlbrN5
Prime Tours,primetours,bookings@primetours.at,+43 1 3911122,Austria/Wien/Wien,16.421554,48.214045,482105,Danube Yacht Experience Vienna - Rent a luxury motor boat“,Boat Rental-Boat Tour,2,73,1417,https://fareharbor.com/embeds/calendar/primetours/items/482105/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/primetours/items/482105/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/primetours/items/482105/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/J93ZtBAFTOyIXatznuhP
Prime Tours,primetours,bookings@primetours.at,+43 1 3911122,Austria/Wien/Wien,16.369042,48.204907,247287,Terrible crimes in Vienna: macabre & exciting!,Walking Tour,2,72,77,https://fareharbor.com/embeds/calendar/primetours/items/247287/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/primetours/items/247287/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/primetours/items/247287/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/LlwwJbBrRTuUbibM27k7
Prime Tours,primetours,bookings@primetours.at,+43 1 3911122,Austria/Wien/Wien,,,246826,Spooky Vienna,Walking Tour,1,71,7,https://fareharbor.com/embeds/calendar/primetours/items/246826/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/primetours/items/246826/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/primetours/items/246826/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/LuD2QYJTwusgNvdYyZPv
Prime Tours,primetours,bookings@primetours.at,+43 1 3911122,Austria/Wien/Wien,16.369042,48.204907,140102,ESP FREE Walking Tour por Viena: Centro de Viena,City Tour-Walking Tour,1,69,61,https://fareharbor.com/embeds/calendar/primetours/items/140102/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/primetours/items/140102/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/primetours/items/140102/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/G5EpIzyoRviWShTYm4Et
Secret Tours Worldwide,secretvienna,info@secretvienna.org,+43 67761612322,Austria/Vienna/Vienna,16.371309,48.20807,146970,"Verdeckt, versteckt und verborgen - Wien einmal anders",Walking Tour,1,69,0,https://fareharbor.com/embeds/calendar/secretvienna/items/146970/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/secretvienna/items/146970/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/secretvienna/items/146970/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/mQs3h38LTcSy0Ag8uQsS
Prime Tours,primetours,bookings@primetours.at,+43 1 3911122,Austria/Wien/Wien,16.369042,48.204907,140106,ENG Free evening walking tour Vienna,City Tour-History Tour-Walking Tour,1,68,180,https://fareharbor.com/embeds/calendar/primetours/items/140106/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/primetours/items/140106/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/primetours/items/140106/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/xDKyvGJzSYewnraMXh6E
Secret Tours Worldwide,secretvienna,info@secretvienna.org,+43 67761612322,Austria/Vienna/Vienna,16.371309,48.20807,101189,סיור היכרות קלאסי בעברית בוינה,Walking Tour,0,65,341,https://fareharbor.com/embeds/calendar/secretvienna/items/101189/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/secretvienna/items/101189/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/secretvienna/items/101189/?asn=fhdn-eur&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Xe2NMQhRfGVuObCMPjrI
