company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,calendar_link,calendar_script,regular_link,image_url
Echo Adventure Cooperative,echocoop,Adventures@EchoCoOp.com,(209) 732-5161,United States/California/Groveland,,,81024,Yosemite Valley Discovery Walk,Fishing,6,80,252,https://fareharbor.com/embeds/calendar/echocoop/items/81024/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/echocoop/items/81024/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/echocoop/items/81024/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/LtcfprqtT06MpHb8rJjz
The Lamplighters Adventuring Society LLC,lamplightersadventuringsociety,lamplightersadventures@gmail.com,12093363147,United States/California/TUOLUMNE MEADOWS,,,619653,Yosemite Valley Walking Tour,Hiking,7,77,0,https://fareharbor.com/embeds/calendar/lamplightersadventuringsociety/items/619653/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/lamplightersadventuringsociety/items/619653/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/lamplightersadventuringsociety/items/619653/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/dlan1L3ISbeZiWicvh6g
The Lamplighters Adventuring Society LLC,lamplightersadventuringsociety,lamplightersadventures@gmail.com,12093363147,United States/California/TUOLUMNE MEADOWS,,,619663,Hike to Upper Yosemite Falls,Hiking,9,77,0,https://fareharbor.com/embeds/calendar/lamplightersadventuringsociety/items/619663/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/lamplightersadventuringsociety/items/619663/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/lamplightersadventuringsociety/items/619663/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/esAmf4WQqfyqkHRgTglo
Best Bay Area Tours,bestbayareatours,service@bestbayareatours.com,(415) 543-8687,United States/California/San Francisco,-122.419415,37.774929,34906,Yosemite in a Day Tour,Guided Tour-Hiking,3,74,175,https://fareharbor.com/embeds/calendar/bestbayareatours/items/34906/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/bestbayareatours/items/34906/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/bestbayareatours/items/34906/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/PHorieuURDXgDuKSAN1d
Echo Adventure Cooperative,echocoop,Adventures@EchoCoOp.com,(209) 732-5161,United States/California/Groveland,,,248031,"Yosemite Valley Triathlon Adventure | Hike, Bike & Swim",Bike Rental-Hiking-Rentals-Transportation,6,69,53,https://fareharbor.com/embeds/calendar/echocoop/items/248031/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/echocoop/items/248031/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/echocoop/items/248031/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/pAbsVEdpQXiOZDIFFy2y
Balanced Rock Foundation,balancedrock,info@balancedrock.org,2093799453,United States/California/TUOLUMNE MEADOWS,,,568136,Yosemite Highlights Tour,Hiking,8,65,0,https://fareharbor.com/embeds/calendar/balancedrock/items/568136/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/balancedrock/items/568136/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/balancedrock/items/568136/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/gxjr0C4UTGy7ie4VXgye
Incredible Adventures,incredibleadventures,info@incadventures.com,(415) 642-7378,United States/California/San Francisco,,,42124,Yosemite Grand Escape Camping Tour (3 Days),Guided Tour-Walking Tour,6,64,70,https://fareharbor.com/embeds/calendar/incredibleadventures/items/42124/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/incredibleadventures/items/42124/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/incredibleadventures/items/42124/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/zuDbJl0R4WK4RYNQFBUK
Echo Adventure Cooperative,echocoop,Adventures@EchoCoOp.com,(209) 732-5161,United States/California/Groveland,,,139165,Private Yosemite Valley Tour & Roosevelt BBQ,Fishing,7,63,84,https://fareharbor.com/embeds/calendar/echocoop/items/139165/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/echocoop/items/139165/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/echocoop/items/139165/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/1KtoTWu9QzyEqm3KekEY
Incredible Adventures,incredibleadventures,info@incadventures.com,(415) 642-7378,United States/California/San Francisco,,,512274,Yosemite Grand Escape Lodging Tour (3 Days),Escape Room-Lodging-Walking Tour,5,59,35,https://fareharbor.com/embeds/calendar/incredibleadventures/items/512274/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/incredibleadventures/items/512274/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/incredibleadventures/items/512274/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/stK0VPhhSFSEPlQQmyzY
Yosemite Tours,yosemite-tours,info@yosemite-tours.com,415- 357-0700,United States/California/San Bruno,,,238944,Yosemite and Giant Sequoias One-Day Tour from San Francisco,Guided Tour-Walking Tour,5,55,180,https://fareharbor.com/embeds/calendar/yosemite-tours/items/238944/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/yosemite-tours/items/238944/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/yosemite-tours/items/238944/?asn=fhdn&asn-ref=alloutdooradventures&ref=alloutdooradventures&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/kIDxyS3fQJ2fZSGqTCzw
